file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-19501_nperz-5_nz-100_nd-100_nmuestras-50.json,19501,5,100,100,50,54,0.36234444287948103,"[1.0, 0.4333924584559836, 0.46276285755353463]","[0.18738131458572474, 0.9242151837995406, 0.332737940395301]"
oertel_seed-19502_nperz-5_nz-100_nd-100_nmuestras-50.json,19502,5,100,100,50,54,0.4283172515256412,"[1.0, 0.40423277287093023, 0.4644332965757616]","[-0.3090169943749471, 0.17821022026870564, 0.9342106906791707]"
oertel_seed-19503_nperz-5_nz-100_nd-100_nmuestras-50.json,19503,5,100,100,50,54,0.2874435166727318,"[1.0, 0.5680868686651902, 0.5161635241211465]","[-0.9980267284282716, 0.03690734136311292, -0.050798597384846544]"
oertel_seed-19504_nperz-5_nz-100_nd-100_nmuestras-50.json,19504,5,100,100,50,54,0.337712736484657,"[1.0, 0.5655272414238895, 0.4399345661525443]","[0.9995065603657316, -0.029204985194744612, 0.011563071635122171]"
oertel_seed-19505_nperz-5_nz-100_nd-100_nmuestras-50.json,19505,5,100,100,50,54,0.42447934270066146,"[1.0, 0.5877291687051087, 0.5953469703594372]","[0.9995065603657316, 0.02002197137261541, 0.02420240583533769]"
oertel_seed-19506_nperz-5_nz-100_nd-100_nmuestras-50.json,19506,5,100,100,50,54,0.42612382396070503,"[1.0, 0.45160779273689167, 0.5371419264232418]","[0.9995065603657316, 0.0049137252928945765, 0.031024040510710192]"
oertel_seed-19507_nperz-5_nz-100_nd-100_nmuestras-50.json,19507,5,100,100,50,54,0.38426390474807903,"[1.0, 0.4645278444983823, 0.5382344274892945]","[0.9510565162951535, -0.14029077970429507, 0.2753361580731583]"
oertel_seed-19508_nperz-5_nz-100_nd-100_nmuestras-50.json,19508,5,100,100,50,54,0.41408772173495234,"[1.0, 0.5023275317179643, 0.5057245641500571]","[-0.3971478906347807, -0.6690143297945028, 0.6282462729646364]"
oertel_seed-19509_nperz-5_nz-100_nd-100_nmuestras-50.json,19509,5,100,100,50,54,0.3435976908773037,"[1.0, 0.5307291373423139, 0.469583564667664]","[-0.99556196460308, 0.07251170166720845, -0.05998689654400716]"
oertel_seed-19510_nperz-5_nz-100_nd-100_nmuestras-50.json,19510,5,100,100,50,54,0.4422544382721227,"[1.0, 0.6080857100377055, 0.5112664188563985]","[0.9602936856769431, 0.07783603724899253, 0.2679133974894983]"
oertel_seed-19511_nperz-5_nz-100_nd-100_nmuestras-50.json,19511,5,100,100,50,54,0.44350483163375837,"[1.0, 0.471990179997257, 0.5917857393396406]","[0.3387379202452915, 0.17630347535507032, 0.9242151837995406]"
oertel_seed-19512_nperz-5_nz-100_nd-100_nmuestras-50.json,19512,5,100,100,50,54,0.347276721623349,"[1.0, 0.517009551389222, 0.4314913305520033]","[-0.33873792024529137, 0.31871199487434493, 0.8852566213878946]"
oertel_seed-19513_nperz-5_nz-100_nd-100_nmuestras-50.json,19513,5,100,100,50,54,0.30187775732601024,"[1.0, 0.5421230900598556, 0.43654644361425854]","[0.36812455268467775, -0.8644843137107059, -0.3422735529643443]"
