file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u,best_index
oertel_seed-17751_nperz-10_nz-100_nd-100_nmuestras-50.json,17751,10,100,100,50,54,0.46549946897992295,"[1.0, 0.46193691385658603, 0.4404305614287324]","[-0.1873813145857246, 0.5773739594932422, 0.794687079197354]",22
oertel_seed-17752_nperz-10_nz-100_nd-100_nmuestras-50.json,17752,10,100,100,50,54,0.4570611409850119,"[1.0, 0.5323646666260067, 0.5124393186950102]","[0.9995065603657316, 0.01156307163512217, 0.029204985194744612]",29
oertel_seed-17753_nperz-10_nz-100_nd-100_nmuestras-50.json,17753,10,100,100,50,54,0.47103494610497265,"[1.0, 0.46316778685783316, 0.519005393454057]","[0.36812455268467775, -0.9073844574348499, -0.20282445640594987]",28
oertel_seed-17754_nperz-10_nz-100_nd-100_nmuestras-50.json,17754,10,100,100,50,54,0.4381008707695009,"[1.0, 0.48215549034753524, 0.4978575557939096]","[0.24868988716485485, 0.8178018111119209, -0.5189928108981798]",4
oertel_seed-17755_nperz-10_nz-100_nd-100_nmuestras-50.json,17755,10,100,100,50,54,0.4040562073562573,"[1.0, 0.5455777751791157, 0.4899188489365711]","[-0.9995065603657316, 0.020772307677188847, -0.023561558089999487]",1
oertel_seed-17756_nperz-10_nz-100_nd-100_nmuestras-50.json,17756,10,100,100,50,54,0.4302953065713687,"[1.0, 0.4757535764419459, 0.4327916025306739]","[0.5358267949789969, 0.7944119077958618, -0.2860058854895738]",9
oertel_seed-17757_nperz-10_nz-100_nd-100_nmuestras-50.json,17757,10,100,100,50,54,0.4504929910207881,"[1.0, 0.4987017188675737, 0.46613684421817525]","[0.1873813145857246, 0.9701936646599785, -0.15366358058358165]",48
oertel_seed-17758_nperz-10_nz-100_nd-100_nmuestras-50.json,17758,10,100,100,50,54,0.33847033042385066,"[1.0, 0.5261219866073247, 0.4899753409755771]","[0.4257792915650727, 0.84128691717848, -0.3330890539460492]",12
oertel_seed-17759_nperz-10_nz-100_nd-100_nmuestras-50.json,17759,10,100,100,50,54,0.4700256625442057,"[1.0, 0.4650731422696407, 0.47211304876461535]","[0.5090414157503713, -0.8098556202386892, -0.29156596409503227]",24
oertel_seed-17760_nperz-10_nz-100_nd-100_nmuestras-50.json,17760,10,100,100,50,54,0.4755926474538601,"[1.0, 0.4858861736116913, 0.47984658125714225]","[0.0627905195293134, 0.6831963085850506, -0.7275301743522389]",15
oertel_seed-17761_nperz-10_nz-100_nd-100_nmuestras-50.json,17761,10,100,100,50,54,0.4500948282450318,"[1.0, 0.546043368761294, 0.5162393547887677]","[0.12533323356430448, -0.9527214831395593, 0.276791177837506]",21
oertel_seed-17762_nperz-10_nz-100_nd-100_nmuestras-50.json,17762,10,100,100,50,54,0.4002042237404504,"[1.0, 0.5214684901960723, 0.5468846399011982]","[0.21814324139654234, 0.06127832049949922, -0.9739910131360404]",28
oertel_seed-17763_nperz-10_nz-100_nd-100_nmuestras-50.json,17763,10,100,100,50,54,0.3722412529288419,"[1.0, 0.5279701333053874, 0.5464137756552286]","[0.33873792024529137, -0.5041491268861163, -0.7944119077958619]",1
oertel_seed-17764_nperz-10_nz-100_nd-100_nmuestras-50.json,17764,10,100,100,50,54,0.46399567813225623,"[1.0, 0.4892866406413912, 0.47861366663604243]","[0.3681245526846781, 0.7850362515105809, 0.498199154480336]",10
oertel_seed-17765_nperz-10_nz-100_nd-100_nmuestras-50.json,17765,10,100,100,50,54,0.3474398222241351,"[1.0, 0.4946333062035713, 0.4494926902685743]","[0.5090414157503713, 0.8569220234204835, -0.08100298036370027]",7
oertel_seed-17766_nperz-10_nz-100_nd-100_nmuestras-50.json,17766,10,100,100,50,54,0.400643862870285,"[1.0, 0.511446890158313, 0.559392989375667]","[-0.30901699437494745, -0.8334171783286887, -0.4581749710035681]",12
oertel_seed-17767_nperz-10_nz-100_nd-100_nmuestras-50.json,17767,10,100,100,50,54,0.4686389603200114,"[1.0, 0.5117800221827616, 0.4855853453350597]","[0.12533323356430415, 0.5831503900152019, -0.8026376537326376]",24
oertel_seed-17768_nperz-10_nz-100_nd-100_nmuestras-50.json,17768,10,100,100,50,54,0.43031804567836723,"[1.0, 0.5620277407257631, 0.5813386864337875]","[0.9980267284282716, 0.04002418347676795, 0.048380926818107774]",27
oertel_seed-17769_nperz-10_nz-100_nd-100_nmuestras-50.json,17769,10,100,100,50,54,0.4227062849369661,"[1.0, 0.627052437247053, 0.4723055453604571]","[-0.33873792024529137, -0.02955377915486525, 0.9404165010917025]",19
oertel_seed-17770_nperz-10_nz-100_nd-100_nmuestras-50.json,17770,10,100,100,50,54,0.40420664354175234,"[1.0, 0.518854208319433, 0.4145864237869006]","[0.36812455268467775, -0.8748088149980956, -0.3149505531227618]",11
oertel_seed-17771_nperz-10_nz-100_nd-100_nmuestras-50.json,17771,10,100,100,50,54,0.3857990921855122,"[1.0, 0.4549439642040215, 0.5437635794259283]","[-0.9980267284282716, -0.05681456070851866, -0.02673490292219391]",20
oertel_seed-17772_nperz-10_nz-100_nd-100_nmuestras-50.json,17772,10,100,100,50,54,0.41968993450284126,"[1.0, 0.5709759206336887, 0.509979876147937]","[0.1564344650402308, -0.9292969653862762, -0.33456749434371996]",17
oertel_seed-17773_nperz-10_nz-100_nd-100_nmuestras-50.json,17773,10,100,100,50,54,0.4235914998758623,"[1.0, 0.5096111424885799, 0.5731011117561151]","[0.24868988716485474, 0.8010963171389387, 0.5444244949378754]",18
oertel_seed-17774_nperz-10_nz-100_nd-100_nmuestras-50.json,17774,10,100,100,50,54,0.4099553692522922,"[1.0, 0.46914649898385125, 0.5206658417770289]","[-0.4539904997395467, -0.42924566667634523, 0.780794969108931]",5
oertel_seed-17775_nperz-10_nz-100_nd-100_nmuestras-50.json,17775,10,100,100,50,54,0.4308356046429746,"[1.0, 0.4729578563218067, 0.4993829410999048]","[-0.15643446504023092, 0.8501448643320205, -0.5027742712166836]",18
oertel_seed-17776_nperz-10_nz-100_nd-100_nmuestras-50.json,17776,10,100,100,50,54,0.45868105462654307,"[1.0, 0.5587821299992564, 0.45656497531367024]","[0.48175367410171543, 0.558578900236988, -0.6752059017066833]",31
oertel_seed-17777_nperz-10_nz-100_nd-100_nmuestras-50.json,17777,10,100,100,50,54,0.46187254810857487,"[1.0, 0.44949373363699696, 0.5159367081927861]","[-0.36812455268467775, 5.693238986827606e-17, 0.9297764858882515]",37
oertel_seed-17778_nperz-10_nz-100_nd-100_nmuestras-50.json,17778,10,100,100,50,54,0.4638706846180992,"[1.0, 0.5296914929535785, 0.48491733109705293]","[0.1564344650402308, 0.36359232857345675, -0.9183293944713457]",28
oertel_seed-17779_nperz-10_nz-100_nd-100_nmuestras-50.json,17779,10,100,100,50,54,0.4651864541179571,"[1.0, 0.45226429423022596, 0.4482377752741458]","[0.15643446504023092, -0.8168978399437155, 0.5551631987468809]",46
oertel_seed-17780_nperz-10_nz-100_nd-100_nmuestras-50.json,17780,10,100,100,50,54,0.4828329165402656,"[1.0, 0.5133819946591055, 0.47998581988205036]","[0.0627905195293134, -0.8426618372094055, -0.5347694631970943]",24
oertel_seed-17781_nperz-10_nz-100_nd-100_nmuestras-50.json,17781,10,100,100,50,54,0.4604468421590884,"[1.0, 0.5642480594503446, 0.5324303642618206]","[0.3090169943749471, 0.1782102202687055, -0.9342106906791708]",36
oertel_seed-17782_nperz-10_nz-100_nd-100_nmuestras-50.json,17782,10,100,100,50,54,0.4567967083315755,"[1.0, 0.4663880111115475, 0.49318527306592924]","[0.3090169943749471, 0.2938926261462363, -0.9045084971874738]",24
oertel_seed-17783_nperz-10_nz-100_nd-100_nmuestras-50.json,17783,10,100,100,50,54,0.414314754529576,"[1.0, 0.4752607288331316, 0.3972514472344773]","[0.24868988716485474, -0.0911517276025303, 0.9642845547746816]",10
oertel_seed-17784_nperz-10_nz-100_nd-100_nmuestras-50.json,17784,10,100,100,50,54,0.4368798352283697,"[1.0, 0.5198391436939113, 0.445607600472935]","[0.3387379202452915, 0.8852566213878946, 0.3187119948743448]",38
