file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u,best_index
oertel_seed-16251_nperz-10_nz-100_nd-100_nmuestras-50.json,16251,10,100,100,50,54,0.4595168041797525,"[1.0, 0.5435166829269142, 0.4918405527841746]","[-0.2789911060392295, -0.6790301770727893, -0.6790301770727893]",29
oertel_seed-16252_nperz-10_nz-100_nd-100_nmuestras-50.json,16252,10,100,100,50,54,0.46137680573329615,"[1.0, 0.487696469609595, 0.5410251554264176]","[0.3387379202452915, -0.14718617975799528, 0.9292969653862762]",7
oertel_seed-16253_nperz-10_nz-100_nd-100_nmuestras-50.json,16253,10,100,100,50,54,0.4391070755029258,"[1.0, 0.5028906334189193, 0.5179409149890164]","[-0.9510565162951535, -0.1573024483075478, 0.26598391411695854]",20
oertel_seed-16254_nperz-10_nz-100_nd-100_nmuestras-50.json,16254,10,100,100,50,54,0.4246553096113903,"[1.0, 0.5383560760278906, 0.5274232654478948]","[0.39714789063478056, -0.08636833986338398, 0.9136815981695086]",9
oertel_seed-16255_nperz-10_nz-100_nd-100_nmuestras-50.json,16255,10,100,100,50,54,0.4716694846264872,"[1.0, 0.5216909137275072, 0.5028041245465095]","[-0.4539904997395467, 0.6683538569066546, 0.5892331865265531]",30
oertel_seed-16256_nperz-10_nz-100_nd-100_nmuestras-50.json,16256,10,100,100,50,54,0.47552406822274124,"[1.0, 0.49785308829582914, 0.46260046591796344]","[0.5358267949789969, 0.7639707481467369, -0.3594973459688556]",7
oertel_seed-16257_nperz-10_nz-100_nd-100_nmuestras-50.json,16257,10,100,100,50,54,0.4597089527849296,"[1.0, 0.5377766670095812, 0.42180781166392967]","[-0.2789911060392295, 0.9583987654464863, -0.0602973394243746]",33
oertel_seed-16258_nperz-10_nz-100_nd-100_nmuestras-50.json,16258,10,100,100,50,54,0.4317484398113818,"[1.0, 0.454027399452577, 0.44208030229217865]","[0.27899110603922916, 0.9371667042360675, -0.20948157728620115]",19
oertel_seed-16259_nperz-10_nz-100_nd-100_nmuestras-50.json,16259,10,100,100,50,54,0.4397859983204663,"[1.0, 0.47296716107772585, 0.4907413612853485]","[0.3090169943749471, 0.9435571515973541, -0.11919898848967429]",14
oertel_seed-16260_nperz-10_nz-100_nd-100_nmuestras-50.json,16260,10,100,100,50,54,0.4748242779234169,"[1.0, 0.4504196539017161, 0.5090657857186823]","[-0.9995065603657316, -0.018462780949435733, -0.025411837900422944]",22
oertel_seed-16261_nperz-10_nz-100_nd-100_nmuestras-50.json,16261,10,100,100,50,54,0.4412484191774517,"[1.0, 0.5140232269129335, 0.5132280649371528]","[-0.36812455268467775, 0.8928584884893852, 0.25939937016723114]",33
oertel_seed-16262_nperz-10_nz-100_nd-100_nmuestras-50.json,16262,10,100,100,50,54,0.4266612669468849,"[1.0, 0.509971417148612, 0.43738965342261615]","[0.2181432413965427, -0.06127832049949921, 0.9739910131360403]",21
oertel_seed-16263_nperz-10_nz-100_nd-100_nmuestras-50.json,16263,10,100,100,50,54,0.45960093871313185,"[1.0, 0.5220819048132082, 0.463202659687811]","[0.3090169943749471, -0.9281519958035119, -0.2074665512159285]",17
oertel_seed-16264_nperz-10_nz-100_nd-100_nmuestras-50.json,16264,10,100,100,50,54,0.4596444095791775,"[1.0, 0.5134010925652891, 0.48500862969631897]","[0.27899110603922916, -0.8928584884893852, -0.35350768348574535]",25
oertel_seed-16265_nperz-10_nz-100_nd-100_nmuestras-50.json,16265,10,100,100,50,54,0.4535456466064765,"[1.0, 0.47984576170202686, 0.4572727757831766]","[0.1873813145857246, -0.7368245403284601, -0.6495982140630308]",33
oertel_seed-16266_nperz-10_nz-100_nd-100_nmuestras-50.json,16266,10,100,100,50,54,0.4561683363846345,"[1.0, 0.5299470294077862, 0.4727748882384492]","[0.3387379202452915, -0.8245001029593948, 0.45327276733534516]",1
oertel_seed-16267_nperz-10_nz-100_nd-100_nmuestras-50.json,16267,10,100,100,50,54,0.44907293297423023,"[1.0, 0.5311457199122187, 0.529696623049891]","[0.3090169943749471, 0.5829092472599268, -0.7514820734031781]",3
oertel_seed-16268_nperz-10_nz-100_nd-100_nmuestras-50.json,16268,10,100,100,50,54,0.4328553548929307,"[1.0, 0.5202355571163106, 0.500814289811939]","[0.33873792024529137, -0.9182213134082464, -0.20524678070734617]",5
oertel_seed-16269_nperz-10_nz-100_nd-100_nmuestras-50.json,16269,10,100,100,50,54,0.4154362864854369,"[1.0, 0.4129742856360131, 0.4689920738746187]","[0.2181432413965427, 0.7895332455038164, 0.57362948013262]",24
oertel_seed-16270_nperz-10_nz-100_nd-100_nmuestras-50.json,16270,10,100,100,50,54,0.44231849331048884,"[1.0, 0.5378159755368281, 0.5083676696144437]","[0.3387379202452915, 0.5997399736246175, 0.7249610923522984]",28
oertel_seed-16271_nperz-10_nz-100_nd-100_nmuestras-50.json,16271,10,100,100,50,54,0.44318674355379833,"[1.0, 0.5480657095467822, 0.518495896146117]","[0.3090169943749471, -0.2938926261462366, -0.9045084971874737]",30
oertel_seed-16272_nperz-10_nz-100_nd-100_nmuestras-50.json,16272,10,100,100,50,54,0.4581370127886725,"[1.0, 0.4839322809261165, 0.45518209076290006]","[-0.9995065603657316, -0.01598937727092425, -0.02703656043864067]",25
oertel_seed-16273_nperz-10_nz-100_nd-100_nmuestras-50.json,16273,10,100,100,50,54,0.468833318993544,"[1.0, 0.5131690478317048, 0.44006643562137515]","[0.9995065603657316, 0.01426018621107797, 0.027987191268321308]",23
oertel_seed-16274_nperz-10_nz-100_nd-100_nmuestras-50.json,16274,10,100,100,50,54,0.44975350511693146,"[1.0, 0.5388961855636872, 0.5051917548020127]","[-0.09410831331851438, 0.8569220234204835, 0.5067822719287729]",35
oertel_seed-16275_nperz-10_nz-100_nd-100_nmuestras-50.json,16275,10,100,100,50,54,0.4132989500027584,"[1.0, 0.4294653062824276, 0.47284177321859455]","[0.9995065603657316, -0.012474716711115939, 0.028827369440197342]",25
oertel_seed-16276_nperz-10_nz-100_nd-100_nmuestras-50.json,16276,10,100,100,50,54,0.34663873078696467,"[1.0, 0.4684749612819943, 0.4665299340104122]","[0.4257792915650727, 0.08515174775254002, -0.9008113979790845]",4
oertel_seed-16277_nperz-10_nz-100_nd-100_nmuestras-50.json,16277,10,100,100,50,54,0.45841485439764545,"[1.0, 0.5323141605446258, 0.4648690821783576]","[-0.9995065603657316, -0.031271357017495435, -0.002956013556896865]",14
oertel_seed-16278_nperz-10_nz-100_nd-100_nmuestras-50.json,16278,10,100,100,50,54,0.4358999237205037,"[1.0, 0.5222775894464438, 0.5249410796222005]","[0.9995065603657316, -0.006852044800028774, 0.03065428628956508]",23
