file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-18942_nperz-5_nz-100_nd-100_nmuestras-50.json,18942,5,100,100,50,54,0.273326491,"[1.0, 0.4311938505654019, 0.5083491454564849]","[0.5090414157503713, -0.5059314695012478, -0.6963549276189303]"
oertel_seed-18848_nperz-5_nz-100_nd-100_nmuestras-50.json,18848,5,100,100,50,54,0.290303497,"[1.0, 0.5163052265986806, 0.47159458490524286]","[-0.9822872507286887, 0.18406227634233896, -0.035111757055874285]"
oertel_seed-18770_nperz-5_nz-100_nd-100_nmuestras-50.json,18770,5,100,100,50,54,0.295956789,"[1.0, 0.6147944608264098, 0.4804559436990791]","[-0.5358267949789969, -0.7398902012649933, 0.406758080257275]"
oertel_seed-18964_nperz-5_nz-100_nd-100_nmuestras-50.json,18964,5,100,100,50,54,0.313018179,"[1.0, 0.42093293723939695, 0.5396020889742429]","[-0.2789911060392295, -0.7942402530219216, -0.5397651185753682]"
oertel_seed-18810_nperz-5_nz-100_nd-100_nmuestras-50.json,18810,5,100,100,50,54,0.319812686,"[1.0, 0.3761642336031665, 0.5095688352097669]","[0.9995065603657316, 0.030163553605046314, 0.008763322416738774]"
oertel_seed-18911_nperz-5_nz-100_nd-100_nmuestras-50.json,18911,5,100,100,50,54,0.320548178,"[1.0, 0.51671372960626, 0.6333348519008912]","[-0.1564344650402308, -0.8800367553350504, 0.44840112333371035]"
oertel_seed-18880_nperz-5_nz-100_nd-100_nmuestras-50.json,18880,5,100,100,50,54,0.321002294,"[1.0, 0.4597593421450113, 0.5724203414718085]","[0.4257792915650727, -0.9008113979790845, -0.08515174775253995]"
oertel_seed-18846_nperz-5_nz-100_nd-100_nmuestras-50.json,18846,5,100,100,50,54,0.322998249,"[1.0, 0.3590498773440293, 0.48734812816366363]","[-0.9995065603657316, -0.018462780949435733, -0.025411837900422944]"
oertel_seed-18930_nperz-5_nz-100_nd-100_nmuestras-50.json,18930,5,100,100,50,54,0.324205692,"[1.0, 0.4956680346483704, 0.6123160280414052]","[0.4539904997395467, -0.5237204946142995, -0.7208394201673423]"
oertel_seed-18877_nperz-5_nz-100_nd-100_nmuestras-50.json,18877,5,100,100,50,54,0.325812289,"[1.0, 0.40506719051488865, 0.47846338794086507]","[-0.3090169943749471, 0.484127155513501, 0.8186143136311997]"
