file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-1001_nperz-5_nz-100_nd-100_nmuestras-50.json,1001,5,100,100,50,54,0.39010022808163236,"[1.0, 0.4619112318709544, 0.5037330522189103]","[-0.9995065603657316, -0.03134877712019301, -0.001972297881325772]"
oertel_seed-1002_nperz-5_nz-100_nd-100_nmuestras-50.json,1002,5,100,100,50,54,0.40979682494042613,"[1.0, 0.3813915306557589, 0.41813777407991987]","[-0.9995065603657316, 0.02597922865673825, -0.017655465563533833]"
oertel_seed-1003_nperz-5_nz-100_nd-100_nmuestras-50.json,1003,5,100,100,50,54,0.3040017955730164,"[1.0, 0.38667972419796054, 0.544591297189168]","[0.9995065603657316, -0.024202405835337688, 0.020021971372615414]"
oertel_seed-1004_nperz-5_nz-100_nd-100_nmuestras-50.json,1004,5,100,100,50,54,0.37026023204341096,"[1.0, 0.39511385221081374, 0.5509641059305757]","[0.4257792915650727, -5.5404677679222246e-17, -0.9048270524660195]"
oertel_seed-1005_nperz-5_nz-100_nd-100_nmuestras-50.json,1005,5,100,100,50,54,0.40785541938140796,"[1.0, 0.4157660101730295, 0.5226347835700296]","[0.4539904997395467, -0.6099359374967274, -0.6495158029611173]"
oertel_seed-1014_nperz-5_nz-100_nd-100_nmuestras-50.json,1014,5,100,100,50,54,0.43921569034219987,"[1.0, 0.4616252878485778, 0.5585009538093706]","[0.18738131458572474, -0.7568653348962765, 0.6261334584387523]"
oertel_seed-1015_nperz-5_nz-100_nd-100_nmuestras-50.json,1015,5,100,100,50,54,0.38956129199936856,"[1.0, 0.7198217336440768, 0.5352163704196038]","[-0.7901550123756903, 0.278253979581808, -0.5461041835258721]"
oertel_seed-1016_nperz-5_nz-100_nd-100_nmuestras-50.json,1016,5,100,100,50,54,0.40742806598348696,"[1.0, 0.49579406262958514, 0.5583366023522566]","[0.9995065603657316, 0.030423932321343345, 0.007811538130902163]"
oertel_seed-1017_nperz-5_nz-100_nd-100_nmuestras-50.json,1017,5,100,100,50,54,0.41719954780488755,"[1.0, 0.6738615597825359, 0.5160301790048702]","[6.123233995736766e-17, -0.9048270524660194, 0.4257792915650729]"
oertel_seed-1018_nperz-5_nz-100_nd-100_nmuestras-50.json,1018,5,100,100,50,54,0.3347142997436287,"[1.0, 0.450725258704528, 0.5833882893585376]","[-0.48175367410171543, -0.5795120051753838, 0.6573273410920194]"
oertel_seed-1019_nperz-5_nz-100_nd-100_nmuestras-50.json,1019,5,100,100,50,54,0.38719108749140185,"[1.0, 0.4790082936936796, 0.4360383861359148]","[0.4257792915650727, 0.8605416643679445, -0.2796069361821923]"
oertel_seed-1020_nperz-5_nz-100_nd-100_nmuestras-50.json,1020,5,100,100,50,54,0.46029604338744223,"[1.0, 0.4524771263869055, 0.4345466803466258]","[-0.9995065603657316, -0.025979228656738254, -0.017655465563533826]"
oertel_seed-1021_nperz-5_nz-100_nd-100_nmuestras-50.json,1021,5,100,100,50,54,0.4088869461144582,"[1.0, 0.5351647739236742, 0.5386968469112517]","[0.9980267284282716, 0.05594676255779534, 0.028506299340018748]"
oertel_seed-1022_nperz-5_nz-100_nd-100_nmuestras-50.json,1022,5,100,100,50,54,0.3745525494846655,"[1.0, 0.4116186557294955, 0.5230072814177856]","[-0.09410831331851438, 0.9877116611522395, 0.12477700023733543]"
oertel_seed-1023_nperz-5_nz-100_nd-100_nmuestras-50.json,1023,5,100,100,50,54,0.45496900570950705,"[1.0, 0.5275864111156947, 0.5649122198005174]","[0.9995065603657316, 0.02798719126832131, 0.014260186211077969]"
