file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u,best_index
oertel_seed-14251_nperz-10_nz-100_nd-100_nmuestras-50.json,14251,10,100,100,50,54,0.46838544369042,"[1.0, 0.5115291112992355, 0.4648136250051469]","[-0.9995065603657316, -0.025979228656738254, -0.017655465563533826]",31
oertel_seed-14252_nperz-10_nz-100_nd-100_nmuestras-50.json,14252,10,100,100,50,54,0.44818190447142364,"[1.0, 0.4789032827231242, 0.5551922825174297]","[0.12533323356430415, -0.5576511825315994, -0.8205587969094136]",43
oertel_seed-14253_nperz-10_nz-100_nd-100_nmuestras-50.json,14253,10,100,100,50,54,0.4311457964804622,"[1.0, 0.5696011338603675, 0.5654750951986398]","[0.99556196460308, -0.08950232461911901, 0.029081068127383133]",5
oertel_seed-14254_nperz-10_nz-100_nd-100_nmuestras-50.json,14254,10,100,100,50,54,0.45513059334944167,"[1.0, 0.5346958063833598, 0.5676344817167467]","[0.24868988716485485, -0.8337002334317453, -0.49304894361288837]",27
oertel_seed-14255_nperz-10_nz-100_nd-100_nmuestras-50.json,14255,10,100,100,50,54,0.46300750769818355,"[1.0, 0.50339593658042, 0.6151017827730856]","[0.99556196460308, 0.057679649040301775, 0.07436015547484602]",25
oertel_seed-14256_nperz-10_nz-100_nd-100_nmuestras-50.json,14256,10,100,100,50,54,0.4654560918783207,"[1.0, 0.514344849194573, 0.5049946895662606]","[-0.33873792024529137, -0.23398753226680818, 0.9113212694388209]",33
oertel_seed-14257_nperz-10_nz-100_nd-100_nmuestras-50.json,14257,10,100,100,50,54,0.470602828064982,"[1.0, 0.5085979694301583, 0.4766931806099655]","[-0.21814324139654234, -0.7519567889206721, 0.6220727560576187]",31
oertel_seed-14258_nperz-10_nz-100_nd-100_nmuestras-50.json,14258,10,100,100,50,54,0.4497591954715345,"[1.0, 0.5581550711475891, 0.46492316043869064]","[0.4257792915650727, -0.33308905394604915, -0.84128691717848]",28
oertel_seed-14259_nperz-10_nz-100_nd-100_nmuestras-50.json,14259,10,100,100,50,54,0.47040494700172475,"[1.0, 0.5439902798648047, 0.5449318920688788]","[-0.27899110603922916, 0.943284244395724, 0.1799410932105162]",31
oertel_seed-14260_nperz-10_nz-100_nd-100_nmuestras-50.json,14260,10,100,100,50,54,0.45793208308290206,"[1.0, 0.573698752325302, 0.501759093659743]","[-0.9995065603657316, 0.010640015203451083, -0.029553779154865265]",27
oertel_seed-14261_nperz-10_nz-100_nd-100_nmuestras-50.json,14261,10,100,100,50,54,0.4527030178648105,"[1.0, 0.4625981455417258, 0.513058430266326]","[0.3971478906347807, -5.619626323732823e-17, -0.9177546256839811]",16
oertel_seed-14262_nperz-10_nz-100_nd-100_nmuestras-50.json,14262,10,100,100,50,54,0.449836112420163,"[1.0, 0.500949968242447, 0.5982042389975456]","[-0.2789911060392295, -0.8556279390750501, -0.43596421025720655]",35
oertel_seed-14263_nperz-10_nz-100_nd-100_nmuestras-50.json,14263,10,100,100,50,54,0.46641685431696933,"[1.0, 0.5672784911004772, 0.5328478237672555]","[-0.33873792024529137, 0.029553779154865362, 0.9404165010917025]",29
oertel_seed-14264_nperz-10_nz-100_nd-100_nmuestras-50.json,14264,10,100,100,50,54,0.4356341144651127,"[1.0, 0.514286726526058, 0.4918450731332639]","[0.30901699437494745, -0.5345730592074599, 0.7866003696649596]",33
oertel_seed-14265_nperz-10_nz-100_nd-100_nmuestras-50.json,14265,10,100,100,50,54,0.4372274333648646,"[1.0, 0.45460814762691626, 0.4681848633620268]","[0.24868988716485474, -0.41240265216720723, 0.8764002467522388]",31
oertel_seed-14266_nperz-10_nz-100_nd-100_nmuestras-50.json,14266,10,100,100,50,54,0.41926525113360247,"[1.0, 0.49384911129332, 0.4946247809458859]","[0.15643446504023092, -0.8501448643320205, 0.5027742712166836]",20
oertel_seed-14267_nperz-10_nz-100_nd-100_nmuestras-50.json,14267,10,100,100,50,54,0.4679635304462068,"[1.0, 0.5317018760800909, 0.5478406971700631]","[-0.4539904997395467, 0.8383309036215832, 0.30181769692855365]",53
oertel_seed-14268_nperz-10_nz-100_nd-100_nmuestras-50.json,14268,10,100,100,50,54,0.42414776456300657,"[1.0, 0.5127774160003525, 0.5507169516726544]","[0.24868988716485485, 0.7836002378184704, -0.5693188977302337]",24
oertel_seed-14269_nperz-10_nz-100_nd-100_nmuestras-50.json,14269,10,100,100,50,54,0.48147062680781627,"[1.0, 0.5307487826838689, 0.5504043128715338]","[0.9995065603657316, 0.022210760746361424, 0.02221076074636142]",31
oertel_seed-14270_nperz-10_nz-100_nd-100_nmuestras-50.json,14270,10,100,100,50,54,0.40696880922552897,"[1.0, 0.5860163017174892, 0.44445222484677055]","[-0.21814324139654234, -0.030654286289565066, 0.97543520592866]",11
oertel_seed-14271_nperz-10_nz-100_nd-100_nmuestras-50.json,14271,10,100,100,50,54,0.4531142276390995,"[1.0, 0.5192247603552805, 0.48579940193831594]","[-0.27899110603922916, -0.5397651185753685, 0.7942402530219216]",17
oertel_seed-14272_nperz-10_nz-100_nd-100_nmuestras-50.json,14272,10,100,100,50,54,0.4532533146942636,"[1.0, 0.4599376995529567, 0.5785128592278442]","[-0.12533323356430415, 0.9435571515973541, 0.30658030307539863]",28
oertel_seed-14273_nperz-10_nz-100_nd-100_nmuestras-50.json,14273,10,100,100,50,54,0.4256021171358773,"[1.0, 0.4495180053299665, 0.5211705116101495]","[0.1873813145857246, 0.794687079197354, -0.5773739594932422]",11
oertel_seed-14274_nperz-10_nz-100_nd-100_nmuestras-50.json,14274,10,100,100,50,54,0.4108564173621377,"[1.0, 0.42122653431564444, 0.4611775883602379]","[-0.1564344650402308, -0.18507433966170983, 0.9701936646599786]",46
oertel_seed-14275_nperz-10_nz-100_nd-100_nmuestras-50.json,14275,10,100,100,50,54,0.4384055926375856,"[1.0, 0.5016157715650138, 0.5158098548138498]","[-0.2181432413965427, 0.5229223507159196, -0.8239937750703863]",22
oertel_seed-14276_nperz-10_nz-100_nd-100_nmuestras-50.json,14276,10,100,100,50,54,0.4465864708097362,"[1.0, 0.5048075494085864, 0.588843430941604]","[0.30901699437494745, 0.23651813772484157, 0.9211773269651432]",25
oertel_seed-14277_nperz-10_nz-100_nd-100_nmuestras-50.json,14277,10,100,100,50,54,0.4492439881825291,"[1.0, 0.535485453259209, 0.5244223636222335]","[-0.33873792024529137, -0.02955377915486525, 0.9404165010917025]",37
oertel_seed-14278_nperz-10_nz-100_nd-100_nmuestras-50.json,14278,10,100,100,50,54,0.42838828147838287,"[1.0, 0.5593218542084677, 0.46631703574638733]","[6.123233995736766e-17, 0.5090414157503712, 0.8607420270039436]",21
oertel_seed-14279_nperz-10_nz-100_nd-100_nmuestras-50.json,14279,10,100,100,50,54,0.4140264223606504,"[1.0, 0.43888117872847776, 0.49188468832143917]","[0.3971478906347807, 0.171970068227794, -0.9014986681066547]",26
oertel_seed-14280_nperz-10_nz-100_nd-100_nmuestras-50.json,14280,10,100,100,50,54,0.46475246380560836,"[1.0, 0.5040525539036911, 0.45492852312688564]","[-0.3090169943749471, 0.9281519958035119, 0.2074665512159285]",45
oertel_seed-14281_nperz-10_nz-100_nd-100_nmuestras-50.json,14281,10,100,100,50,54,0.4784123505164397,"[1.0, 0.4357789458939543, 0.4326834087891105]","[-0.24868988716485474, -0.7653308396684787, -0.5936514515052355]",32
