file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-14834_nperz-5_nz-100_nd-100_nmuestras-50.json,14834,5,100,100,50,54,0.255913316,"[1.0, 0.3811874393042664, 0.44339650807012315]","[-0.5358267949789969, 0.8376701476209043, 0.10582234909180853]"
oertel_seed-14781_nperz-5_nz-100_nd-100_nmuestras-50.json,14781,5,100,100,50,54,0.298531814,"[1.0, 0.39865105277048246, 0.4904436084910135]","[-0.4539904997395467, 0.3538613616232379, 0.8177253590884807]"
oertel_seed-14810_nperz-5_nz-100_nd-100_nmuestras-50.json,14810,5,100,100,50,54,0.301354195,"[1.0, 0.4270569715381335, 0.35704305134865655]","[-0.8443279255020149, -0.14949091017664565, 0.5145510878348447]"
oertel_seed-14757_nperz-5_nz-100_nd-100_nmuestras-50.json,14757,5,100,100,50,54,0.316398082,"[1.0, 0.5305578383867056, 0.5765110010161513]","[0.9759167619387474, -0.17648158949783943, 0.12822138018016466]"
oertel_seed-14843_nperz-5_nz-100_nd-100_nmuestras-50.json,14843,5,100,100,50,54,0.32875383,"[1.0, 0.47703977303644424, 0.5289865060596599]","[0.9995065603657316, -0.00393681200397114, 0.031163075860858275]"
oertel_seed-14812_nperz-5_nz-100_nd-100_nmuestras-50.json,14812,5,100,100,50,54,0.330478998,"[1.0, 0.5033858925636671, 0.5852685831322821]","[0.7071067811865476, 0.5, 0.4999999999999999]"
oertel_seed-14889_nperz-5_nz-100_nd-100_nmuestras-50.json,14889,5,100,100,50,54,0.333473916,"[1.0, 0.41604762390669525, 0.5678050964796316]","[0.27899110603922916, -0.5885707735298127, -0.7587808690903624]"
oertel_seed-14830_nperz-5_nz-100_nd-100_nmuestras-50.json,14830,5,100,100,50,54,0.335355085,"[1.0, 0.5000037288746032, 0.46840506847028307]","[-0.0627905195293134, 0.5080369387958386, 0.8590435492314649]"
oertel_seed-14893_nperz-5_nz-100_nd-100_nmuestras-50.json,14893,5,100,100,50,54,0.338493351,"[1.0, 0.4212840266659813, 0.7132490127522727]","[0.36812455268467775, -0.9293176973191034, -0.029204985194744616]"
oertel_seed-14894_nperz-5_nz-100_nd-100_nmuestras-50.json,14894,5,100,100,50,54,0.339417003,"[1.0, 0.4353194842411457, 0.47595463971398566]","[0.9995065603657316, -0.027987191268321308, 0.014260186211077972]"
oertel_seed-14837_nperz-5_nz-100_nd-100_nmuestras-50.json,14837,5,100,100,50,54,0.340365696,"[1.0, 0.41395181535542613, 0.525721323754125]","[0.4539904997395467, -0.05594676255779548, -0.8892483263439624]"
oertel_seed-14776_nperz-5_nz-100_nd-100_nmuestras-50.json,14776,5,100,100,50,54,0.340874774,"[1.0, 0.5034736475431306, 0.5199690057512356]","[-0.3971478906347807, 0.9173017691771355, 0.028827369440197342]"
oertel_seed-14838_nperz-5_nz-100_nd-100_nmuestras-50.json,14838,5,100,100,50,54,0.341064409,"[1.0, 0.397230577453554, 0.6325267702963704]","[-0.9995065603657316, 0.029204985194744612, -0.011563071635122171]"
oertel_seed-14840_nperz-5_nz-100_nd-100_nmuestras-50.json,14840,5,100,100,50,54,0.344165665,"[1.0, 0.5170775151211415, 0.4988028941828028]","[-0.6845471059286887, -0.1590195792620951, 0.7114127024280371]"
oertel_seed-14782_nperz-5_nz-100_nd-100_nmuestras-50.json,14782,5,100,100,50,54,0.354745834,"[1.0, 0.3834106226107866, 0.5150730092465907]","[-0.9995065603657316, 0.02987340710303106, -0.009706458361358802]"
oertel_seed-14901_nperz-5_nz-100_nd-100_nmuestras-50.json,14901,5,100,100,50,54,0.356702092,"[1.0, 0.6543257172545426, 0.46593160790613186]","[0.7289686274214113, 0.43634674743198376, -0.5274526104218957]"
oertel_seed-14888_nperz-5_nz-100_nd-100_nmuestras-50.json,14888,5,100,100,50,54,0.356837749,"[1.0, 0.3970372856567912, 0.6512120787999963]","[0.12533323356430448, -0.5576511825315994, 0.8205587969094136]"
oertel_seed-14885_nperz-5_nz-100_nd-100_nmuestras-50.json,14885,5,100,100,50,54,0.362671374,"[1.0, 0.543188042192083, 0.39323675763058896]","[0.6613118653236517, -0.5468074368421231, -0.5134863618406043]"
