file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-3637_nperz-5_nz-100_nd-100_nmuestras-50.json,3637,5,100,100,50,54,0.432819873338529,"[1.0, 0.4520325220892557, 0.47710625920762584]","[0.48175367410171543, -0.8487758942750212, -0.2179286093819169]"
oertel_seed-3638_nperz-5_nz-100_nd-100_nmuestras-50.json,3638,5,100,100,50,54,0.37796684640534506,"[1.0, 0.5683123425411937, 0.5922813516355538]","[0.9995065603657316, 0.027525458005412253, 0.015132248592212114]"
oertel_seed-3639_nperz-5_nz-100_nd-100_nmuestras-50.json,3639,5,100,100,50,54,0.31899978031676257,"[1.0, 0.46729739514601853, 0.5183045996186642]","[-0.27899110603922916, -0.09037161904947673, 0.95603186830847]"
oertel_seed-3640_nperz-5_nz-100_nd-100_nmuestras-50.json,3640,5,100,100,50,54,0.38095399392637985,"[1.0, 0.5088986988092222, 0.4543265980815892]","[0.36812455268467775, 0.08749969685015883, -0.9256501049326555]"
oertel_seed-3641_nperz-5_nz-100_nd-100_nmuestras-50.json,3641,5,100,100,50,54,0.38790239901870827,"[1.0, 0.44932994084681205, 0.5546304068371942]","[-0.4257792915650727, -0.5318439973147939, 0.7320204624152019]"
oertel_seed-3642_nperz-5_nz-100_nd-100_nmuestras-50.json,3642,5,100,100,50,54,0.41949307088222865,"[1.0, 0.6334063980723021, 0.4287550066975427]","[0.9995065603657316, 0.03085438817815584, 0.005885789328195163]"
oertel_seed-3643_nperz-5_nz-100_nd-100_nmuestras-50.json,3643,5,100,100,50,54,0.457534843336605,"[1.0, 0.46902737215041673, 0.6287573278979943]","[0.06279051952931353, 0.8074205841389022, 0.5866253923638431]"
oertel_seed-3644_nperz-5_nz-100_nd-100_nmuestras-50.json,3644,5,100,100,50,54,0.3680678126929631,"[1.0, 0.5604285414610243, 0.591671560333966]","[0.18738131458572474, 0.5263358293066832, 0.8293725566548314]"
oertel_seed-3645_nperz-5_nz-100_nd-100_nmuestras-50.json,3645,5,100,100,50,54,0.42876568325565173,"[1.0, 0.47940906659643284, 0.3894769430941629]","[-0.03141075907812828, 0.9043805749361746, 0.42556919518716374]"
oertel_seed-3646_nperz-5_nz-100_nd-100_nmuestras-50.json,3646,5,100,100,50,54,0.4086136261583382,"[1.0, 0.4272920015535395, 0.4425003599778784]","[0.33873792024529137, 0.2907481472874238, -0.894830786370711]"
oertel_seed-3647_nperz-5_nz-100_nd-100_nmuestras-50.json,3647,5,100,100,50,54,0.3955319653219142,"[1.0, 0.386159306754301, 0.4725468569857702]","[0.9177546256839809, 0.024937122382928844, -0.39636420999241956]"
oertel_seed-3648_nperz-5_nz-100_nd-100_nmuestras-50.json,3648,5,100,100,50,54,0.46684789324349285,"[1.0, 0.5159096728567724, 0.5416539806958733]","[-0.09410831331851428, -0.8405807682820291, -0.5334487766962617]"
oertel_seed-3649_nperz-5_nz-100_nd-100_nmuestras-50.json,3649,5,100,100,50,54,0.39214268655046236,"[1.0, 0.4856110349552451, 0.557643038515874]","[-0.3971478906347807, 0.7899499768034755, 0.46717511396962585]"
oertel_seed-3650_nperz-5_nz-100_nd-100_nmuestras-50.json,3650,5,100,100,50,54,0.32910388221198167,"[1.0, 0.5711189953096661, 0.5312612568129368]","[0.18738131458572474, 0.7160565888972441, 0.6724218946769719]"
oertel_seed-3651_nperz-5_nz-100_nd-100_nmuestras-50.json,3651,5,100,100,50,54,0.39155758437066557,"[1.0, 0.49711097690163614, 0.6030874866479663]","[0.9995065603657316, -0.02597922865673825, 0.017655465563533833]"
oertel_seed-3652_nperz-5_nz-100_nd-100_nmuestras-50.json,3652,5,100,100,50,54,0.39343503510734823,"[1.0, 0.4738575415555521, 0.46294929365498816]","[-0.30901699437494745, -0.9491798235084412, -0.05971733275991158]"
oertel_seed-3653_nperz-5_nz-100_nd-100_nmuestras-50.json,3653,5,100,100,50,54,0.4545269466286503,"[1.0, 0.38071019480418433, 0.4826727200067178]","[-0.1564344650402308, 0.8800367553350505, 0.44840112333371024]"
