file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u,best_index
oertel_seed-100_nperz-10_nz-100_nd-100_nmuestras-50.json,100,10,100,100,50,54,0.48559043045892786,"[1.0, 0.4762207881484024, 0.4866673135095625]","[-0.33873792024529137, -0.7611885317645367, 0.5530358401568957]",32
oertel_seed-101_nperz-10_nz-100_nd-100_nmuestras-50.json,101,10,100,100,50,54,0.401097717136605,"[1.0, 0.4804315066205695, 0.5088843302349915]","[0.24868988716485474, 0.2112898703307094, 0.9452565422770496]",13
oertel_seed-102_nperz-10_nz-100_nd-100_nmuestras-50.json,102,10,100,100,50,54,0.4271272706969509,"[1.0, 0.523723846347485, 0.5126842918668524]","[-0.36812455268467775, 0.2873167351096882, 0.8842699856020304]",29
oertel_seed-103_nperz-10_nz-100_nd-100_nmuestras-50.json,103,10,100,100,50,54,0.4301988288520414,"[1.0, 0.4964314122816714, 0.4565115465837483]","[0.5358267949789969, 0.4745826923810547, -0.6983272255002559]",8
oertel_seed-104_nperz-10_nz-100_nd-100_nmuestras-50.json,104,10,100,100,50,54,0.47095088128501944,"[1.0, 0.4624296477760578, 0.45879579786618585]","[0.2181432413965427, 0.8400125718582825, 0.49678205015181803]",29
oertel_seed-105_nperz-10_nz-100_nd-100_nmuestras-50.json,105,10,100,100,50,54,0.47139106257401225,"[1.0, 0.5079306381238684, 0.4444416272962913]","[0.1873813145857246, 0.716056588897244, -0.6724218946769722]",38
oertel_seed-106_nperz-10_nz-100_nd-100_nmuestras-50.json,106,10,100,100,50,54,0.4553416486549772,"[1.0, 0.47626493332398045, 0.5523204479642702]","[0.1564344650402308, 0.6984011233337103, -0.6984011233337104]",3
oertel_seed-107_nperz-10_nz-100_nd-100_nmuestras-50.json,107,10,100,100,50,54,0.45118533209747824,"[1.0, 0.5267203816152329, 0.5182964996598393]","[0.27899110603922916, 0.6121142324546712, -0.7399190017680559]",27
oertel_seed-108_nperz-10_nz-100_nd-100_nmuestras-50.json,108,10,100,100,50,54,0.4218927320441548,"[1.0, 0.49073013893566697, 0.4184273508665296]","[0.30901699437494745, -0.1191989884896739, 0.9435571515973541]",13
oertel_seed-109_nperz-10_nz-100_nd-100_nmuestras-50.json,109,10,100,100,50,54,0.4674014508032453,"[1.0, 0.5579707250441156, 0.48760262382454456]","[-0.27899110603922916, 0.5885707735298127, 0.7587808690903624]",34
oertel_seed-10_nperz-10_nz-100_nd-100_nmuestras-50.json,10,10,100,100,50,54,0.4367692164528977,"[1.0, 0.49602977363944833, 0.48095325171278547]","[0.30901699437494745, -0.5590169943749473, 0.7694208842938134]",16
oertel_seed-110_nperz-10_nz-100_nd-100_nmuestras-50.json,110,10,100,100,50,54,0.4131598222892795,"[1.0, 0.45305090401716586, 0.4865127038551048]","[-0.5358267949789969, -0.6333397233171835, 0.5583640753585869]",17
oertel_seed-111_nperz-10_nz-100_nd-100_nmuestras-50.json,111,10,100,100,50,54,0.44045278977901875,"[1.0, 0.4315683624350003, 0.5214838845276789]","[-0.3971478906347807, -0.9064555433153231, 0.14356845390707101]",31
oertel_seed-112_nperz-10_nz-100_nd-100_nmuestras-50.json,112,10,100,100,50,54,0.45204665085916285,"[1.0, 0.5230921857370505, 0.5399664085034553]","[0.9995065603657316, 0.022210760746361424, 0.02221076074636142]",26
oertel_seed-113_nperz-10_nz-100_nd-100_nmuestras-50.json,113,10,100,100,50,54,0.4201807811426426,"[1.0, 0.49728332642390666, 0.5263689418883362]","[-0.3387379202452915, 0.7057650799949834, -0.6222156163642707]",16
oertel_seed-114_nperz-10_nz-100_nd-100_nmuestras-50.json,114,10,100,100,50,54,0.42685894119775797,"[1.0, 0.5054407700603707, 0.4863658079847253]","[-0.2789911060392295, 0.46262501129154515, -0.8415117715626472]",39
oertel_seed-115_nperz-10_nz-100_nd-100_nmuestras-50.json,115,10,100,100,50,54,0.4653591556233682,"[1.0, 0.4948397837315822, 0.5031192556623669]","[0.15643446504023092, 0.21545753610699583, 0.9639016071582615]",29
oertel_seed-116_nperz-10_nz-100_nd-100_nmuestras-50.json,116,10,100,100,50,54,0.35581330785558396,"[1.0, 0.5193300124405481, 0.5204019169492926]","[0.5358267949789969, 0.42979788255511975, -0.7267485300526391]",10
oertel_seed-117_nperz-10_nz-100_nd-100_nmuestras-50.json,117,10,100,100,50,54,0.4643572143976499,"[1.0, 0.4612478772535133, 0.5536484328957797]","[-0.2789911060392295, -0.17994109321051632, -0.9432842443957238]",41
oertel_seed-118_nperz-10_nz-100_nd-100_nmuestras-50.json,118,10,100,100,50,54,0.4412755596943735,"[1.0, 0.5886221212027751, 0.4909147147308855]","[0.9980267284282716, 0.011765770092923362, 0.06167832680027527]",21
oertel_seed-119_nperz-10_nz-100_nd-100_nmuestras-50.json,119,10,100,100,50,54,0.42397831490165205,"[1.0, 0.513821028886652, 0.4242837769334011]","[0.4257792915650727, -0.8976922208985844, -0.1134049003020246]",20
oertel_seed-11_nperz-10_nz-100_nd-100_nmuestras-50.json,11,10,100,100,50,54,0.46507195218094344,"[1.0, 0.4765523186201799, 0.46904865024067444]","[0.24868988716485474, -0.32809584558532245, 0.9113212694388209]",22
oertel_seed-120_nperz-10_nz-100_nd-100_nmuestras-50.json,120,10,100,100,50,54,0.46527955252377845,"[1.0, 0.47886491417552635, 0.5277775586049622]","[0.15643446504023092, -0.9799001230213373, 0.12379017348055077]",3
oertel_seed-121_nperz-10_nz-100_nd-100_nmuestras-50.json,121,10,100,100,50,54,0.41623218368690007,"[1.0, 0.4430115597455302, 0.5334285063357171]","[-0.3681245526846781, 0.8842699856020303, -0.28731673510968825]",12
oertel_seed-122_nperz-10_nz-100_nd-100_nmuestras-50.json,122,10,100,100,50,54,0.3961484610267823,"[1.0, 0.5028167045208198, 0.43453918049386137]","[-0.5090414157503713, 0.08100298036370021, 0.8569220234204835]",9
oertel_seed-123_nperz-10_nz-100_nd-100_nmuestras-50.json,123,10,100,100,50,54,0.44218221962515414,"[1.0, 0.516334074245125, 0.4984850689809885]","[-0.27899110603922916, 0.7399190017680559, 0.6121142324546711]",43
oertel_seed-124_nperz-10_nz-100_nd-100_nmuestras-50.json,124,10,100,100,50,54,0.3942126059411439,"[1.0, 0.428940820230396, 0.6164269312406555]","[0.6845471059286886, -0.5897480079501012, 0.42847700858219234]",22
