file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u,best_index
oertel_seed-11751_nperz-10_nz-100_nd-100_nmuestras-50.json,11751,10,100,100,50,54,0.4694363198627671,"[1.0, 0.5311209742397118, 0.5441976216238005]","[0.2789911060392295, -0.17994109321051618, 0.9432842443957239]",32
oertel_seed-11752_nperz-10_nz-100_nd-100_nmuestras-50.json,11752,10,100,100,50,54,0.479419847115293,"[1.0, 0.5600288819261917, 0.5079637347469983]","[0.24868988716485485, -0.8337002334317453, -0.49304894361288837]",31
oertel_seed-11753_nperz-10_nz-100_nd-100_nmuestras-50.json,11753,10,100,100,50,54,0.4630165296032337,"[1.0, 0.5411990207930581, 0.5379008973427475]","[-0.031410759078128396, 0.03139525976465667, -0.9990133642141359]",26
oertel_seed-11754_nperz-10_nz-100_nd-100_nmuestras-50.json,11754,10,100,100,50,54,0.4572087144230255,"[1.0, 0.49636364371672803, 0.4570709574869441]","[0.27899110603922916, 0.2679133974894982, -0.9221639627510075]",22
oertel_seed-11755_nperz-10_nz-100_nd-100_nmuestras-50.json,11755,10,100,100,50,54,0.4306299599425646,"[1.0, 0.43018030520967787, 0.5146761933292894]","[0.12533323356430415, 0.8976922208985842, -0.4224218946769723]",30
oertel_seed-11756_nperz-10_nz-100_nd-100_nmuestras-50.json,11756,10,100,100,50,54,0.4180319037853942,"[1.0, 0.5430529917793548, 0.517973129913105]","[0.36812455268467775, 0.3149505531227618, -0.8748088149980956]",5
oertel_seed-11757_nperz-10_nz-100_nd-100_nmuestras-50.json,11757,10,100,100,50,54,0.46809509089008866,"[1.0, 0.46299192218060886, 0.47492934699150147]","[0.48175367410171543, -0.8655178906649579, -0.13708456670384253]",26
oertel_seed-11758_nperz-10_nz-100_nd-100_nmuestras-50.json,11758,10,100,100,50,54,0.4701031785475228,"[1.0, 0.5324021526730177, 0.49792468399027195]","[0.3681245526846781, 0.7522049780538138, 0.546508906333435]",9
oertel_seed-11759_nperz-10_nz-100_nd-100_nmuestras-50.json,11759,10,100,100,50,54,0.411439851922054,"[1.0, 0.4862068100831542, 0.48951651609183466]","[0.5358267949789969, -0.5779822378571777, -0.6154885689467717]",1
oertel_seed-11760_nperz-10_nz-100_nd-100_nmuestras-50.json,11760,10,100,100,50,54,0.43638764435337657,"[1.0, 0.47504932248624165, 0.4790915236888963]","[-0.5090414157503713, -0.4838087859976665, 0.711903009996672]",4
oertel_seed-11761_nperz-10_nz-100_nd-100_nmuestras-50.json,11761,10,100,100,50,54,0.4362976168074638,"[1.0, 0.5464891087895921, 0.5862309737810649]","[0.9995065603657316, 0.025979228656738254, 0.017655465563533826]",12
oertel_seed-11762_nperz-10_nz-100_nd-100_nmuestras-50.json,11762,10,100,100,50,54,0.4452545420351901,"[1.0, 0.47736521403550564, 0.5132016848828184]","[-0.4539904997395467, 0.16695797380687372, 0.8752243490263167]",22
oertel_seed-11763_nperz-10_nz-100_nd-100_nmuestras-50.json,11763,10,100,100,50,54,0.4234684609439275,"[1.0, 0.5281265870752041, 0.583097764421296]","[0.12533323356430448, -0.9799001230213372, 0.15520093255867887]",32
oertel_seed-11764_nperz-10_nz-100_nd-100_nmuestras-50.json,11764,10,100,100,50,54,0.45359210252549403,"[1.0, 0.4896869231566955, 0.5307521131371867]","[0.1873813145857246, -0.06167832680027542, -0.9803489312215545]",24
oertel_seed-11765_nperz-10_nz-100_nd-100_nmuestras-50.json,11765,10,100,100,50,54,0.4565593429339221,"[1.0, 0.5230375066195816, 0.49018678267022575]","[-0.39714789063478056, 0.539442634200243, -0.7424790888445594]",36
oertel_seed-11766_nperz-10_nz-100_nd-100_nmuestras-50.json,11766,10,100,100,50,54,0.47079581298161594,"[1.0, 0.4313362263487093, 0.5111887757759833]","[0.5620833778521307, -0.566175613489489, -0.6029157909958401]",22
oertel_seed-11767_nperz-10_nz-100_nd-100_nmuestras-50.json,11767,10,100,100,50,54,0.43418710369143837,"[1.0, 0.47215056077784384, 0.4864930540701744]","[-0.1564344650402308, 0.7990566526874577, 0.5805486404630472]",24
oertel_seed-11768_nperz-10_nz-100_nd-100_nmuestras-50.json,11768,10,100,100,50,54,0.40903659285515553,"[1.0, 0.5219840826948907, 0.5092536847420639]","[-0.5090414157503713, 0.18776505577687075, 0.8400125718582825]",5
oertel_seed-11769_nperz-10_nz-100_nd-100_nmuestras-50.json,11769,10,100,100,50,54,0.4509738248196948,"[1.0, 0.45854276251126624, 0.47275667489981404]","[0.3971478906347807, -0.9014986681066547, -0.171970068227794]",15
