file,seed,n_per_z,nz,nd,n_muestras,n_candidatos,best_f,best_cp,best_u
oertel_seed-14001_nperz-5_nz-100_nd-100_nmuestras-50.json,14001,5,100,100,50,54,0.2854237723521118,"[1.0, 0.5253743843783051, 0.6534767481130562]","[-0.6845471059286887, 0.44679001363831167, 0.5759982148216554]"
oertel_seed-14002_nperz-5_nz-100_nd-100_nmuestras-50.json,14002,5,100,100,50,54,0.4263984938639886,"[1.0, 0.4738433690238664, 0.40473286114140455]","[-0.031410759078128396, -0.8603173027729394, -0.508790234540356]"
oertel_seed-14003_nperz-5_nz-100_nd-100_nmuestras-50.json,14003,5,100,100,50,54,0.4390349818253329,"[1.0, 0.5539813588301823, 0.4896283131800805]","[0.12533323356430448, -0.5316016406568814, 0.8376701476209042]"
oertel_seed-14004_nperz-5_nz-100_nd-100_nmuestras-50.json,14004,5,100,100,50,54,0.3778517432521625,"[1.0, 0.5489036676630957, 0.47944971948400716]","[0.12533323356430415, 0.18590375695213038, -0.9745416223617126]"
oertel_seed-14005_nperz-5_nz-100_nd-100_nmuestras-50.json,14005,5,100,100,50,54,0.4007068608474804,"[1.0, 0.512673277528884, 0.5642876658451672]","[0.12533323356430415, -0.6791492475341312, -0.7232204920618186]"
oertel_seed-14006_nperz-5_nz-100_nd-100_nmuestras-50.json,14006,5,100,100,50,54,0.39804862469972274,"[1.0, 0.5196381579042606, 0.6116651206681107]","[-0.15643446504023092, 0.9183293944713455, -0.36359232857345714]"
oertel_seed-14007_nperz-5_nz-100_nd-100_nmuestras-50.json,14007,5,100,100,50,54,0.38221855075346456,"[1.0, 0.4439832799130157, 0.5114683503528514]","[-0.18738131458572474, -0.5521273359106641, -0.8124307034352641]"
oertel_seed-14008_nperz-5_nz-100_nd-100_nmuestras-50.json,14008,5,100,100,50,54,0.3635090508612377,"[1.0, 0.6119907363426119, 0.4403155332618886]","[-0.4257792915650727, 0.1973819061282171, 0.8830358871572187]"
oertel_seed-14009_nperz-5_nz-100_nd-100_nmuestras-50.json,14009,5,100,100,50,54,0.3442581047592832,"[1.0, 0.49205488054072644, 0.4200968750131849]","[0.48175367410171543, -0.692418115614959, -0.5370945453621059]"
oertel_seed-14010_nperz-5_nz-100_nd-100_nmuestras-50.json,14010,5,100,100,50,54,0.30151888609099664,"[1.0, 0.6613800714698416, 0.511652960013605]","[-0.27899110603922916, 0.7587808690903622, 0.5885707735298127]"
