Punto[0.         0.58168915 0.64902132] -> F: 0.14969467835765138
Punto[1.         0.53832027 0.50806254] -> F: 0.4191754373934528
Punto[2.         0.41860361 0.44644601] -> F: 0.09668289845812436
Punto[1.         0.50014638 0.54773367] -> F: 0.4008618854245237
Punto[1.         0.53755679 0.50885597] -> F: 0.41933808542341044
Punto[1.         0.53680858 0.50963352] -> F: 0.4190469245024742
Punto[1.         0.53606037 0.51041107] -> F: 0.41875592462354355
Punto[1.         0.53531217 0.51118863] -> F: 0.41846508578661784
Punto[1.         0.53456396 0.51196618] -> F: 0.4181744079916976
Punto[1.         0.53381575 0.51274374] -> F: 0.41788389123878245
Punto[1.         0.53306754 0.51352129] -> F: 0.4175935355278725
Punto[1.         0.53231933 0.51429884] -> F: 0.417303340858968
Punto[1.         0.53157113 0.5150764 ] -> F: 0.4170133072320687
Punto[1.         0.53082292 0.51585395] -> F: 0.4167234346471746
Punto[1.         0.53007471 0.51663151] -> F: 0.4164267500014974
Punto[1.         0.5293265  0.51740906] -> F: 0.4161105127403531
Punto[1.         0.52857829 0.51818661] -> F: 0.415794467589448
Punto[1.         0.52783008 0.51896417] -> F: 0.415478614548782
Punto[1.         0.52708188 0.51974172] -> F: 0.41516295361835537
Punto[1.         0.52633367 0.52051928] -> F: 0.4148474847981679
Punto[1.         0.52558546 0.52129683] -> F: 0.4145322080882198
Punto[1.         0.52483725 0.52207438] -> F: 0.4142171234885108
Punto[1.         0.52408904 0.52285194] -> F: 0.4139022309990411
Punto[1.         0.52334084 0.52362949] -> F: 0.4135875306198107
Punto[1.         0.52259263 0.52440705] -> F: 0.4132730223508194
Punto[1.         0.52184442 0.5251846 ] -> F: 0.41295870619206737
Punto[1.         0.52109621 0.52596215] -> F: 0.4126445821435547
Punto[1.         0.520348   0.52673971] -> F: 0.4123246196931943
Punto[1.         0.51959979 0.52751726] -> F: 0.4119851203919694
Punto[1.         0.51885159 0.52829482] -> F: 0.41164584605889587
Punto[1.         0.51810338 0.52907237] -> F: 0.41130679669397335
Punto[1.         0.51735517 0.52984992] -> F: 0.410967972297202
Punto[1.         0.51660696 0.53062748] -> F: 0.41062937286858164
Punto[1.         0.51585875 0.53140503] -> F: 0.41029099840811245
Punto[1.         0.51511055 0.53218259] -> F: 0.4099528489157944
Punto[1.         0.51436234 0.53296014] -> F: 0.40961492439162733
Punto[1.         0.51361413 0.53373769] -> F: 0.40927722483561146
Punto[1.         0.51286592 0.53451525] -> F: 0.40893975024774665
Punto[1.         0.51211771 0.5352928 ] -> F: 0.40860250062803294
Punto[1.         0.51136951 0.53607036] -> F: 0.4082654759764704
Punto[1.         0.5106213  0.53684791] -> F: 0.40790776872354906
Punto[1.         0.50987309 0.53762546] -> F: 0.40754625625932855
Punto[1.         0.50912488 0.53840302] -> F: 0.4071850033697117
Punto[1.         0.50837667 0.53918057] -> F: 0.4066657356004974
Punto[1.         0.50762846 0.53995813] -> F: 0.40614529055121945
Punto[1.         0.50688026 0.54073568] -> F: 0.4056252108636645
Punto[1.         0.50613205 0.54151323] -> F: 0.40510549653783223
Punto[1.         0.50538384 0.54229079] -> F: 0.40458614757372263
Punto[1.         0.50463563 0.54306834] -> F: 0.4040663812375821
Punto[1.         0.50388742 0.5438459 ] -> F: 0.40353219583090366
Punto[1.         0.50313922 0.54462345] -> F: 0.4029983980580094
Punto[1.         0.50239101 0.545401  ] -> F: 0.4024649879188993
Punto[1.         0.5016428  0.54617856] -> F: 0.40193196541357323
Punto[1.         0.50089459 0.54695611] -> F: 0.40139933054203153
