Punto[0.         0.61856978 0.78640411] -> F: 0.05935255425563516
Punto[1.         0.59491191 0.51339276] -> F: 0.31336203863387185
Punto[2.         0.79258506 0.45243775] -> F: 0.11995123420480387
Punto[1.         0.70557742 0.61942093] -> F: 0.30364735162905804
Punto[1.         0.59712522 0.51551332] -> F: 0.31903172939442537
Punto[1.         0.59929426 0.51759147] -> F: 0.3243117209124235
Punto[1.         0.60146331 0.51966963] -> F: 0.32979174312824006
Punto[1.         0.60363235 0.52174778] -> F: 0.33462571528629875
Punto[1.         0.6058014  0.52382593] -> F: 0.34022906413214665
Punto[1.         0.60797044 0.52590408] -> F: 0.34588786068815947
Punto[1.         0.61013948 0.52798224] -> F: 0.35060725312390334
Punto[1.         0.61230853 0.53006039] -> F: 0.3557450344002313
Punto[1.         0.61447757 0.53213854] -> F: 0.3612668983688766
Punto[1.         0.61664662 0.53421669] -> F: 0.36627538892960704
Punto[1.         0.61881566 0.53629484] -> F: 0.3710854870112202
Punto[1.        0.6209847 0.538373 ] -> F: 0.3761400830858701
Punto[1.         0.62315375 0.54045115] -> F: 0.38135433897911536
Punto[1.         0.62532279 0.5425293 ] -> F: 0.386016117165482
Punto[1.         0.62749184 0.54460745] -> F: 0.39066281265090574
Punto[1.         0.62966088 0.5466856 ] -> F: 0.39264506469223937
Punto[1.         0.63182993 0.54876376] -> F: 0.3907965780193235
Punto[1.         0.63399897 0.55084191] -> F: 0.38881157137507116
Punto[1.         0.63616801 0.55292006] -> F: 0.38668251711950435
Punto[1.         0.63833706 0.55499821] -> F: 0.38419033033468947
Punto[1.         0.6405061  0.55707637] -> F: 0.38185856814426455
Punto[1.         0.64267515 0.55915452] -> F: 0.3797095935310435
Punto[1.         0.64484419 0.56123267] -> F: 0.37756019165207166
Punto[1.         0.64701323 0.56331082] -> F: 0.375410362507348
Punto[1.         0.64918228 0.56538897] -> F: 0.3728161786613161
Punto[1.         0.65135132 0.56746713] -> F: 0.37031211611486803
Punto[1.         0.65352037 0.56954528] -> F: 0.3679249673901891
Punto[1.         0.65568941 0.57162343] -> F: 0.36565473248728014
Punto[1.         0.65785845 0.57370158] -> F: 0.3635013901963143
Punto[1.         0.6600275  0.57577973] -> F: 0.36140420969590525
Punto[1.         0.66219654 0.57785789] -> F: 0.3593068538359019
Punto[1.         0.66436559 0.57993604] -> F: 0.3572093226163042
Punto[1.         0.66653463 0.58201419] -> F: 0.3549697449130358
Punto[1.         0.66870367 0.58409234] -> F: 0.3517769979367836
Punto[1.         0.67087272 0.5861705 ] -> F: 0.34832090035322244
Punto[1.         0.67304176 0.58824865] -> F: 0.34505666299378196
Punto[1.         0.67521081 0.5903268 ] -> F: 0.3418117624781729
Punto[1.         0.67737985 0.59240495] -> F: 0.3390096728553458
Punto[1.         0.67954889 0.5944831 ] -> F: 0.336637972507287
Punto[1.         0.68171794 0.59656126] -> F: 0.33439495003820746
Punto[1.         0.68388698 0.59863941] -> F: 0.33215150030337637
Punto[1.         0.68605603 0.60071756] -> F: 0.32990762330279394
Punto[1.         0.68822507 0.60279571] -> F: 0.32766331903646007
Punto[1.         0.69039412 0.60487386] -> F: 0.3254185875043746
Punto[1.         0.69256316 0.60695202] -> F: 0.323155322573567
Punto[1.         0.6947322  0.60903017] -> F: 0.32073360104317433
Punto[1.         0.69690125 0.61110832] -> F: 0.318428793334551
Punto[1.         0.69907029 0.61318647] -> F: 0.3161637946396726
Punto[1.         0.70123934 0.61526463] -> F: 0.31168764315158853
Punto[1.         0.70340838 0.61734278] -> F: 0.3075056213874976
