Punto[0.         0.38752573 0.57955288] -> F: 0.09578434142495537
Punto[1.         0.5326727  0.50117159] -> F: 0.40389574383713617
Punto[2.         0.55820229 0.36082557] -> F: 0.05529433522987139
Punto[1.         0.47286401 0.47018923] -> F: 0.3741519647721639
Punto[1.         0.53147652 0.50055194] -> F: 0.40575968012525565
Punto[1.         0.53030427 0.49994469] -> F: 0.4076062067217641
Punto[1.         0.52913202 0.49933743] -> F: 0.40943160909766224
Punto[1.         0.52795977 0.49873018] -> F: 0.4112608476048972
Punto[1.         0.52678752 0.49812292] -> F: 0.4131072163240152
Punto[1.         0.52561527 0.49751567] -> F: 0.4149707152550162
Punto[1.         0.52444302 0.49690841] -> F: 0.4168513443979008
Punto[1.         0.52327077 0.49630116] -> F: 0.41874910375266833
Punto[1.         0.52209852 0.49569391] -> F: 0.42038915001531874
Punto[1.         0.52092627 0.49508665] -> F: 0.4219943102369855
Punto[1.         0.51975402 0.4944794 ] -> F: 0.42367066623311783
Punto[1.         0.51858177 0.49387214] -> F: 0.4254182180037159
Punto[1.         0.51740952 0.49326489] -> F: 0.42722822033026403
Punto[1.         0.51623727 0.49265763] -> F: 0.42776241783480606
Punto[1.         0.51506502 0.49205038] -> F: 0.4263391103515323
Punto[1.         0.51389277 0.49144313] -> F: 0.4249233518352573
Punto[1.         0.51272052 0.49083587] -> F: 0.42349330533557505
Punto[1.         0.51154827 0.49022862] -> F: 0.42205934102603637
Punto[1.         0.51037602 0.48962136] -> F: 0.4206333439759924
Punto[1.         0.50920377 0.48901411] -> F: 0.4192153141854437
Punto[1.         0.50803152 0.48840685] -> F: 0.41780525165439
Punto[1.         0.50685927 0.4877996 ] -> F: 0.4164031563828314
Punto[1.         0.50568702 0.48719235] -> F: 0.4150090283707674
Punto[1.         0.50451477 0.48658509] -> F: 0.4136228676181988
Punto[1.         0.50334252 0.48597784] -> F: 0.412244674125125
Punto[1.         0.50217027 0.48537058] -> F: 0.41087403600003847
Punto[1.         0.50099802 0.48476333] -> F: 0.4094806993771474
Punto[1.         0.49982577 0.48415607] -> F: 0.408095828936237
Punto[1.         0.49865352 0.48354882] -> F: 0.40671942467730743
Punto[1.         0.49748127 0.48294157] -> F: 0.4052857198028953
Punto[1.         0.49630902 0.48233431] -> F: 0.40376817497911843
Punto[1.         0.49513677 0.48172706] -> F: 0.4022585974148364
Punto[1.         0.49396452 0.4811198 ] -> F: 0.4007569871100496
Punto[1.         0.49279226 0.48051255] -> F: 0.39924167790944515
Punto[1.         0.49162001 0.4799053 ] -> F: 0.39771874056416984
Punto[1.         0.49044776 0.47929804] -> F: 0.39620426940087533
Punto[1.         0.48927551 0.47869079] -> F: 0.3946982644195616
Punto[1.         0.48810326 0.47808353] -> F: 0.3932007256202288
Punto[1.         0.48693101 0.47747628] -> F: 0.39171165300287675
Punto[1.         0.48575876 0.47686902] -> F: 0.39023104656750573
Punto[1.         0.48458651 0.47626177] -> F: 0.38875890631411536
Punto[1.         0.48341426 0.47565452] -> F: 0.3872843526577056
Punto[1.         0.48224201 0.47504726] -> F: 0.3857930382755095
Punto[1.         0.48106976 0.47444001] -> F: 0.38431079202555557
Punto[1.         0.47989751 0.47383275] -> F: 0.38283761390784404
Punto[1.         0.47872526 0.4732255 ] -> F: 0.38137350392237523
Punto[1.         0.47755301 0.47261824] -> F: 0.37991846206914853
Punto[1.         0.47638076 0.47201099] -> F: 0.3784724883481644
Punto[1.         0.47520851 0.47140374] -> F: 0.37703558275942256
Punto[1.         0.47403626 0.47079648] -> F: 0.37560451809664397
