Punto[0.         0.54025941 0.47307295] -> F: 0.19964120327048218
Punto[1.         0.62950995 0.47980405] -> F: 0.3364013385670466
Punto[2.         0.70431556 0.37621724] -> F: 0.05641941687566952
Punto[1.         0.62228748 0.4246451 ] -> F: 0.3015908887532964
Punto[1.         0.6293655  0.47870087] -> F: 0.3375084076325517
Punto[1.         0.62922394 0.47761975] -> F: 0.33863357872165295
Punto[1.         0.62908238 0.47653864] -> F: 0.33854545682390114
Punto[1.         0.62894082 0.47545752] -> F: 0.33790958815341043
Punto[1.         0.62879926 0.47437641] -> F: 0.33727425098662767
Punto[1.         0.6286577  0.47329529] -> F: 0.3366394453235527
Punto[1.         0.62851613 0.47221418] -> F: 0.336005171164186
Punto[1.         0.62837457 0.47113306] -> F: 0.33537142850852714
Punto[1.         0.62823301 0.47005195] -> F: 0.3347382173565764
Punto[1.         0.62809145 0.46897083] -> F: 0.3341003033573111
Punto[1.         0.62794989 0.46788972] -> F: 0.333453974277895
Punto[1.         0.62780833 0.4668086 ] -> F: 0.332749459615086
Punto[1.         0.62766677 0.46572748] -> F: 0.33204490410337545
Punto[1.         0.62752521 0.46464637] -> F: 0.3313436510245447
Punto[1.         0.62738365 0.46356525] -> F: 0.3306457003785934
Punto[1.         0.62724209 0.46248414] -> F: 0.3299461507708115
Punto[1.         0.62710053 0.46140302] -> F: 0.3292459289045787
Punto[1.         0.62695897 0.46032191] -> F: 0.3285486447055866
Punto[1.         0.62681741 0.45924079] -> F: 0.3278542981738353
Punto[1.         0.62667585 0.45815968] -> F: 0.3271628893093246
Punto[1.         0.62653429 0.45707856] -> F: 0.3264544426706138
Punto[1.         0.62639273 0.45599745] -> F: 0.3256971865970354
Punto[1.         0.62625117 0.45491633] -> F: 0.32493950817014927
Punto[1.         0.62610961 0.45383521] -> F: 0.3241814073899556
Punto[1.         0.62596805 0.4527541 ] -> F: 0.32342288425645416
Punto[1.         0.62582649 0.45167298] -> F: 0.32266393876964494
Punto[1.         0.62568493 0.45059187] -> F: 0.32181121914882005
Punto[1.         0.62554337 0.44951075] -> F: 0.32089842241198496
Punto[1.         0.62540181 0.44842964] -> F: 0.3200172041474385
Punto[1.         0.62526025 0.44734852] -> F: 0.3191675643551807
Punto[1.         0.62511869 0.44626741] -> F: 0.3183495030352116
Punto[1.         0.62497713 0.44518629] -> F: 0.3175630201875314
Punto[1.         0.62483557 0.44410518] -> F: 0.3168005089184593
Punto[1.         0.62469401 0.44302406] -> F: 0.3160391268343597
Punto[1.         0.62455245 0.44194294] -> F: 0.31527733304416306
Punto[1.         0.62441089 0.44086183] -> F: 0.3145151275478698
Punto[1.         0.62426933 0.43978071] -> F: 0.31374081692091393
Punto[1.         0.62412777 0.4386996 ] -> F: 0.3128567422158904
Punto[1.         0.62398621 0.43761848] -> F: 0.31198888044165035
Punto[1.         0.62384465 0.43653737] -> F: 0.31113723159819423
Punto[1.         0.62370309 0.43545625] -> F: 0.31030179568552135
Punto[1.         0.62356153 0.43437514] -> F: 0.30948257270363205
Punto[1.         0.62341997 0.43329402] -> F: 0.3086795626525266
Punto[1.         0.62327841 0.43221291] -> F: 0.3078927655322047
Punto[1.         0.62313685 0.43113179] -> F: 0.3071220110167538
Punto[1.         0.62299529 0.43005067] -> F: 0.30635695366852067
Punto[1.         0.62285372 0.42896956] -> F: 0.3055320121810541
Punto[1.         0.62271216 0.42788844] -> F: 0.30447861447187385
Punto[1.         0.6225706  0.42680733] -> F: 0.3034706279975209
Punto[1.         0.62242904 0.42572621] -> F: 0.30250805275799514
