Punto[0.         0.58696312 0.51936897] -> F: 0.07734591524708327
Punto[1.         0.47053864 0.41933479] -> F: 0.34884045083584175
Punto[2.         0.24284207 0.49153198] -> F: 0.05031662030470582
Punto[1.         0.41490259 0.50545047] -> F: 0.33424481111338744
Punto[1.         0.46942592 0.4210571 ] -> F: 0.3520932545949053
Punto[1.         0.46833546 0.42274497] -> F: 0.35534259507605914
Punto[1.         0.46724499 0.42443284] -> F: 0.3586598360024321
Punto[1.         0.46615452 0.4261207 ] -> F: 0.36207747753074127
Punto[1.         0.46506406 0.42780857] -> F: 0.36559551966098625
Punto[1.         0.46397359 0.42949644] -> F: 0.3692139623931673
Punto[1.         0.46288312 0.43118431] -> F: 0.372932805727284
Punto[1.         0.46179266 0.43287217] -> F: 0.3767520496633367
Punto[1.         0.46070219 0.43456004] -> F: 0.38067169420132546
Punto[1.         0.45961172 0.43624791] -> F: 0.3846917393412501
Punto[1.         0.45852126 0.43793578] -> F: 0.3888121850831107
Punto[1.         0.45743079 0.43962364] -> F: 0.3930330314269072
Punto[1.         0.45634032 0.44131151] -> F: 0.39735427837263976
Punto[1.         0.45524986 0.44299938] -> F: 0.40177592592030786
Punto[1.         0.45415939 0.44468725] -> F: 0.40629797406991214
Punto[1.         0.45306892 0.44637511] -> F: 0.4109204228214525
Punto[1.         0.45197846 0.44806298] -> F: 0.4156432721749287
Punto[1.         0.45088799 0.44975085] -> F: 0.4204665221303406
Punto[1.         0.44979752 0.45143872] -> F: 0.4212309379252225
Punto[1.         0.44870706 0.45312658] -> F: 0.41918764126887537
Punto[1.         0.44761659 0.45481445] -> F: 0.41713730772040825
Punto[1.         0.44652612 0.45650232] -> F: 0.41508960071570816
Punto[1.         0.44543566 0.45819019] -> F: 0.4130173936682583
Punto[1.         0.44434519 0.45987805] -> F: 0.41093998220139294
Punto[1.         0.44325472 0.46156592] -> F: 0.408865288109422
Punto[1.         0.44216426 0.46325379] -> F: 0.4067638078103893
Punto[1.         0.44107379 0.46494166] -> F: 0.4046594721318117
Punto[1.         0.43998332 0.46662952] -> F: 0.40255794690207886
Punto[1.         0.43889286 0.46831739] -> F: 0.4004269514739632
Punto[1.         0.43780239 0.47000526] -> F: 0.3982957782039617
Punto[1.         0.43671192 0.47169313] -> F: 0.3961675109502257
Punto[1.         0.43562146 0.47338099] -> F: 0.3940068749442694
Punto[1.         0.43453099 0.47506886] -> F: 0.3918488821679329
Punto[1.         0.43344053 0.47675673] -> F: 0.38969153334185697
Punto[1.         0.43235006 0.4784446 ] -> F: 0.3875036085376454
Punto[1.         0.43125959 0.48013246] -> F: 0.38531874367799657
Punto[1.         0.43016913 0.48182033] -> F: 0.38312636432708624
Punto[1.         0.42907866 0.4835082 ] -> F: 0.38091446916374366
Punto[1.         0.42798819 0.48519607] -> F: 0.37870456183083545
Punto[1.         0.42689773 0.48688393] -> F: 0.37646835805719564
Punto[1.         0.42580726 0.4885718 ] -> F: 0.3742327582412236
Punto[1.         0.42471679 0.49025967] -> F: 0.37197881025989443
Punto[1.         0.42362633 0.49194754] -> F: 0.3697173121026033
Punto[1.         0.42253586 0.4936354 ] -> F: 0.3660299482607146
Punto[1.         0.42144539 0.49532327] -> F: 0.3607274814939119
Punto[1.         0.42035493 0.49701114] -> F: 0.35536123718187984
Punto[1.         0.41926446 0.49869901] -> F: 0.35042001128016975
Punto[1.         0.41817399 0.50038687] -> F: 0.3459038037887817
Punto[1.         0.41708353 0.50207474] -> F: 0.3418126147077153
Punto[1.         0.41599306 0.50376261] -> F: 0.33803647445464186
