Punto[0.         0.63156356 0.59502468] -> F: 0.08347061233434058
Punto[1.         0.57249774 0.47274421] -> F: 0.3465334886580733
Punto[2.         0.40094215 0.47539505] -> F: 0.15050352159079977
Punto[1.         0.51625285 0.53520986] -> F: 0.3666554317724296
Punto[1.         0.57137284 0.47399352] -> F: 0.34933805806164686
Punto[1.         0.57027044 0.47521785] -> F: 0.3518320895547759
Punto[1.         0.56916804 0.47644218] -> F: 0.3546697493038702
Punto[1.         0.56806564 0.47766651] -> F: 0.35785103730892887
Punto[1.         0.56696324 0.47889083] -> F: 0.3613640989920615
Punto[1.         0.56586084 0.48011516] -> F: 0.36497264735292634
Punto[1.         0.56475844 0.48133949] -> F: 0.36858448780778497
Punto[1.         0.56365604 0.48256381] -> F: 0.37219962035663673
Punto[1.         0.56255364 0.48378814] -> F: 0.3757625860328194
Punto[1.         0.56145124 0.48501247] -> F: 0.37902890538738515
Punto[1.         0.56034884 0.48623679] -> F: 0.3823810320876607
Punto[1.         0.55924644 0.48746112] -> F: 0.38581896613364614
Punto[1.         0.55814404 0.48868545] -> F: 0.38934270752534117
Punto[1.         0.55704164 0.48990977] -> F: 0.39295225626274555
Punto[1.         0.55593924 0.4911341 ] -> F: 0.3965822337996971
Punto[1.         0.55483684 0.49235843] -> F: 0.39771448244952823
Punto[1.         0.55373444 0.49358275] -> F: 0.3969706651209469
Punto[1.         0.55263204 0.49480708] -> F: 0.39619530607282466
Punto[1.         0.55152964 0.49603141] -> F: 0.39541547790602294
Punto[1.         0.55042724 0.49725573] -> F: 0.3946366135072158
Punto[1.         0.54932484 0.49848006] -> F: 0.3938587128764036
Punto[1.         0.54822244 0.49970439] -> F: 0.39306352701884173
Punto[1.         0.54712005 0.50092871] -> F: 0.39225002813530924
Punto[1.         0.54601765 0.50215304] -> F: 0.3914375886142179
Punto[1.         0.54491525 0.50337737] -> F: 0.3906262084555679
Punto[1.         0.54381285 0.50460169] -> F: 0.3898089107953665
Punto[1.         0.54271045 0.50582602] -> F: 0.38896226212701046
Punto[1.         0.54160805 0.50705035] -> F: 0.38811677306191794
Punto[1.         0.54050565 0.50827467] -> F: 0.38727244360008894
Punto[1.         0.53940325 0.509499  ] -> F: 0.3864292737415233
Punto[1.         0.53830085 0.51072333] -> F: 0.38555182001662897
Punto[1.         0.53719845 0.51194765] -> F: 0.3846737358158663
Punto[1.         0.53609605 0.51317198] -> F: 0.38379691641279134
Punto[1.         0.53499365 0.51439631] -> F: 0.3829213618074041
Punto[1.         0.53389125 0.51562064] -> F: 0.38201849276133676
Punto[1.         0.53278885 0.51684496] -> F: 0.38110819838237225
Punto[1.         0.53168645 0.51806929] -> F: 0.3801992793099005
Punto[1.         0.53058405 0.51929362] -> F: 0.3792917355439213
Punto[1.         0.52948165 0.52051794] -> F: 0.37836218227735796
Punto[1.         0.52837925 0.52174227] -> F: 0.3774199940615696
Punto[1.         0.52727685 0.5229666 ] -> F: 0.3764792973952123
Punto[1.         0.52617445 0.52419092] -> F: 0.37554009227828583
Punto[1.         0.52507205 0.52541525] -> F: 0.37458287025765624
Punto[1.         0.52396965 0.52663958] -> F: 0.3736090358867658
Punto[1.         0.52286725 0.5278639 ] -> F: 0.37263681552804384
Punto[1.         0.52176485 0.52908823] -> F: 0.37166620918149035
Punto[1.         0.52066245 0.53031256] -> F: 0.3706805944738067
Punto[1.         0.51956005 0.53153688] -> F: 0.36967529202582944
Punto[1.         0.51845765 0.53276121] -> F: 0.3686717328328445
Punto[1.         0.51735525 0.53398554] -> F: 0.3676699168948515
