Punto[0.         0.53307933 0.52473599] -> F: 0.08861087423200999
Punto[1.         0.58551025 0.51853934] -> F: 0.3549506752888422
Punto[2.         0.58827296 0.33705642] -> F: 0.09707857941332611
Punto[1.         0.56067614 0.43089621] -> F: 0.3492806277699259
Punto[1.         0.58501357 0.51678648] -> F: 0.35885357888444386
Punto[1.         0.58452682 0.51506868] -> F: 0.3629046827744866
Punto[1.         0.58404007 0.51335087] -> F: 0.36585809900853133
Punto[1.         0.58355332 0.51163307] -> F: 0.3687938849197039
Punto[1.         0.58306657 0.50991526] -> F: 0.3722418081396747
Punto[1.         0.58257982 0.50819745] -> F: 0.3763568369339503
Punto[1.         0.58209308 0.50647965] -> F: 0.3811053864982034
Punto[1.         0.58160633 0.50476184] -> F: 0.3860480166520171
Punto[1.         0.58111958 0.50304404] -> F: 0.390722237106048
Punto[1.         0.58063283 0.50132623] -> F: 0.3950984571692688
Punto[1.         0.58014608 0.49960843] -> F: 0.39967868411959784
Punto[1.         0.57965933 0.49789062] -> F: 0.4043418178489446
Punto[1.         0.57917258 0.49617282] -> F: 0.4090463104680336
Punto[1.         0.57868584 0.49445501] -> F: 0.4133609758303334
Punto[1.         0.57819909 0.49273721] -> F: 0.41624893182467476
Punto[1.         0.57771234 0.4910194 ] -> F: 0.4193240692904173
Punto[1.         0.57722559 0.48930159] -> F: 0.422623179684469
Punto[1.         0.57673884 0.48758379] -> F: 0.4261462630068297
Punto[1.         0.57625209 0.48586598] -> F: 0.4258052931507666
Punto[1.         0.57576534 0.48414818] -> F: 0.42339993937501225
Punto[1.         0.5752786  0.48243037] -> F: 0.42105535321585064
Punto[1.         0.57479185 0.48071257] -> F: 0.4187715346732825
Punto[1.         0.5743051  0.47899476] -> F: 0.4165484837473075
Punto[1.         0.57381835 0.47727696] -> F: 0.41438620043792546
Punto[1.         0.5733316  0.47555915] -> F: 0.4122846847451365
Punto[1.         0.57284485 0.47384135] -> F: 0.4101465599765933
Punto[1.         0.57235811 0.47212354] -> F: 0.4079271975236785
Punto[1.         0.57187136 0.47040573] -> F: 0.4057435711987506
Punto[1.         0.57138461 0.46868793] -> F: 0.4035956810018098
Punto[1.         0.57089786 0.46697012] -> F: 0.40148352693285644
Punto[1.         0.57041111 0.46525232] -> F: 0.3991931139456271
Punto[1.         0.56992436 0.46353451] -> F: 0.3956473177166019
Punto[1.         0.56943761 0.46181671] -> F: 0.3922619863655897
Punto[1.         0.56895087 0.4600989 ] -> F: 0.38903711989258993
Punto[1.         0.56846412 0.4583811 ] -> F: 0.3859727182976027
Punto[1.         0.56797737 0.45666329] -> F: 0.38306878158062835
Punto[1.         0.56749062 0.45494549] -> F: 0.3803253097416667
Punto[1.         0.56700387 0.45322768] -> F: 0.3777423027807174
Punto[1.         0.56651712 0.45150987] -> F: 0.3753197606977809
Punto[1.         0.56603038 0.44979207] -> F: 0.3730576834928571
Punto[1.         0.56554363 0.44807426] -> F: 0.3709121508149991
Punto[1.         0.56505688 0.44635646] -> F: 0.3687724895556461
Punto[1.         0.56457013 0.44463865] -> F: 0.36663333673313103
Punto[1.         0.56408338 0.44292085] -> F: 0.364494692347454
Punto[1.         0.56359663 0.44120304] -> F: 0.362356556398615
Punto[1.         0.56310988 0.43948524] -> F: 0.36021892888661405
Punto[1.         0.56262314 0.43776743] -> F: 0.3580818098114511
Punto[1.         0.56213639 0.43604963] -> F: 0.3559451991731261
Punto[1.         0.56164964 0.43433182] -> F: 0.3537605549024265
Punto[1.         0.56116289 0.43261401] -> F: 0.35155699384751377
