Punto[0.         0.63499961 0.47158853] -> F: 0.10747010686033205
Punto[1.         0.61768788 0.53164616] -> F: 0.3531414905751548
Punto[2.         0.82422346 0.46354758] -> F: 0.08809345892740013
Punto[1.         0.72961154 0.46756806] -> F: 0.33920573128968556
Punto[1.         0.61992635 0.5303646 ] -> F: 0.3570671371389648
Punto[1.         0.62212005 0.52910867] -> F: 0.36094231275038297
Punto[1.         0.62431376 0.52785274] -> F: 0.36484524708837346
Punto[1.         0.62650746 0.5265968 ] -> F: 0.3687759401529362
Punto[1.         0.62870117 0.52534087] -> F: 0.3727343919440711
Punto[1.         0.63089487 0.52408494] -> F: 0.3767206024617787
Punto[1.         0.63308857 0.52282901] -> F: 0.380725880906793
Punto[1.         0.63528228 0.52157308] -> F: 0.3845702508750454
Punto[1.         0.63747598 0.52031715] -> F: 0.3884458586642324
Punto[1.         0.63966968 0.51906122] -> F: 0.39235270427435426
Punto[1.         0.64186339 0.51780529] -> F: 0.3962907877054109
Punto[1.         0.64405709 0.51654936] -> F: 0.4002601089574022
Punto[1.         0.6462508  0.51529343] -> F: 0.40426066803032845
Punto[1.        0.6484445 0.5140375] -> F: 0.4082924649241894
Punto[1.         0.6506382  0.51278157] -> F: 0.41235549963898493
Punto[1.         0.65283191 0.51152563] -> F: 0.4160510999325929
Punto[1.         0.65502561 0.5102697 ] -> F: 0.41369753406310933
Punto[1.         0.65721931 0.50901377] -> F: 0.411356129389561
Punto[1.         0.65941302 0.50775784] -> F: 0.4090268859119477
Punto[1.         0.66160672 0.50650191] -> F: 0.40670980363026993
Punto[1.         0.66380043 0.50524598] -> F: 0.404404882544527
Punto[1.         0.66599413 0.50399005] -> F: 0.40209458327208353
Punto[1.         0.66818783 0.50273412] -> F: 0.39978416660007404
Punto[1.         0.67038154 0.50147819] -> F: 0.3974862331056698
Punto[1.         0.67257524 0.50022226] -> F: 0.39520078278887066
Punto[1.         0.67476894 0.49896633] -> F: 0.39292781564967705
Punto[1.         0.67696265 0.4977104 ] -> F: 0.3906673316880883
Punto[1.         0.67915635 0.49645446] -> F: 0.38841933090410496
Punto[1.         0.68135005 0.49519853] -> F: 0.38618381329772694
Punto[1.         0.68354376 0.4939426 ] -> F: 0.38396077886895397
Punto[1.         0.68573746 0.49268667] -> F: 0.3817502276177863
Punto[1.         0.68793117 0.49143074] -> F: 0.3795230850768683
Punto[1.         0.69012487 0.49017481] -> F: 0.3773077468106765
Punto[1.         0.69231857 0.48891888] -> F: 0.375105236863757
Punto[1.         0.69451228 0.48766295] -> F: 0.3729155552361093
Punto[1.         0.69670598 0.48640702] -> F: 0.370738701927734
Punto[1.         0.69889968 0.48515109] -> F: 0.3685746769386308
Punto[1.         0.70109339 0.48389516] -> F: 0.3664234802687995
Punto[1.         0.70328709 0.48263923] -> F: 0.36428511191824037
Punto[1.        0.7054808 0.4813833] -> F: 0.3621516552789184
Punto[1.         0.7076745  0.48012736] -> F: 0.3600087694887883
Punto[1.         0.7098682  0.47887143] -> F: 0.3578790828155424
Punto[1.         0.71206191 0.4776155 ] -> F: 0.35576259525918047
Punto[1.         0.71425561 0.47635957] -> F: 0.3536593068197029
Punto[1.         0.71644931 0.47510364] -> F: 0.35156921749710957
Punto[1.         0.71864302 0.47384771] -> F: 0.3494923272914003
Punto[1.         0.72083672 0.47259178] -> F: 0.3474286362025754
Punto[1.         0.72303042 0.47133585] -> F: 0.3453681026875691
Punto[1.         0.72522413 0.47007992] -> F: 0.3433003803478582
Punto[1.         0.72741783 0.46882399] -> F: 0.3412462565485637
