Punto[0.         0.49465207 0.44437389] -> F: 0.059184127801879254
Punto[1.         0.33923713 0.54478098] -> F: 0.36765819196260674
Punto[2.         0.23203852 0.4699188 ] -> F: 0.09944872276877967
Punto[1.         0.36334529 0.45714634] -> F: 0.3420290297481627
Punto[1.         0.33971929 0.54302828] -> F: 0.37016921617796317
Punto[1.         0.34019181 0.54131065] -> F: 0.3726476535660449
Punto[1.         0.34066433 0.53959301] -> F: 0.375143546493411
Punto[1.         0.34113685 0.53787537] -> F: 0.3776568949600611
Punto[1.         0.34160937 0.53615773] -> F: 0.37987875615570643
Punto[1.         0.34208189 0.53444009] -> F: 0.38209679786502865
Punto[1.         0.34255441 0.53272245] -> F: 0.38433219973804666
Punto[1.         0.34302693 0.53100481] -> F: 0.3865849617747611
Punto[1.         0.34349945 0.52928717] -> F: 0.3888550839751713
Punto[1.         0.34397197 0.52756953] -> F: 0.3911425663392777
Punto[1.         0.34444449 0.5258519 ] -> F: 0.39341804463151875
Punto[1.         0.34491701 0.52413426] -> F: 0.3957064813567228
Punto[1.         0.34538953 0.52241662] -> F: 0.3980123333379217
Punto[1.         0.34586205 0.52069898] -> F: 0.40033560057511547
Punto[1.         0.34633457 0.51898134] -> F: 0.40267628306830405
Punto[1.         0.34680709 0.5172637 ] -> F: 0.40503438081748727
Punto[1.         0.34727961 0.51554606] -> F: 0.40740989382266535
Punto[1.         0.34775213 0.51382842] -> F: 0.40980282208383834
Punto[1.         0.34822465 0.51211079] -> F: 0.4089326554823548
Punto[1.         0.34869717 0.51039315] -> F: 0.40702128346393707
Punto[1.         0.34916969 0.50867551] -> F: 0.4050983863929325
Punto[1.         0.34964221 0.50695787] -> F: 0.40311747368880874
Punto[1.         0.35011473 0.50524023] -> F: 0.4010765980831226
Punto[1.         0.35058725 0.50352259] -> F: 0.39904774493561657
Punto[1.         0.35105977 0.50180495] -> F: 0.39703091424629056
Punto[1.         0.35153229 0.50008731] -> F: 0.3950261060151441
Punto[1.         0.35200481 0.49836967] -> F: 0.3930333202421777
Punto[1.         0.35247733 0.49665204] -> F: 0.3910525569273912
Punto[1.         0.35294985 0.4949344 ] -> F: 0.3890678303032593
Punto[1.         0.35342237 0.49321676] -> F: 0.38694517187099714
Punto[1.         0.35389489 0.49149912] -> F: 0.3848348932404788
Punto[1.         0.35436741 0.48978148] -> F: 0.3827369944117044
Punto[1.         0.35483993 0.48806384] -> F: 0.3806514753846736
Punto[1.         0.35531245 0.4863462 ] -> F: 0.37857833615938663
Punto[1.         0.35578497 0.48462856] -> F: 0.3765175767358436
Punto[1.         0.35625749 0.48291093] -> F: 0.37446919711404425
Punto[1.         0.35673001 0.48119329] -> F: 0.3724331972939889
Punto[1.         0.35720253 0.47947565] -> F: 0.3702655501683571
Punto[1.         0.35767505 0.47775801] -> F: 0.368082984854656
Punto[1.         0.35814757 0.47604037] -> F: 0.3659132814467911
Punto[1.         0.35862009 0.47432273] -> F: 0.36375643994476226
Punto[1.         0.35909261 0.47260509] -> F: 0.3616124603485693
Punto[1.         0.35956513 0.47088745] -> F: 0.3594813426582128
Punto[1.         0.36003765 0.46916981] -> F: 0.3573630868736925
Punto[1.         0.36051017 0.46745218] -> F: 0.35525769299500837
Punto[1.         0.36098269 0.46573454] -> F: 0.3531574448503648
Punto[1.         0.36145521 0.4640169 ] -> F: 0.35094544236239306
Punto[1.         0.36192773 0.46229926] -> F: 0.3486960735207786
Punto[1.         0.36240025 0.46058162] -> F: 0.34646021513786873
Punto[1.         0.36287277 0.45886398] -> F: 0.34423786721366356
