Punto[0.         0.44670897 0.61727183] -> F: 0.13370837917770464
Punto[1.         0.40815201 0.50263524] -> F: 0.3787997938754697
Punto[2.         0.22740027 0.53336178] -> F: 0.07174286778557831
Punto[1.         0.33705462 0.57531681] -> F: 0.350979600929907
Punto[1.         0.40673007 0.50408887] -> F: 0.3819528700227349
Punto[1.         0.40533656 0.50551343] -> F: 0.3846026838705913
Punto[1.         0.40394305 0.50693799] -> F: 0.3868030487391404
Punto[1.         0.40254954 0.50836255] -> F: 0.38917781090905584
Punto[1.         0.40115603 0.50978711] -> F: 0.39172697038033705
Punto[1.         0.39976252 0.51121166] -> F: 0.3944505271529843
Punto[1.         0.39836901 0.51263622] -> F: 0.397100239573265
Punto[1.         0.3969755  0.51406078] -> F: 0.39977469212175676
Punto[1.         0.395582   0.51548534] -> F: 0.4026024312757848
Punto[1.         0.39418849 0.5169099 ] -> F: 0.4043856082459132
Punto[1.         0.39279498 0.51833446] -> F: 0.40314974819946103
Punto[1.         0.39140147 0.51975902] -> F: 0.40191617193250667
Punto[1.         0.39000796 0.52118358] -> F: 0.4006848794450505
Punto[1.         0.38861445 0.52260813] -> F: 0.3994558707370922
Punto[1.         0.38722094 0.52403269] -> F: 0.3982082808943569
Punto[1.         0.38582743 0.52545725] -> F: 0.3969577371340398
Punto[1.         0.38443392 0.52688181] -> F: 0.3957095758084881
Punto[1.         0.38304042 0.52830637] -> F: 0.3944637969177019
Punto[1.         0.38164691 0.52973093] -> F: 0.39320551680584354
Punto[1.         0.3802534  0.53115549] -> F: 0.39193870444346807
Punto[1.         0.37885989 0.53258005] -> F: 0.3906743748115695
Punto[1.         0.37746638 0.5340046 ] -> F: 0.389412527910148
Punto[1.         0.37607287 0.53542916] -> F: 0.3881411796010544
Punto[1.         0.37467936 0.53685372] -> F: 0.38685875045591445
Punto[1.         0.37328585 0.53827828] -> F: 0.38557890619753926
Punto[1.         0.37189235 0.53970284] -> F: 0.3843016468259289
Punto[1.         0.37049884 0.5411274 ] -> F: 0.383015227687298
Punto[1.         0.36910533 0.54255196] -> F: 0.38171778932872563
Punto[1.         0.36771182 0.54397652] -> F: 0.3804230401106144
Punto[1.         0.36631831 0.54540107] -> F: 0.3791309800329644
Punto[1.         0.3649248  0.54682563] -> F: 0.37782779354122087
Punto[1.         0.36353129 0.54825019] -> F: 0.3765159116632452
Punto[1.         0.36213778 0.54967475] -> F: 0.3752068255326623
Punto[1.         0.36074427 0.55109931] -> F: 0.3739005351494715
Punto[1.         0.35935077 0.55252387] -> F: 0.37257913390193237
Punto[1.         0.35795726 0.55394843] -> F: 0.3712533342909192
Punto[1.         0.35656375 0.55537298] -> F: 0.3699304396649656
Punto[1.         0.35517024 0.55679754] -> F: 0.3686104500240714
Punto[1.         0.35377673 0.5582221 ] -> F: 0.36726958860279585
Punto[1.         0.35238322 0.55964666] -> F: 0.36593035872800783
Punto[1.         0.35098971 0.56107122] -> F: 0.3645941460089841
Punto[1.         0.3495962  0.56249578] -> F: 0.3632548886311258
Punto[1.         0.34820269 0.56392034] -> F: 0.3618995462886103
Punto[1.         0.34680919 0.5653449 ] -> F: 0.3605473365363537
Punto[1.         0.34541568 0.56676945] -> F: 0.3591982593743562
Punto[1.         0.34402217 0.56819401] -> F: 0.3578374427184036
Punto[1.         0.34262866 0.56961857] -> F: 0.3564694156298184
Punto[1.         0.34123515 0.57104313] -> F: 0.3551046401932538
Punto[1.         0.33984164 0.57246769] -> F: 0.35374311640871015
Punto[1.         0.33844813 0.57389225] -> F: 0.35235993824375794
