Punto[0.         0.78645958 0.52132931] -> F: 0.06883455260757086
Punto[1.         0.53844442 0.5504645 ] -> F: 0.39727217885481614
Punto[2.         0.30949939 0.75650229] -> F: 0.04560612476099044
Punto[1.         0.54797948 0.6389158 ] -> F: 0.3528034087531191
Punto[1.         0.53863512 0.55223352] -> F: 0.399471976254423
Punto[1.         0.53882201 0.55396717] -> F: 0.4016425851315655
Punto[1.         0.5390089  0.55570081] -> F: 0.4038278518642807
Punto[1.         0.53919578 0.55743446] -> F: 0.406027776452569
Punto[1.         0.53938267 0.5591681 ] -> F: 0.4082423588964303
Punto[1.         0.53956956 0.56090175] -> F: 0.4104715991958646
Punto[1.         0.53975644 0.5626354 ] -> F: 0.4125862822132983
Punto[1.         0.53994333 0.56436904] -> F: 0.41457648723194174
Punto[1.         0.54013022 0.56610269] -> F: 0.41657728699794483
Punto[1.         0.54031711 0.56783633] -> F: 0.41858868151130857
Punto[1.         0.54050399 0.56956998] -> F: 0.42061067077203235
Punto[1.         0.54069088 0.57130362] -> F: 0.4222908436227439
Punto[1.         0.54087777 0.57303727] -> F: 0.4204366806215043
Punto[1.         0.54106466 0.57477091] -> F: 0.4185867439117536
Punto[1.         0.54125154 0.57650456] -> F: 0.4167410334934924
Punto[1.         0.54143843 0.5782382 ] -> F: 0.4148995493667199
Punto[1.         0.54162532 0.57997185] -> F: 0.41306229153143675
Punto[1.        0.5418122 0.5817055] -> F: 0.4112292599876423
Punto[1.         0.54199909 0.58343914] -> F: 0.40940045473533726
Punto[1.         0.54218598 0.58517279] -> F: 0.4075758757745213
Punto[1.         0.54237287 0.58690643] -> F: 0.40575552310519425
Punto[1.         0.54255975 0.58864008] -> F: 0.4039380333397119
Punto[1.         0.54274664 0.59037372] -> F: 0.40211802213413916
Punto[1.         0.54293353 0.59210737] -> F: 0.400302275202977
Punto[1.         0.54312042 0.59384101] -> F: 0.39849079254622544
Punto[1.         0.5433073  0.59557466] -> F: 0.39668357416388444
Punto[1.         0.54349419 0.59730831] -> F: 0.3948806200559546
Punto[1.         0.54368108 0.59904195] -> F: 0.39308193022243504
Punto[1.         0.54386796 0.6007756 ] -> F: 0.39128750466332624
Punto[1.         0.54405485 0.60250924] -> F: 0.389497343378628
Punto[1.         0.54424174 0.60424289] -> F: 0.38771144636834054
Punto[1.         0.54442863 0.60597653] -> F: 0.3859298136324637
Punto[1.         0.54461551 0.60771018] -> F: 0.38415244517099756
Punto[1.         0.5448024  0.60944382] -> F: 0.3823793409839421
Punto[1.         0.54498929 0.61117747] -> F: 0.3806105010712972
Punto[1.         0.54517618 0.61291112] -> F: 0.3788459254330631
Punto[1.         0.54536306 0.61464476] -> F: 0.3770856140692396
Punto[1.         0.54554995 0.61637841] -> F: 0.3753295669798267
Punto[1.         0.54573684 0.61811205] -> F: 0.3735777841648247
Punto[1.         0.54592372 0.6198457 ] -> F: 0.37183026562423316
Punto[1.         0.54611061 0.62157934] -> F: 0.37007944904563533
Punto[1.         0.5462975  0.62331299] -> F: 0.3683324786228314
Punto[1.         0.54648439 0.62504663] -> F: 0.3665898118430391
Punto[1.         0.54667127 0.62678028] -> F: 0.3648514487062586
Punto[1.         0.54685816 0.62851393] -> F: 0.3631173892124895
Punto[1.         0.54704505 0.63024757] -> F: 0.3613876333617318
Punto[1.         0.54723194 0.63198122] -> F: 0.3596621811539861
Punto[1.         0.54741882 0.63371486] -> F: 0.35794103258925203
Punto[1.         0.54760571 0.63544851] -> F: 0.35622418766752945
Punto[1.         0.5477926  0.63718215] -> F: 0.3545116463888184
