Punto[0.         0.45472924 0.54802737] -> F: 0.2033359054995311
Punto[1.         0.46447043 0.55910443] -> F: 0.35701391257980125
Punto[2.         0.47960742 0.57288083] -> F: 0.07536869854564648
Punto[1.         0.46716833 0.5604541 ] -> F: 0.3560049401175007
Punto[1.         0.46452439 0.55913143] -> F: 0.35702887307125464
Punto[1.         0.46457727 0.55915788] -> F: 0.35704353466571676
Punto[1.         0.46463015 0.55918433] -> F: 0.35705819656985643
Punto[1.         0.46468303 0.55921079] -> F: 0.3570728587836737
Punto[1.         0.46473591 0.55923724] -> F: 0.3570875213071685
Punto[1.         0.46478878 0.55926369] -> F: 0.35710218414034095
Punto[1.         0.46484166 0.55929015] -> F: 0.35711684728319104
Punto[1.         0.46489454 0.5593166 ] -> F: 0.3571315107357188
Punto[1.         0.46494742 0.55934305] -> F: 0.35714617449792413
Punto[1.         0.4650003  0.55936951] -> F: 0.357160838569807
Punto[1.         0.46505318 0.55939596] -> F: 0.3571755029513675
Punto[1.         0.46510606 0.55942241] -> F: 0.3571901676426056
Punto[1.         0.46515893 0.55944887] -> F: 0.3572048326435214
Punto[1.         0.46521181 0.55947532] -> F: 0.3572194979541148
Punto[1.         0.46526469 0.55950178] -> F: 0.35723416357438564
Punto[1.         0.46531757 0.55952823] -> F: 0.3572488295043342
Punto[1.         0.46537045 0.55955468] -> F: 0.3572239971216774
Punto[1.         0.46542333 0.55958114] -> F: 0.3571881216998967
Punto[1.         0.46547621 0.55960759] -> F: 0.35715224753896524
Punto[1.         0.46552909 0.55963404] -> F: 0.3571163746388828
Punto[1.         0.46558196 0.5596605 ] -> F: 0.3570805029996496
Punto[1.         0.46563484 0.55968695] -> F: 0.3570446326212655
Punto[1.         0.46568772 0.5597134 ] -> F: 0.35700876350373056
Punto[1.         0.4657406  0.55973986] -> F: 0.3569728956470447
Punto[1.         0.46579348 0.55976631] -> F: 0.356937029051208
Punto[1.         0.46584636 0.55979276] -> F: 0.35690116371622044
Punto[1.         0.46589924 0.55981922] -> F: 0.35686529964208197
Punto[1.         0.46595212 0.55984567] -> F: 0.3568294368287927
Punto[1.         0.46600499 0.55987212] -> F: 0.35679357527635247
Punto[1.         0.46605787 0.55989858] -> F: 0.3567577149847615
Punto[1.         0.46611075 0.55992503] -> F: 0.3567218559540196
Punto[1.         0.46616363 0.55995148] -> F: 0.35668599818412683
Punto[1.         0.46621651 0.55997794] -> F: 0.3566501416750832
Punto[1.         0.46626939 0.56000439] -> F: 0.35661428642688886
Punto[1.         0.46632227 0.56003084] -> F: 0.35657843243954346
Punto[1.         0.46637515 0.5600573 ] -> F: 0.35654257971304726
Punto[1.         0.46642802 0.56008375] -> F: 0.3565067282474002
Punto[1.         0.4664809  0.56011021] -> F: 0.3564708780426023
Punto[1.         0.46653378 0.56013666] -> F: 0.35643502909865354
Punto[1.         0.46658666 0.56016311] -> F: 0.3563991814155538
Punto[1.         0.46663954 0.56018957] -> F: 0.3563633349933034
Punto[1.         0.46669242 0.56021602] -> F: 0.35632748983190204
Punto[1.         0.4667453  0.56024247] -> F: 0.35629164593134977
Punto[1.         0.46679817 0.56026893] -> F: 0.35625580329164663
Punto[1.         0.46685105 0.56029538] -> F: 0.3562199619127927
Punto[1.         0.46690393 0.56032183] -> F: 0.35618412179478787
Punto[1.         0.46695681 0.56034829] -> F: 0.3561482829376321
Punto[1.         0.46700969 0.56037474] -> F: 0.35611244534132563
Punto[1.         0.46706257 0.56040119] -> F: 0.3560766090058682
Punto[1.         0.46711545 0.56042765] -> F: 0.3560407739312599
