Punto[0.         0.67864192 0.66949459] -> F: 0.1241918092977724
Punto[1.         0.49481201 0.53711196] -> F: 0.4051940889305098
Punto[2.         0.39226035 0.38129922] -> F: 0.07602927273375101
Punto[1.         0.53545114 0.52539691] -> F: 0.3824141935521233
Punto[1.         0.49562479 0.53687766] -> F: 0.40664459768869643
Punto[1.         0.49642132 0.53664804] -> F: 0.40811706980159285
Punto[1.         0.49721785 0.53641843] -> F: 0.40964000056022226
Punto[1.         0.49801437 0.53618881] -> F: 0.41121338996458495
Punto[1.        0.4988109 0.5359592] -> F: 0.4128372380146808
Punto[1.         0.49960743 0.53572958] -> F: 0.4145115447105099
Punto[1.         0.50040396 0.53549997] -> F: 0.4162363100520722
Punto[1.         0.50120048 0.53527035] -> F: 0.4180115340393674
Punto[1.         0.50199701 0.53504074] -> F: 0.41983721667239654
Punto[1.         0.50279354 0.53481112] -> F: 0.4217133579511581
Punto[1.         0.50359006 0.53458151] -> F: 0.4236399578756531
Punto[1.         0.50438659 0.53435189] -> F: 0.4251632888885624
Punto[1.         0.50518312 0.53412228] -> F: 0.4241863384513952
Punto[1.         0.50597964 0.53389266] -> F: 0.4232107370484523
Punto[1.         0.50677617 0.53366305] -> F: 0.4222323270456289
Punto[1.         0.5075727  0.53343343] -> F: 0.42121943061932143
Punto[1.         0.50836922 0.53320382] -> F: 0.42020799651692514
Punto[1.         0.50916575 0.5329742 ] -> F: 0.4191980247384405
Punto[1.         0.50996228 0.53274459] -> F: 0.41818951528386744
Punto[1.         0.5107588  0.53251497] -> F: 0.41718246815320575
Punto[1.         0.51155533 0.53228536] -> F: 0.4161768833464554
Punto[1.         0.51235186 0.53205574] -> F: 0.41517276086361643
Punto[1.         0.51314838 0.53182613] -> F: 0.4141701007046891
Punto[1.         0.51394491 0.53159651] -> F: 0.41316890286967306
Punto[1.         0.51474144 0.5313669 ] -> F: 0.4121691673585686
Punto[1.         0.51553797 0.53113728] -> F: 0.41117089417137526
Punto[1.         0.51633449 0.53090767] -> F: 0.41015025076745176
Punto[1.         0.51713102 0.53067805] -> F: 0.4091126149906217
Punto[1.         0.51792755 0.53044844] -> F: 0.4080765686414853
Punto[1.         0.51872407 0.53021882] -> F: 0.40704211172004184
Punto[1.         0.5195206  0.52998921] -> F: 0.406009244226292
Punto[1.         0.52031713 0.52975959] -> F: 0.4049779661602356
Punto[1.         0.52111365 0.52952998] -> F: 0.4039482775218723
Punto[1.         0.52191018 0.52930036] -> F: 0.4029201783112024
Punto[1.         0.52270671 0.52907075] -> F: 0.40189366852822594
Punto[1.         0.52350323 0.52884113] -> F: 0.40086874817294266
Punto[1.         0.52429976 0.52861152] -> F: 0.3997477607288125
Punto[1.         0.52509629 0.5283819 ] -> F: 0.39857641761859236
Punto[1.         0.52589281 0.52815229] -> F: 0.39740710593440853
Punto[1.         0.52668934 0.52792267] -> F: 0.39623982567626104
Punto[1.         0.52748587 0.52769306] -> F: 0.39507457684415026
Punto[1.         0.52828239 0.52746344] -> F: 0.39391135943807576
Punto[1.         0.52907892 0.52723383] -> F: 0.3927152969837194
Punto[1.         0.52987545 0.52700421] -> F: 0.391441157967604
Punto[1.         0.53067198 0.5267746 ] -> F: 0.390169210209507
Punto[1.         0.5314685  0.52654498] -> F: 0.38889945370942924
Punto[1.         0.53226503 0.52631537] -> F: 0.38763188846737057
Punto[1.         0.53306156 0.52608575] -> F: 0.38636323980415876
Punto[1.         0.53385808 0.52585614] -> F: 0.3850448596274438
Punto[1.         0.53465461 0.52562652] -> F: 0.3837285108767655
