Punto[0.         0.67497548 0.46734873] -> F: 0.062365591993571126
Punto[1.         0.49354158 0.50311241] -> F: 0.34962398566888014
Punto[2.         0.46310516 0.56184616] -> F: 0.16018274319422088
Punto[1.         0.56904032 0.51459744] -> F: 0.330193794517335
Punto[1.         0.49505156 0.50334211] -> F: 0.3514193416032642
Punto[1.         0.49653133 0.50356722] -> F: 0.3532480572014929
Punto[1.         0.49801111 0.50379232] -> F: 0.35514533991778396
Punto[1.         0.49949088 0.50401743] -> F: 0.35705943008478375
Punto[1.         0.50097066 0.50424254] -> F: 0.3586428318207193
Punto[1.         0.50245043 0.50446764] -> F: 0.36025311033535934
Punto[1.         0.50393021 0.50469275] -> F: 0.3618902656287036
Punto[1.         0.50540999 0.50491786] -> F: 0.3635542977007521
Punto[1.         0.50688976 0.50514296] -> F: 0.365245206551505
Punto[1.         0.50836954 0.50536807] -> F: 0.3669629921809619
Punto[1.         0.50984931 0.50559318] -> F: 0.3686063082716177
Punto[1.         0.51132909 0.50581828] -> F: 0.36770614272188473
Punto[1.         0.51280886 0.50604339] -> F: 0.3668071049236012
Punto[1.         0.51428864 0.5062685 ] -> F: 0.36590670706966255
Punto[1.         0.51576841 0.5064936 ] -> F: 0.3649894479110407
Punto[1.         0.51724819 0.50671871] -> F: 0.36407336863547696
Punto[1.         0.51872796 0.50694382] -> F: 0.3631584692429715
Punto[1.         0.52020774 0.50716892] -> F: 0.36224474973352433
Punto[1.         0.52168751 0.50739403] -> F: 0.36132601186930424
Punto[1.         0.52316729 0.50761914] -> F: 0.36039413001970083
Punto[1.         0.52464706 0.50784424] -> F: 0.35946348184663957
Punto[1.         0.52612684 0.50806935] -> F: 0.3585340673501202
Punto[1.         0.52760661 0.50829446] -> F: 0.35760588653014297
Punto[1.         0.52908639 0.50851956] -> F: 0.35666812871924825
Punto[1.         0.53056616 0.50874467] -> F: 0.3557218041331721
Punto[1.         0.53204594 0.50896978] -> F: 0.3547767688495354
Punto[1.         0.53352571 0.50919488] -> F: 0.35383302286833834
Punto[1.         0.53500549 0.50941999] -> F: 0.3528905661895807
Punto[1.         0.53648527 0.5096451 ] -> F: 0.35193323593031917
Punto[1.         0.53796504 0.5098702 ] -> F: 0.3509726127567725
Punto[1.         0.53944482 0.51009531] -> F: 0.3500133365334172
Punto[1.         0.54092459 0.51032042] -> F: 0.3490554072602535
Punto[1.         0.54240437 0.51054552] -> F: 0.34809770680574176
Punto[1.         0.54388414 0.51077063] -> F: 0.3471214858249592
Punto[1.         0.54536392 0.51099574] -> F: 0.346146671675131
Punto[1.         0.54684369 0.51122084] -> F: 0.34517326435625695
Punto[1.         0.54832347 0.51144595] -> F: 0.344201263868337
Punto[1.         0.54980324 0.51167106] -> F: 0.3432233995778428
Punto[1.         0.55128302 0.51189616] -> F: 0.3422329951945373
Punto[1.         0.55276279 0.51212127] -> F: 0.3412440599921817
Punto[1.         0.55424257 0.51234638] -> F: 0.34025659397077634
Punto[1.         0.55572234 0.51257148] -> F: 0.33927059713032093
Punto[1.         0.55720212 0.51279659] -> F: 0.33827239855006547
Punto[1.         0.55868189 0.5130217 ] -> F: 0.33726783865690835
Punto[1.         0.56016167 0.5132468 ] -> F: 0.3362648130292262
Punto[1.         0.56164144 0.51347191] -> F: 0.3352633216670189
Punto[1.         0.56312122 0.51369702] -> F: 0.33426336457028644
Punto[1.         0.56460099 0.51392212] -> F: 0.33324480073220786
Punto[1.         0.56608077 0.51414723] -> F: 0.3322261471598309
Punto[1.         0.56756054 0.51437234] -> F: 0.3312091450882066
