Punto[0.         0.61953964 0.43901798] -> F: 0.09760323707289945
Punto[1.         0.52863756 0.43944054] -> F: 0.3838484902663453
Punto[2.         0.58622291 0.35704475] -> F: 0.12781293126587653
Punto[1.         0.60288127 0.39803137] -> F: 0.37589833686315366
Punto[1.         0.53012243 0.43861236] -> F: 0.3854096775993847
Punto[1.         0.53157761 0.43780074] -> F: 0.38715798715552313
Punto[1.         0.53303279 0.43698912] -> F: 0.38912954852171755
Punto[1.         0.53448796 0.4361775 ] -> F: 0.3913243616979676
Punto[1.         0.53594314 0.43536588] -> F: 0.39373381579557065
Punto[1.         0.53739832 0.43455426] -> F: 0.39620097055092673
Punto[1.         0.53885349 0.43374264] -> F: 0.3986672959555908
Punto[1.         0.54030867 0.43293102] -> F: 0.4011327920095632
Punto[1.         0.54176385 0.4321194 ] -> F: 0.40344537138444925
Punto[1.         0.54321902 0.43130778] -> F: 0.405758585041022
Punto[1.         0.5446742  0.43049616] -> F: 0.4081307294974509
Punto[1.         0.54612938 0.42968454] -> F: 0.41054788239991463
Punto[1.         0.54758455 0.42887292] -> F: 0.4129672173843581
Punto[1.         0.54903973 0.4280613 ] -> F: 0.4153857244536736
Punto[1.         0.55049491 0.42724968] -> F: 0.41780340360786095
Punto[1.         0.55195008 0.42643806] -> F: 0.42013693452073686
Punto[1.         0.55340526 0.42562644] -> F: 0.4218798823723245
Punto[1.         0.55486044 0.42481482] -> F: 0.4233431574313659
Punto[1.         0.55631562 0.4240032 ] -> F: 0.42337902174316266
Punto[1.         0.55777079 0.42319158] -> F: 0.4219863862859529
Punto[1.         0.55922597 0.42237996] -> F: 0.4205977103918031
Punto[1.         0.56068115 0.42156834] -> F: 0.41921299406071344
Punto[1.         0.56213632 0.42075672] -> F: 0.4178322372926837
Punto[1.        0.5635915 0.4199451] -> F: 0.4164554400877142
Punto[1.         0.56504668 0.41913348] -> F: 0.4150826024458045
Punto[1.         0.56650185 0.41832186] -> F: 0.41371372436695497
Punto[1.         0.56795703 0.41751024] -> F: 0.41234641807895606
Punto[1.         0.56941221 0.41669862] -> F: 0.41098235901328845
Punto[1.         0.57086738 0.415887  ] -> F: 0.4096222776371213
Punto[1.         0.57232256 0.41507538] -> F: 0.40826033473790707
Punto[1.         0.57377774 0.41426376] -> F: 0.40689707796121777
Punto[1.         0.57523291 0.41345214] -> F: 0.40553809135248775
Punto[1.         0.57668809 0.41264053] -> F: 0.4041753506614119
Punto[1.         0.57814327 0.41182891] -> F: 0.40280822693095675
Punto[1.         0.57959844 0.41101729] -> F: 0.4013547330796514
Punto[1.         0.58105362 0.41020567] -> F: 0.39985046396364043
Punto[1.         0.5825088  0.40939405] -> F: 0.39833808490885264
Punto[1.         0.58396398 0.40858243] -> F: 0.39683311784171627
Punto[1.         0.58541915 0.40777081] -> F: 0.3953355627622313
Punto[1.         0.58687433 0.40695919] -> F: 0.3938454196703977
Punto[1.         0.58832951 0.40614757] -> F: 0.39236268856621576
Punto[1.         0.58978468 0.40533595] -> F: 0.3908121164376706
Punto[1.         0.59123986 0.40452433] -> F: 0.3891736867068712
Punto[1.         0.59269504 0.40371271] -> F: 0.387542874573914
Punto[1.         0.59415021 0.40290109] -> F: 0.38591968003879934
Punto[1.         0.59560539 0.40208947] -> F: 0.3843041031015272
Punto[1.         0.59706057 0.40127785] -> F: 0.3826961437620974
Punto[1.         0.59851574 0.40046623] -> F: 0.3810958020205101
Punto[1.         0.59997092 0.39965461] -> F: 0.37941214516303945
Punto[1.         0.6014261  0.39884299] -> F: 0.3776513127060049
