Punto[0.         0.36676013 0.35765021] -> F: 0.15689616169767376
Punto[1.         0.54123121 0.57458536] -> F: 0.3728166712004246
Punto[2.         0.59712715 0.6878472 ] -> F: 0.08368385398448437
Punto[1.         0.48194364 0.52274871] -> F: 0.35455984483777225
Punto[1.         0.54004546 0.57354863] -> F: 0.37539089378944246
Punto[1.         0.53888342 0.57253263] -> F: 0.3779861873034419
Punto[1.         0.53772138 0.57151663] -> F: 0.3806533033116094
Punto[1.         0.53655935 0.57050063] -> F: 0.3833922418139447
Punto[1.         0.53539731 0.56948463] -> F: 0.3862030028104481
Punto[1.         0.53423527 0.56846863] -> F: 0.38824083696062395
Punto[1.         0.53307324 0.56745264] -> F: 0.3899131078252298
Punto[1.         0.5319112  0.56643664] -> F: 0.3916272832365484
Punto[1.         0.53074917 0.56542064] -> F: 0.3933833631945795
Punto[1.         0.52958713 0.56440464] -> F: 0.3951749591467826
Punto[1.         0.52842509 0.56338864] -> F: 0.3966837589253264
Punto[1.         0.52726306 0.56237264] -> F: 0.39818889088141357
Punto[1.         0.52610102 0.56135665] -> F: 0.3971482832856794
Punto[1.         0.52493898 0.56034065] -> F: 0.3959807936888673
Punto[1.         0.52377695 0.55932465] -> F: 0.3948159589518263
Punto[1.         0.52261491 0.55830865] -> F: 0.3936537790745566
Punto[1.         0.52145287 0.55729265] -> F: 0.3924942540570581
Punto[1.         0.52029084 0.55627665] -> F: 0.39133738389933076
Punto[1.         0.5191288  0.55526066] -> F: 0.3901831686013748
Punto[1.         0.51796677 0.55424466] -> F: 0.3890316081631899
Punto[1.         0.51680473 0.55322866] -> F: 0.38788270258477625
Punto[1.         0.51564269 0.55221266] -> F: 0.3867364518661339
Punto[1.         0.51448066 0.55119666] -> F: 0.3855928560072626
Punto[1.         0.51331862 0.55018066] -> F: 0.38445191500816267
Punto[1.         0.51215658 0.54916467] -> F: 0.3833136288688339
Punto[1.         0.51099455 0.54814867] -> F: 0.3821779975892763
Punto[1.         0.50983251 0.54713267] -> F: 0.38104502116948996
Punto[1.         0.50867048 0.54611667] -> F: 0.3799146996094748
Punto[1.         0.50750844 0.54510067] -> F: 0.37878703290923077
Punto[1.         0.5063464  0.54408467] -> F: 0.3776620210687582
Punto[1.         0.50518437 0.54306868] -> F: 0.37653966408805667
Punto[1.         0.50402233 0.54205268] -> F: 0.3754199619671264
Punto[1.         0.50286029 0.54103668] -> F: 0.3743029147059673
Punto[1.         0.50169826 0.54002068] -> F: 0.37318852230457944
Punto[1.         0.50053622 0.53900468] -> F: 0.3720744469991449
Punto[1.         0.49937418 0.53798868] -> F: 0.3709596673848081
Punto[1.         0.49821215 0.53697269] -> F: 0.36984757003437163
Punto[1.         0.49705011 0.53595669] -> F: 0.3687381549478352
Punto[1.         0.49588808 0.53494069] -> F: 0.36763142212519884
Punto[1.         0.49472604 0.53392469] -> F: 0.36652737156646265
Punto[1.         0.493564   0.53290869] -> F: 0.36542600327162655
Punto[1.         0.49240197 0.53189269] -> F: 0.3643273172406905
Punto[1.         0.49123993 0.5308767 ] -> F: 0.3632313134736547
Punto[1.         0.49007789 0.5298607 ] -> F: 0.36213799197051894
Punto[1.         0.48891586 0.5288447 ] -> F: 0.36104735273128336
Punto[1.         0.48775382 0.5278287 ] -> F: 0.3599593957559478
Punto[1.         0.48659179 0.5268127 ] -> F: 0.3588741210445125
Punto[1.         0.48542975 0.5257967 ] -> F: 0.35779152859697727
Punto[1.         0.48426771 0.52478071] -> F: 0.3567116184133422
Punto[1.         0.48310568 0.52376471] -> F: 0.35563439049360723
