Punto[0.         0.62772685 0.46550345] -> F: 0.0789999050557587
Punto[1.         0.42009253 0.46042032] -> F: 0.25620383803318203
Punto[2.         0.46750231 0.59054869] -> F: 0.12879464670254515
Punto[1.         0.54761458 0.52802607] -> F: 0.32380439915400344
Punto[1.         0.42264297 0.46177243] -> F: 0.2591128907638125
Punto[1.         0.4251424  0.46309751] -> F: 0.2619553276406602
Punto[1.         0.42764183 0.46442258] -> F: 0.2650535022222072
Punto[1.         0.43014126 0.46574765] -> F: 0.26834757491222955
Punto[1.         0.4326407  0.46707272] -> F: 0.27158389488566453
Punto[1.         0.43514013 0.4683978 ] -> F: 0.27698491254417607
Punto[1.         0.43763956 0.46972287] -> F: 0.28215145934942115
Punto[1.         0.44013899 0.47104794] -> F: 0.2879362717322604
Punto[1.         0.44263842 0.47237302] -> F: 0.29423928533485116
Punto[1.         0.44513786 0.47369809] -> F: 0.3006808434555622
Punto[1.         0.44763729 0.47502316] -> F: 0.30622605813898557
Punto[1.         0.45013672 0.47634823] -> F: 0.31218407331829806
Punto[1.         0.45263615 0.47767331] -> F: 0.31819652850363617
Punto[1.         0.45513559 0.47899838] -> F: 0.32338923513222506
Punto[1.         0.45763502 0.48032345] -> F: 0.3286668609510901
Punto[1.         0.46013445 0.48164852] -> F: 0.33415315545578217
Punto[1.         0.46263388 0.4829736 ] -> F: 0.34245157011866956
Punto[1.         0.46513331 0.48429867] -> F: 0.35043677313032606
Punto[1.         0.46763275 0.48562374] -> F: 0.35766136490196604
Punto[1.         0.47013218 0.48694881] -> F: 0.3652947401833827
Punto[1.         0.47263161 0.48827389] -> F: 0.3733368989745766
Punto[1.         0.47513104 0.48959896] -> F: 0.3813672762678455
Punto[1.         0.47763048 0.49092403] -> F: 0.38885544224867735
Punto[1.         0.48012991 0.4922491 ] -> F: 0.3906077135482447
Punto[1.         0.48262934 0.49357418] -> F: 0.3884550722396709
Punto[1.         0.48512877 0.49489925] -> F: 0.38626454144360145
Punto[1.         0.4876282  0.49622432] -> F: 0.38405044686848633
Punto[1.         0.49012764 0.4975494 ] -> F: 0.38184504417587045
Punto[1.         0.49262707 0.49887447] -> F: 0.3795752795709995
Punto[1.         0.4951265  0.50019954] -> F: 0.37730745906170865
Punto[1.         0.49762593 0.50152461] -> F: 0.3750323091396522
Punto[1.         0.50012537 0.50284969] -> F: 0.37270017251124815
Punto[1.         0.5026248  0.50417476] -> F: 0.37037808149966206
Punto[1.         0.50512423 0.50549983] -> F: 0.3680265052574659
Punto[1.         0.50762366 0.5068249 ] -> F: 0.36563857947542394
Punto[1.         0.51012309 0.50814998] -> F: 0.3632614666314074
Punto[1.         0.51262253 0.50947505] -> F: 0.36083451669620153
Punto[1.         0.51512196 0.51080012] -> F: 0.3583897384403004
Punto[1.         0.51762139 0.51212519] -> F: 0.3559566132369773
Punto[1.         0.52012082 0.51345027] -> F: 0.35345580324631226
Punto[1.         0.52262025 0.51477534] -> F: 0.3509528164862898
Punto[1.         0.52511969 0.51610041] -> F: 0.3484508087170394
Punto[1.         0.52761912 0.51742549] -> F: 0.34588801455879653
Punto[1.         0.53011855 0.51875056] -> F: 0.3432859246466374
Punto[1.         0.53261798 0.52007563] -> F: 0.34053173191372826
Punto[1.         0.53511742 0.5214007 ] -> F: 0.33776089476774956
Punto[1.         0.53761685 0.52272578] -> F: 0.33497846851926494
Punto[1.         0.54011628 0.52405085] -> F: 0.3321995648919852
Punto[1.         0.54261571 0.52537592] -> F: 0.32940264238669104
Punto[1.         0.54511514 0.52670099] -> F: 0.3266035382723298
