Punto[0.         0.51778856 0.42700395] -> F: 0.05175164993103648
Punto[1.         0.53593637 0.50085706] -> F: 0.3086670927050049
Punto[2.         0.60053255 0.46732329] -> F: 0.21528545029226587
Punto[1.         0.55916055 0.44716362] -> F: 0.270537311342076
Punto[1.         0.53640085 0.4997832 ] -> F: 0.30790176739905767
Punto[1.         0.53685605 0.4987308 ] -> F: 0.3071493906740094
Punto[1.         0.53731124 0.49767841] -> F: 0.3063959183024068
Punto[1.         0.53776643 0.49662602] -> F: 0.3056425560945789
Punto[1.         0.53822163 0.49557363] -> F: 0.30488643858479036
Punto[1.         0.53867682 0.49452124] -> F: 0.3041295951742626
Punto[1.         0.53913202 0.49346885] -> F: 0.30337286301323657
Punto[1.         0.53958721 0.49241645] -> F: 0.3026155575593307
Punto[1.         0.5400424  0.49136406] -> F: 0.301857209688552
Punto[1.         0.5404976  0.49031167] -> F: 0.30109950686628056
Punto[1.         0.54095279 0.48925928] -> F: 0.3003424490925165
Punto[1.         0.54140799 0.48820689] -> F: 0.29958603636725956
Punto[1.         0.54186318 0.4871545 ] -> F: 0.2988302686905099
Punto[1.         0.54231837 0.48610211] -> F: 0.2980751460622675
Punto[1.         0.54277357 0.48504971] -> F: 0.2973206684825323
Punto[1.         0.54322876 0.48399732] -> F: 0.2965668359513044
Punto[1.         0.54368396 0.48294493] -> F: 0.29581290017926964
Punto[1.         0.54413915 0.48189254] -> F: 0.2950588134428608
Punto[1.         0.54459434 0.48084015] -> F: 0.2943053744073444
Punto[1.         0.54504954 0.47978776] -> F: 0.29355258307272053
Punto[1.         0.54550473 0.47873536] -> F: 0.29280043943898926
Punto[1.         0.54595993 0.47768297] -> F: 0.29204894350615046
Punto[1.         0.54641512 0.47663058] -> F: 0.29129809527420425
Punto[1.         0.54687031 0.47557819] -> F: 0.29054789474315046
Punto[1.         0.54732551 0.4745258 ] -> F: 0.28979834191298925
Punto[1.         0.5477807  0.47347341] -> F: 0.2890494367837206
Punto[1.         0.5482359  0.47242102] -> F: 0.2883011793553445
Punto[1.         0.54869109 0.47136862] -> F: 0.2875535696278608
Punto[1.         0.54914628 0.47031623] -> F: 0.28680660760126975
Punto[1.         0.54960148 0.46926384] -> F: 0.2860602932755712
Punto[1.         0.55005667 0.46821145] -> F: 0.2853146266507652
Punto[1.         0.55051187 0.46715906] -> F: 0.2845696077268517
Punto[1.         0.55096706 0.46610667] -> F: 0.28382523650383074
Punto[1.         0.55142225 0.46505427] -> F: 0.28308151298170237
Punto[1.         0.55187745 0.46400188] -> F: 0.28233843716046647
Punto[1.         0.55233264 0.46294949] -> F: 0.28159600904012305
Punto[1.         0.55278784 0.4618971 ] -> F: 0.2808542286206722
Punto[1.         0.55324303 0.46084471] -> F: 0.2801130959021139
Punto[1.         0.55369822 0.45979232] -> F: 0.27937261088444815
Punto[1.         0.55415342 0.45873993] -> F: 0.27863277356767474
Punto[1.         0.55460861 0.45768753] -> F: 0.2778935839517941
Punto[1.         0.55506381 0.45663514] -> F: 0.27715504203680597
Punto[1.         0.555519   0.45558275] -> F: 0.2764171478227102
Punto[1.         0.55597419 0.45453036] -> F: 0.27567990130950715
Punto[1.         0.55642939 0.45347797] -> F: 0.2749433024971965
Punto[1.         0.55688458 0.45242558] -> F: 0.2742073513857784
Punto[1.         0.55733978 0.45137318] -> F: 0.2734720479752528
Punto[1.         0.55779497 0.45032079] -> F: 0.2727373922656199
Punto[1.         0.55825016 0.4492684 ] -> F: 0.2720033842568793
Punto[1.         0.55870536 0.44821601] -> F: 0.27127002394903144
