Punto[0.         0.51029387 0.46479422] -> F: 0.09124966080614919
Punto[1.         0.65765971 0.50170565] -> F: 0.36154947548298105
Punto[2.         0.68282413 0.40489453] -> F: 0.10805160433899519
Punto[1.         0.596559   0.43484437] -> F: 0.35992686261591844
Punto[1.         0.65643769 0.50036843] -> F: 0.36620515342856697
Punto[1.         0.65524012 0.49905795] -> F: 0.3691609456303861
Punto[1.         0.65404255 0.49774746] -> F: 0.37211173390042596
Punto[1.         0.65284497 0.49643698] -> F: 0.37505751823868705
Punto[1.        0.6516474 0.4951265] -> F: 0.3779982986451691
Punto[1.         0.65044983 0.49381602] -> F: 0.380934075119872
Punto[1.         0.64925225 0.49250554] -> F: 0.3839018671008087
Punto[1.         0.64805468 0.49119506] -> F: 0.38702952516933953
Punto[1.         0.6468571  0.48988458] -> F: 0.39011663032657945
Punto[1.         0.64565953 0.4885741 ] -> F: 0.39305740424111646
Punto[1.         0.64446196 0.48726362] -> F: 0.3959930363712689
Punto[1.         0.64326438 0.48595313] -> F: 0.39899206900544437
Punto[1.         0.64206681 0.48464265] -> F: 0.40239575650296777
Punto[1.         0.64086923 0.48333217] -> F: 0.4062507127695535
Punto[1.         0.63967166 0.48202169] -> F: 0.41055693780520247
Punto[1.         0.63847409 0.48071121] -> F: 0.41531443160991344
Punto[1.         0.63727651 0.47940073] -> F: 0.4205141071700484
Punto[1.         0.63607894 0.47809025] -> F: 0.42584597451094586
Punto[1.         0.63488137 0.47677977] -> F: 0.43115787004574624
Punto[1.         0.63368379 0.47546929] -> F: 0.43518915753766263
Punto[1.         0.63248622 0.4741588 ] -> F: 0.43652748151862475
Punto[1.         0.63128864 0.47284832] -> F: 0.436739470080632
Punto[1.         0.63009107 0.47153784] -> F: 0.43695139263496585
Punto[1.         0.6288935  0.47022736] -> F: 0.4371632491816262
Punto[1.         0.62769592 0.46891688] -> F: 0.4355345067673643
Punto[1.         0.62649835 0.4676064 ] -> F: 0.4334384590180239
Punto[1.         0.62530077 0.46629592] -> F: 0.43134877060391896
Punto[1.         0.6241032  0.46498544] -> F: 0.4292654415250494
Punto[1.         0.62290563 0.46367496] -> F: 0.4271884717814151
Punto[1.         0.62170805 0.46236447] -> F: 0.4251178613730161
Punto[1.         0.62051048 0.46105399] -> F: 0.42305361029985245
Punto[1.         0.61931291 0.45974351] -> F: 0.42099571856192414
Punto[1.         0.61811533 0.45843303] -> F: 0.4183269274625419
Punto[1.         0.61691776 0.45712255] -> F: 0.41519507937099354
Punto[1.         0.61572018 0.45581207] -> F: 0.4120833758654971
Punto[1.         0.61452261 0.45450159] -> F: 0.4086862415337489
Punto[1.         0.61332504 0.45319111] -> F: 0.4052964826382952
Punto[1.         0.61212746 0.45188063] -> F: 0.4019268683288932
Punto[1.         0.61092989 0.45057015] -> F: 0.3985773986055431
Punto[1.         0.60973231 0.44925966] -> F: 0.39524807346824536
Punto[1.         0.60853474 0.44794918] -> F: 0.39193889291699946
Punto[1.         0.60733717 0.4466387 ] -> F: 0.38864985695180543
Punto[1.         0.60613959 0.44532822] -> F: 0.38538096557266366
Punto[1.         0.60494202 0.44401774] -> F: 0.3821322187795736
Punto[1.         0.60374445 0.44270726] -> F: 0.37890361657253574
Punto[1.         0.60254687 0.44139678] -> F: 0.3756951589515501
Punto[1.        0.6013493 0.4400863] -> F: 0.37250684591661615
Punto[1.         0.60015172 0.43877582] -> F: 0.3693386774677343
Punto[1.         0.59895415 0.43746533] -> F: 0.3661906536049045
Punto[1.         0.59775658 0.43615485] -> F: 0.3630627743281266
