Punto[0.         0.87931078 0.46285148] -> F: 0.0869047731432511
Punto[1.         0.61105563 0.56464136] -> F: 0.3041906631048267
Punto[2.         0.66657868 0.48437983] -> F: 0.08842290396799575
Punto[1.         0.77294473 0.47361565] -> F: 0.31347023610081604
Punto[1.         0.61429341 0.56282085] -> F: 0.3086984522987152
Punto[1.         0.61746644 0.56103674] -> F: 0.31331564980362886
Punto[1.         0.62063947 0.55925264] -> F: 0.3180788399442709
Punto[1.         0.62381249 0.55746854] -> F: 0.3229738340200932
Punto[1.         0.62698552 0.55568443] -> F: 0.3279623729017998
Punto[1.         0.63015855 0.55390033] -> F: 0.33312970692275523
Punto[1.         0.63333157 0.55211622] -> F: 0.33835111802832823
Punto[1.         0.6365046  0.55033212] -> F: 0.3436590840323542
Punto[1.         0.63967763 0.54854802] -> F: 0.3482299752159875
Punto[1.         0.64285065 0.54676391] -> F: 0.35347163441872786
Punto[1.         0.64602368 0.54497981] -> F: 0.35880575103483076
Punto[1.        0.6491967 0.5431957] -> F: 0.3642597783271921
Punto[1.         0.65236973 0.5414116 ] -> F: 0.36992263401434555
Punto[1.         0.65554276 0.5396275 ] -> F: 0.3755996948202168
Punto[1.         0.65871578 0.53784339] -> F: 0.3814430894656092
Punto[1.         0.66188881 0.53605929] -> F: 0.3873608046841071
Punto[1.         0.66506184 0.53427519] -> F: 0.3933518400752752
Punto[1.         0.66823486 0.53249108] -> F: 0.3994161956391138
Punto[1.         0.67140789 0.53070698] -> F: 0.4055538713756222
Punto[1.         0.67458092 0.52892287] -> F: 0.4117648672848006
Punto[1.         0.67775394 0.52713877] -> F: 0.4180491833666498
Punto[1.         0.68092697 0.52535467] -> F: 0.4244068196211687
Punto[1.         0.68409999 0.52357056] -> F: 0.4271354154026823
Punto[1.         0.68727302 0.52178646] -> F: 0.424540064946182
Punto[1.         0.69044605 0.52000235] -> F: 0.4219564465791678
Punto[1.         0.69361907 0.51821825] -> F: 0.41928213689521243
Punto[1.         0.6967921  0.51643415] -> F: 0.4166187586177867
Punto[1.         0.69996513 0.51465004] -> F: 0.4139680845768509
Punto[1.         0.70313815 0.51286594] -> F: 0.4113301147724054
Punto[1.         0.70631118 0.51108184] -> F: 0.40864239386648904
Punto[1.         0.70948421 0.50929773] -> F: 0.40593247962877277
Punto[1.         0.71265723 0.50751363] -> F: 0.40323175367476033
Punto[1.         0.71583026 0.50572952] -> F: 0.4005447309148985
Punto[1.         0.71900328 0.50394542] -> F: 0.3978056362429666
Punto[1.         0.72217631 0.50216132] -> F: 0.3950625087647739
Punto[1.         0.72534934 0.50037721] -> F: 0.3923252883614806
Punto[1.         0.72852236 0.49859311] -> F: 0.389559217148956
Punto[1.         0.73169539 0.496809  ] -> F: 0.3867802814748353
Punto[1.         0.73486842 0.4950249 ] -> F: 0.38400748779614235
Punto[1.         0.73804144 0.4932408 ] -> F: 0.38057360775419463
Punto[1.         0.74121447 0.49145669] -> F: 0.3747824847335978
Punto[1.         0.7443875  0.48967259] -> F: 0.36732012990795665
Punto[1.         0.74756052 0.48788849] -> F: 0.3600457435330711
Punto[1.         0.75073355 0.48610438] -> F: 0.35344023513443945
Punto[1.         0.75390658 0.48432028] -> F: 0.3489883129409715
Punto[1.         0.7570796  0.48253617] -> F: 0.34447229007259167
Punto[1.         0.76025263 0.48075207] -> F: 0.33995544403797906
Punto[1.         0.76342565 0.47896797] -> F: 0.3353979219977342
Punto[1.         0.76659868 0.47718386] -> F: 0.3289017153113038
Punto[1.         0.76977171 0.47539976] -> F: 0.3212477202092751
