Punto[0.         0.42522133 0.62661818] -> F: 0.13103281187800941
Punto[1.         0.49067466 0.51786292] -> F: 0.38474840261835414
Punto[2.         0.46951828 0.46923508] -> F: 0.09039208556958744
Punto[1.         0.4473698  0.54792663] -> F: 0.38944791639176896
Punto[1.         0.48980856 0.5184642 ] -> F: 0.3858739253946403
Punto[1.         0.48895978 0.51905345] -> F: 0.38697673507621
Punto[1.         0.48811101 0.5196427 ] -> F: 0.38807934416544926
Punto[1.         0.48726223 0.52023194] -> F: 0.3891817526623582
Punto[1.         0.48641346 0.52082119] -> F: 0.3902839605669369
Punto[1.         0.48556468 0.52141044] -> F: 0.39138596787918534
Punto[1.         0.48471591 0.52199969] -> F: 0.39248777459910345
Punto[1.         0.48386713 0.52258894] -> F: 0.39365877765440876
Punto[1.         0.48301836 0.52317819] -> F: 0.39514733935038254
Punto[1.         0.48216958 0.52376744] -> F: 0.39697526608823275
Punto[1.         0.48132081 0.52435668] -> F: 0.3989573785999711
Punto[1.         0.48047203 0.52494593] -> F: 0.4009379979271523
Punto[1.         0.47962326 0.52553518] -> F: 0.4029171240697766
Punto[1.         0.47877448 0.52612443] -> F: 0.404894757027844
Punto[1.         0.47792571 0.52671368] -> F: 0.4068708968013544
Punto[1.         0.47707693 0.52730293] -> F: 0.4088455433903076
Punto[1.         0.47622816 0.52789218] -> F: 0.41081869679470406
Punto[1.         0.47537938 0.52848142] -> F: 0.41279035701454336
Punto[1.         0.47453061 0.52907067] -> F: 0.4146726659296586
Punto[1.         0.47368183 0.52965992] -> F: 0.4163849166730696
Punto[1.         0.47283306 0.53024917] -> F: 0.41811704418939377
Punto[1.         0.47198428 0.53083842] -> F: 0.41986904847863205
Punto[1.         0.47113551 0.53142767] -> F: 0.4198399486786655
Punto[1.         0.47028673 0.53201692] -> F: 0.4188715975681563
Punto[1.         0.46943796 0.53260616] -> F: 0.41793062447264995
Punto[1.         0.46858918 0.53319541] -> F: 0.41700557670758603
Punto[1.         0.46774041 0.53378466] -> F: 0.4160802960506768
Punto[1.         0.46689163 0.53437391] -> F: 0.41515466750141783
Punto[1.         0.46604286 0.53496316] -> F: 0.4142286910598094
Punto[1.         0.46519408 0.53555241] -> F: 0.41330236672585113
Punto[1.         0.46434531 0.53614166] -> F: 0.4123756944995434
Punto[1.         0.46349653 0.53673091] -> F: 0.4114468219860031
Punto[1.         0.46264776 0.53732015] -> F: 0.4104544132215877
Punto[1.         0.46179898 0.5379094 ] -> F: 0.40927522910724806
Punto[1.         0.46095021 0.53849865] -> F: 0.40809104766292237
Punto[1.         0.46010143 0.5390879 ] -> F: 0.4069090855054626
Punto[1.         0.45925266 0.53967715] -> F: 0.4057305470391475
Punto[1.         0.45840388 0.5402664 ] -> F: 0.4045612982420303
Punto[1.         0.45755511 0.54085565] -> F: 0.4034021204328873
Punto[1.         0.45670633 0.54144489] -> F: 0.40224151330494057
Punto[1.         0.45585756 0.54203414] -> F: 0.4010611058431273
Punto[1.         0.45500878 0.54262339] -> F: 0.39988281862765857
Punto[1.         0.45416001 0.54321264] -> F: 0.39870782538589644
Punto[1.         0.45331123 0.54380189] -> F: 0.397543768717278
Punto[1.         0.45246246 0.54439114] -> F: 0.39639202795597267
Punto[1.         0.45161368 0.54498039] -> F: 0.39525260310198085
Punto[1.         0.45076491 0.54556963] -> F: 0.39408264861084163
Punto[1.         0.44991613 0.54615888] -> F: 0.3929077723105422
Punto[1.         0.44906736 0.54674813] -> F: 0.3917383774759145
Punto[1.         0.44821858 0.54733738] -> F: 0.39058485634764895
