Punto[0.         0.32197498 0.38234613] -> F: 0.06920071486024233
Punto[1.         0.48120511 0.53990863] -> F: 0.3130731424140885
Punto[2.         0.48194718 0.55380003] -> F: 0.20076498078356464
Punto[1.         0.40196108 0.46807308] -> F: 0.30721320819629616
Punto[1.         0.47962023 0.53847192] -> F: 0.31517551148028905
Punto[1.         0.47806705 0.53706394] -> F: 0.31735762553889885
Punto[1.         0.47651386 0.53565596] -> F: 0.319660301745245
Punto[1.         0.47496068 0.53424799] -> F: 0.32205870620855837
Punto[1.         0.4734075  0.53284001] -> F: 0.3246273406011449
Punto[1.         0.47185431 0.53143203] -> F: 0.3272917032506992
Punto[1.         0.47030113 0.53002406] -> F: 0.3300766280479892
Punto[1.         0.46874795 0.52861608] -> F: 0.33278851421236477
Punto[1.         0.46719477 0.5272081 ] -> F: 0.33551284712818863
Punto[1.         0.46564158 0.52580013] -> F: 0.3382965267338936
Punto[1.         0.4640884  0.52439215] -> F: 0.34071325394608826
Punto[1.         0.46253522 0.52298417] -> F: 0.3401264374500191
Punto[1.         0.46098203 0.5215762 ] -> F: 0.3395291791512561
Punto[1.         0.45942885 0.52016822] -> F: 0.33890341511283884
Punto[1.         0.45787567 0.51876024] -> F: 0.33827839873992543
Punto[1.         0.45632248 0.51735227] -> F: 0.33765413003251615
Punto[1.         0.4547693  0.51594429] -> F: 0.3370280315788628
Punto[1.         0.45321612 0.51453631] -> F: 0.33636538987280135
Punto[1.         0.45166294 0.51312834] -> F: 0.3357035946970566
Punto[1.         0.45010975 0.51172036] -> F: 0.3350426460516285
Punto[1.         0.44855657 0.51031238] -> F: 0.3343825439365171
Punto[1.         0.44700339 0.50890441] -> F: 0.3336863406999937
Punto[1.         0.4454502  0.50749643] -> F: 0.33298845315705244
Punto[1.         0.44389702 0.50608845] -> F: 0.33229151691521813
Punto[1.         0.44234384 0.50468048] -> F: 0.33159553197449065
Punto[1.         0.44079065 0.5032725 ] -> F: 0.33086615565919575
Punto[1.         0.43923747 0.50186452] -> F: 0.3301327867266906
Punto[1.         0.43768429 0.50045654] -> F: 0.3293343307196923
Punto[1.         0.43613111 0.49904857] -> F: 0.32849375670869535
Punto[1.         0.43457792 0.49764059] -> F: 0.3276376243228435
Punto[1.         0.43302474 0.49623261] -> F: 0.32676480137996816
Punto[1.         0.43147156 0.49482464] -> F: 0.3258838793661778
Punto[1.         0.42991837 0.49341666] -> F: 0.32497873499275526
Punto[1.         0.42836519 0.49200868] -> F: 0.3240660964417641
Punto[1.         0.42681201 0.49060071] -> F: 0.3231358591072654
Punto[1.         0.42525882 0.48919273] -> F: 0.32219126089302674
Punto[1.         0.42370564 0.48778475] -> F: 0.3212381146541118
Punto[1.         0.42215246 0.48637678] -> F: 0.3202844059966799
Punto[1.         0.42059927 0.4849688 ] -> F: 0.31931162336670676
Punto[1.         0.41904609 0.48356082] -> F: 0.3183401460884666
Punto[1.         0.41749291 0.48215285] -> F: 0.31736459989669513
Punto[1.         0.41593973 0.48074487] -> F: 0.3163738008652615
Punto[1.         0.41438654 0.47933689] -> F: 0.3153843670156491
Punto[1.         0.41283336 0.47792892] -> F: 0.3143864774380179
Punto[1.         0.41128018 0.47652094] -> F: 0.3133779926594781
Punto[1.         0.40972699 0.47511296] -> F: 0.31237093408313976
Punto[1.         0.40817381 0.47370499] -> F: 0.311350280594161
Punto[1.         0.40662063 0.47229701] -> F: 0.31032439942733264
Punto[1.         0.40506744 0.47088903] -> F: 0.3093000068029406
Punto[1.         0.40351426 0.46948106] -> F: 0.3082562366235131
