Punto[0.         0.54919397 0.66897345] -> F: 0.12394089682550587
Punto[1.         0.42499563 0.47895691] -> F: 0.29014765964084066
Punto[2.         0.32501727 0.59354845] -> F: 0.08527739220198134
Punto[1.         0.43710562 0.63126095] -> F: 0.3409045305643268
Punto[1.         0.42523783 0.48200299] -> F: 0.2959391964200977
Punto[1.         0.42547519 0.48498815] -> F: 0.30195646586774827
Punto[1.         0.42571254 0.48797331] -> F: 0.3076769457254063
Punto[1.         0.4259499  0.49095847] -> F: 0.31338906795981
Punto[1.         0.42618725 0.49394363] -> F: 0.3192933997609921
Punto[1.         0.42642461 0.49692879] -> F: 0.3251486999509636
Punto[1.         0.42666196 0.49991394] -> F: 0.33089573711264303
Punto[1.         0.42689932 0.5028991 ] -> F: 0.3367820784276292
Punto[1.         0.42713668 0.50588426] -> F: 0.34264519154536993
Punto[1.         0.42737403 0.50886942] -> F: 0.3484215130987262
Punto[1.         0.42761139 0.51185458] -> F: 0.35430908996203014
Punto[1.         0.42784874 0.51483974] -> F: 0.3601493869311155
Punto[1.        0.4280861 0.5178249] -> F: 0.3659493675509845
Punto[1.         0.42832345 0.52081006] -> F: 0.3718429181904461
Punto[1.         0.42856081 0.52379522] -> F: 0.3776506858178415
Punto[1.         0.42879817 0.52678038] -> F: 0.3834694818805406
Punto[1.         0.42903552 0.52976554] -> F: 0.38936952648271583
Punto[1.         0.42927288 0.5327507 ] -> F: 0.3951422584244742
Punto[1.         0.42951023 0.53573585] -> F: 0.40097577103625004
Punto[1.         0.42974759 0.53872101] -> F: 0.406360588298414
Punto[1.         0.42998494 0.54170617] -> F: 0.40427106034261345
Punto[1.         0.4302223  0.54469133] -> F: 0.4021696123611063
Punto[1.         0.43045966 0.54767649] -> F: 0.40007180263676345
Punto[1.         0.43069701 0.55066165] -> F: 0.397977631169585
Punto[1.         0.43093437 0.55364681] -> F: 0.39588709795957083
Punto[1.         0.43117172 0.55663197] -> F: 0.39378301221694817
Punto[1.         0.43140908 0.55961713] -> F: 0.3916783022677171
Punto[1.         0.43164644 0.56260229] -> F: 0.3895773060684799
Punto[1.         0.43188379 0.56558745] -> F: 0.38748002361923634
Punto[1.         0.43212115 0.56857261] -> F: 0.38537617932734636
Punto[1.         0.4323585  0.57155776] -> F: 0.38326542209421827
Punto[1.         0.43259586 0.57454292] -> F: 0.38115845340446447
Punto[1.         0.43283321 0.57752808] -> F: 0.3790552732580849
Punto[1.         0.43307057 0.58051324] -> F: 0.3769486333472295
Punto[1.         0.43330793 0.5834984 ] -> F: 0.3748326267332569
Punto[1.         0.43354528 0.58648356] -> F: 0.3727204829114384
Punto[1.         0.43378264 0.58946872] -> F: 0.3706122018817741
Punto[1.         0.43401999 0.59245388] -> F: 0.36850031913711884
Punto[1.         0.43425735 0.59543904] -> F: 0.3663798103666479
Punto[1.        0.4344947 0.5984242] -> F: 0.36426323824303347
Punto[1.         0.43473206 0.60140936] -> F: 0.36215060276627536
Punto[1.         0.43496942 0.60439452] -> F: 0.3600315006828233
Punto[1.         0.43520677 0.60737967] -> F: 0.3579071901503706
Punto[1.         0.43544413 0.61036483] -> F: 0.35578688987283014
Punto[1.         0.43568148 0.61334999] -> F: 0.353670599850202
Punto[1.         0.43591884 0.61633515] -> F: 0.35154267685113455
Punto[1.         0.43615619 0.61932031] -> F: 0.3494152215217004
Punto[1.         0.43639355 0.62230547] -> F: 0.34729184995410584
Punto[1.         0.43663091 0.62529063] -> F: 0.3451686550516409
Punto[1.         0.43686826 0.62827579] -> F: 0.34303451415178704
