Punto[0.         0.63173921 0.43715917] -> F: 0.14742251515477822
Punto[1.         0.51527301 0.50938471] -> F: 0.37364663655412006
Punto[2.         0.52751062 0.70490596] -> F: 0.08119656216375187
Punto[1.         0.57962492 0.57103257] -> F: 0.35231115563789556
Punto[1.         0.51656005 0.51061766] -> F: 0.374857784543024
Punto[1.         0.51782134 0.51182596] -> F: 0.3760558009565461
Punto[1.         0.51908264 0.51303426] -> F: 0.37709926667222965
Punto[1.         0.52034394 0.51424256] -> F: 0.378069076867753
Punto[1.         0.52160524 0.51545086] -> F: 0.3790600674716315
Punto[1.         0.52286653 0.51665915] -> F: 0.38007223848386534
Punto[1.         0.52412783 0.51786745] -> F: 0.38110558990445464
Punto[1.         0.52538913 0.51907575] -> F: 0.382160121733399
Punto[1.         0.52665043 0.52028405] -> F: 0.3832358339706987
Punto[1.         0.52791172 0.52149235] -> F: 0.3843327266163536
Punto[1.         0.52917302 0.52270064] -> F: 0.38545079967036416
Punto[1.         0.53043432 0.52390894] -> F: 0.3865900531327298
Punto[1.         0.53169562 0.52511724] -> F: 0.3877504870034506
Punto[1.         0.53295691 0.52632554] -> F: 0.3889321012825269
Punto[1.         0.53421821 0.52753384] -> F: 0.39013067762639436
Punto[1.         0.53547951 0.52874213] -> F: 0.3909682619675995
Punto[1.         0.53674081 0.52995043] -> F: 0.39181154995233036
Punto[1.         0.5380021  0.53115873] -> F: 0.39272485682557606
Punto[1.         0.5392634  0.53236703] -> F: 0.3937270021778144
Punto[1.         0.5405247  0.53357533] -> F: 0.39305313399157826
Punto[1.         0.54178599 0.53478363] -> F: 0.3917860945419194
Punto[1.         0.54304729 0.53599192] -> F: 0.39050429135072867
Punto[1.         0.54430859 0.53720022] -> F: 0.3892241657790087
Punto[1.         0.54556989 0.53840852] -> F: 0.3879457178267591
Punto[1.         0.54683118 0.53961682] -> F: 0.38666654639674497
Punto[1.         0.54809248 0.54082512] -> F: 0.38537397644190047
Punto[1.         0.54935378 0.54203341] -> F: 0.3840831304504215
Punto[1.         0.55061508 0.54324171] -> F: 0.38279400842230754
Punto[1.         0.55187637 0.54445001] -> F: 0.38150351791737436
Punto[1.         0.55313767 0.54565831] -> F: 0.3801998699210645
Punto[1.         0.55439897 0.54686661] -> F: 0.37889799447221734
Punto[1.         0.55566027 0.5480749 ] -> F: 0.3775978915708328
Punto[1.         0.55692156 0.5492832 ] -> F: 0.37629711504329505
Punto[1.         0.55818286 0.5504915 ] -> F: 0.37498202151121446
Punto[1.         0.55944416 0.5516998 ] -> F: 0.37366875161498786
Punto[1.         0.56070546 0.5529081 ] -> F: 0.3723573053546153
Punto[1.         0.56196675 0.55411639] -> F: 0.3710473365246554
Punto[1.         0.56322805 0.55532469] -> F: 0.36972052564854624
Punto[1.         0.56448935 0.55653299] -> F: 0.3683954910491902
Punto[1.         0.56575064 0.55774129] -> F: 0.3670722769110511
Punto[1.         0.56701194 0.55894959] -> F: 0.36575094008410736
Punto[1.         0.56827324 0.56015788] -> F: 0.3644151272463088
Punto[1.         0.56953454 0.56136618] -> F: 0.36307805695012574
Punto[1.         0.57079583 0.56257448] -> F: 0.36174281499582084
Punto[1.         0.57205713 0.56378278] -> F: 0.3604094013833935
Punto[1.         0.57331843 0.56499108] -> F: 0.35906607878116625
Punto[1.         0.57457973 0.56619937] -> F: 0.3577164300347458
Punto[1.         0.57584102 0.56740767] -> F: 0.3563686648241065
Punto[1.         0.57710232 0.56861597] -> F: 0.35502278314924846
Punto[1.         0.57836362 0.56982427] -> F: 0.35367401056898506
