Punto[0.         0.56888697 0.52163366] -> F: 0.088388704463779
Punto[1.         0.42724576 0.49481485] -> F: 0.3949560452239939
Punto[2.         0.34602768 0.53227124] -> F: 0.1727000555968194
Punto[1.         0.45745732 0.52695245] -> F: 0.3696078768938536
Punto[1.        0.42785   0.4954576] -> F: 0.3944467728175278
Punto[1.         0.42844214 0.4960875 ] -> F: 0.3939480763572258
Punto[1.         0.42903429 0.49671739] -> F: 0.3934497664505338
Punto[1.         0.42962644 0.49734729] -> F: 0.39295184309745207
Punto[1.         0.43021858 0.49797719] -> F: 0.3924543062979803
Punto[1.         0.43081073 0.49860708] -> F: 0.3919571560521188
Punto[1.         0.43140287 0.49923698] -> F: 0.39146039235986724
Punto[1.         0.43199502 0.49986688] -> F: 0.3909640152212259
Punto[1.         0.43258717 0.50049678] -> F: 0.3904680246361948
Punto[1.         0.43317931 0.50112667] -> F: 0.3899724206047736
Punto[1.         0.43377146 0.50175657] -> F: 0.3894772031269627
Punto[1.         0.43436361 0.50238647] -> F: 0.3889823722027618
Punto[1.         0.43495575 0.50301636] -> F: 0.3884841927315152
Punto[1.         0.4355479  0.50364626] -> F: 0.38798551191754943
Punto[1.         0.43614005 0.50427616] -> F: 0.3874872249327005
Punto[1.         0.43673219 0.50490605] -> F: 0.3869893317769681
Punto[1.         0.43732434 0.50553595] -> F: 0.3864918324503524
Punto[1.         0.43791649 0.50616585] -> F: 0.38599472695285336
Punto[1.         0.43850863 0.50679575] -> F: 0.3854980152844711
Punto[1.         0.43910078 0.50742564] -> F: 0.3850016974452055
Punto[1.         0.43969293 0.50805554] -> F: 0.38450577343505643
Punto[1.         0.44028507 0.50868544] -> F: 0.3840102432540241
Punto[1.         0.44087722 0.50931533] -> F: 0.38351510690210855
Punto[1.         0.44146937 0.50994523] -> F: 0.3830203643793096
Punto[1.         0.44206151 0.51057513] -> F: 0.382522689278448
Punto[1.         0.44265366 0.51120503] -> F: 0.38202415053892236
Punto[1.         0.44324581 0.51183492] -> F: 0.3815260129791332
Punto[1.         0.44383795 0.51246482] -> F: 0.3810282765990803
Punto[1.         0.4444301  0.51309472] -> F: 0.3805309413987638
Punto[1.         0.44502225 0.51372461] -> F: 0.38003400737818366
Punto[1.         0.44561439 0.51435451] -> F: 0.3795374745373399
Punto[1.         0.44620654 0.51498441] -> F: 0.3790413428762325
Punto[1.         0.44679869 0.5156143 ] -> F: 0.3785456123948615
Punto[1.         0.44739083 0.5162442 ] -> F: 0.37805028309322686
Punto[1.         0.44798298 0.5168741 ] -> F: 0.3775553549713285
Punto[1.         0.44857513 0.517504  ] -> F: 0.37706082802916663
Punto[1.         0.44916727 0.51813389] -> F: 0.3765623268228748
Punto[1.         0.44975942 0.51876379] -> F: 0.3760640495776669
Punto[1.         0.45035157 0.51939369] -> F: 0.3755661809538569
Punto[1.         0.45094371 0.52002358] -> F: 0.3750687209514451
Punto[1.         0.45153586 0.52065348] -> F: 0.3745716695704314
Punto[1.         0.45212801 0.52128338] -> F: 0.3740750268108159
Punto[1.         0.45272015 0.52191328] -> F: 0.3735787926725984
Punto[1.         0.4533123  0.52254317] -> F: 0.3730829671557792
Punto[1.         0.45390444 0.52317307] -> F: 0.37258755026035795
Punto[1.         0.45449659 0.52380297] -> F: 0.37209254198633485
Punto[1.         0.45508874 0.52443286] -> F: 0.37159794233370985
Punto[1.         0.45568088 0.52506276] -> F: 0.37110158602521226
Punto[1.         0.45627303 0.52569266] -> F: 0.3706032668106332
Punto[1.         0.45686518 0.52632255] -> F: 0.37010536376684705
