Punto[0.         0.55484512 0.62602137] -> F: 0.07504724896866623
Punto[1.         0.49191361 0.47775994] -> F: 0.3859644533935463
Punto[2.         0.57885294 0.40147174] -> F: 0.12629230171527678
Punto[1.         0.56684903 0.51374655] -> F: 0.3684064453420466
Punto[1.         0.49341232 0.47847967] -> F: 0.38857706226933564
Punto[1.         0.49488105 0.47918501] -> F: 0.39114759589030507
Punto[1.         0.49634979 0.47989034] -> F: 0.3937282036367711
Punto[1.         0.49781852 0.48059568] -> F: 0.39624609185763765
Punto[1.         0.49928725 0.48130102] -> F: 0.39869160989443625
Punto[1.         0.50075599 0.48200636] -> F: 0.4011417097936959
Punto[1.         0.50222472 0.4827117 ] -> F: 0.4035963915554168
Punto[1.         0.50369346 0.48341703] -> F: 0.4060556551795987
Punto[1.         0.50516219 0.48412237] -> F: 0.40851950066624165
Punto[1.         0.50663093 0.48482771] -> F: 0.4109342792843559
Punto[1.         0.50809966 0.48553305] -> F: 0.41322545738695055
Punto[1.         0.50956839 0.48623838] -> F: 0.4155211212361354
Punto[1.         0.51103713 0.48694372] -> F: 0.4178212708319107
Punto[1.         0.51250586 0.48764906] -> F: 0.41768366478278135
Punto[1.        0.5139746 0.4883544] -> F: 0.4166041068772439
Punto[1.         0.51544333 0.48905973] -> F: 0.41551344403063173
Punto[1.         0.51691206 0.48976507] -> F: 0.4144243569086649
Punto[1.         0.5183808  0.49047041] -> F: 0.4133368455113436
Punto[1.         0.51984953 0.49117575] -> F: 0.4122509098386677
Punto[1.         0.52131827 0.49188109] -> F: 0.41116654989063706
Punto[1.         0.522787   0.49258642] -> F: 0.4100837656672521
Punto[1.         0.52425574 0.49329176] -> F: 0.40900255716851225
Punto[1.         0.52572447 0.4939971 ] -> F: 0.4079229243944179
Punto[1.         0.5271932  0.49470244] -> F: 0.4068319302541576
Punto[1.         0.52866194 0.49540777] -> F: 0.40573055753647297
Punto[1.         0.53013067 0.49611311] -> F: 0.4046308343705491
Punto[1.         0.53159941 0.49681845] -> F: 0.4035327607563857
Punto[1.         0.53306814 0.49752379] -> F: 0.40243633669398304
Punto[1.         0.53453688 0.49822912] -> F: 0.4013415621833411
Punto[1.         0.53600561 0.49893446] -> F: 0.4002484372244598
Punto[1.         0.53747434 0.4996398 ] -> F: 0.39915696181733895
Punto[1.         0.53894308 0.50034514] -> F: 0.3980671359619789
Punto[1.         0.54041181 0.50105048] -> F: 0.3969566942704438
Punto[1.         0.54188055 0.50175581] -> F: 0.39584567234132584
Punto[1.         0.54334928 0.50246115] -> F: 0.39473637534533546
Punto[1.         0.54481802 0.50316649] -> F: 0.39362880328247285
Punto[1.         0.54628675 0.50387183] -> F: 0.39252295615273763
Punto[1.         0.54775548 0.50457716] -> F: 0.39141883395613003
Punto[1.         0.54922422 0.5052825 ] -> F: 0.3903164366926502
Punto[1.         0.55069295 0.50598784] -> F: 0.389215764362298
Punto[1.         0.55216169 0.50669318] -> F: 0.3881016177290414
Punto[1.         0.55363042 0.50739851] -> F: 0.3869801768086681
Punto[1.         0.55509916 0.50810385] -> F: 0.3858174108395058
Punto[1.         0.55656789 0.50880919] -> F: 0.38404171795342346
Punto[1.         0.55803662 0.50951453] -> F: 0.38230856518453227
Punto[1.         0.55950536 0.51021987] -> F: 0.3806179525328319
Punto[1.         0.56097409 0.5109252 ] -> F: 0.37855119587958613
Punto[1.         0.56244283 0.51163054] -> F: 0.37591802473618974
Punto[1.         0.56391156 0.51233588] -> F: 0.37336185921374954
Punto[1.         0.56538029 0.51304122] -> F: 0.37089942827176303
