Punto[0.         0.68069274 0.34472432] -> F: 0.1195046268268127
Punto[1.         0.54483986 0.36917922] -> F: 0.3395016011406043
Punto[2.         0.62913324 0.37911669] -> F: 0.09942643827732318
Punto[1.         0.65491299 0.3619205 ] -> F: 0.3720269369230327
Punto[1.         0.54704132 0.36903404] -> F: 0.34386650997386364
Punto[1.         0.54919876 0.36889177] -> F: 0.34759858086465734
Punto[1.         0.55135619 0.3687495 ] -> F: 0.3513237830641181
Punto[1.         0.55351362 0.36860723] -> F: 0.3550947331486431
Punto[1.         0.55567106 0.36846496] -> F: 0.3589114311182323
Punto[1.         0.55782849 0.36832269] -> F: 0.36277387697288566
Punto[1.         0.55998592 0.36818042] -> F: 0.3666820707126034
Punto[1.         0.56214336 0.36803815] -> F: 0.37063601233738513
Punto[1.         0.56430079 0.36789588] -> F: 0.3746357018472309
Punto[1.         0.56645822 0.36775361] -> F: 0.37868113924214136
Punto[1.         0.56861566 0.36761134] -> F: 0.3827723245221154
Punto[1.         0.57077309 0.36746906] -> F: 0.386909257687154
Punto[1.         0.57293052 0.36732679] -> F: 0.391091933486612
Punto[1.         0.57508796 0.36718452] -> F: 0.39532015453761465
Punto[1.         0.57724539 0.36704225] -> F: 0.39959382051429493
Punto[1.         0.57940282 0.36689998] -> F: 0.4039129314166532
Punto[1.         0.58156026 0.36675771] -> F: 0.4082774872446893
Punto[1.         0.58371769 0.36661544] -> F: 0.4126371076052924
Punto[1.         0.58587512 0.36647317] -> F: 0.4163328642180941
Punto[1.         0.58803256 0.3663309 ] -> F: 0.4200867361095809
Punto[1.         0.59018999 0.36618863] -> F: 0.42389872327975264
Punto[1.         0.59234742 0.36604636] -> F: 0.4275221447306813
Punto[1.         0.59450486 0.36590409] -> F: 0.4257303485237567
Punto[1.         0.59666229 0.36576181] -> F: 0.42394238722723027
Punto[1.         0.59881972 0.36561954] -> F: 0.42215826084110214
Punto[1.         0.60097716 0.36547727] -> F: 0.4203764311767799
Punto[1.         0.60313459 0.365335  ] -> F: 0.41859399637395767
Punto[1.         0.60529202 0.36519273] -> F: 0.41681542237841324
Punto[1.         0.60744946 0.36505046] -> F: 0.4150407091901468
Punto[1.         0.60960689 0.36490819] -> F: 0.4132698568091578
Punto[1.         0.61176432 0.36476592] -> F: 0.4115028652354466
Punto[1.         0.61392176 0.36462365] -> F: 0.40973973446901335
Punto[1.         0.61607919 0.36448138] -> F: 0.40797883312162514
Punto[1.         0.61823662 0.36433911] -> F: 0.40621743072362154
Punto[1.         0.62039406 0.36419684] -> F: 0.4044599155858328
Punto[1.         0.62255149 0.36405456] -> F: 0.4027062877082584
Punto[1.         0.62470892 0.36391229] -> F: 0.4009565470908986
Punto[1.         0.62686636 0.36377002] -> F: 0.3992106937337533
Punto[1.         0.62902379 0.36362775] -> F: 0.39746872763682267
Punto[1.         0.63118123 0.36348548] -> F: 0.3957275088487629
Punto[1.         0.63333866 0.36334321] -> F: 0.3939712339729201
Punto[1.         0.63549609 0.36320094] -> F: 0.39218011013551773
Punto[1.         0.63765353 0.36305867] -> F: 0.39036660240592425
Punto[1.         0.63981096 0.3629164 ] -> F: 0.38853130198800795
Punto[1.         0.64196839 0.36277413] -> F: 0.3866829262000243
Punto[1.         0.64412583 0.36263186] -> F: 0.38482456541224785
Punto[1.         0.64628326 0.36248959] -> F: 0.38220774879396263
Punto[1.         0.64844069 0.36234732] -> F: 0.37958352822790326
Punto[1.         0.65059813 0.36220504] -> F: 0.37700108120935183
Punto[1.         0.65275556 0.36206277] -> F: 0.37447339299852433
