Punto[0.         0.38557313 0.35262786] -> F: 0.07841778289495387
Punto[1.         0.49489808 0.37383954] -> F: 0.3348231585580134
Punto[2.         0.28613935 0.25632583] -> F: 0.05523541892699119
Punto[1.         0.33585624 0.30447685] -> F: 0.23255945302925785
Punto[1.         0.49171725 0.37245229] -> F: 0.33917149254740275
Punto[1.         0.48860003 0.37109278] -> F: 0.3434762933426973
Punto[1.         0.48548281 0.36973327] -> F: 0.34789588552140066
Punto[1.         0.48236559 0.36837376] -> F: 0.35243054940270335
Punto[1.         0.47924837 0.36701425] -> F: 0.35708028498660505
Punto[1.         0.47613115 0.36565474] -> F: 0.3618450922731062
Punto[1.         0.47301393 0.36429523] -> F: 0.36672497126220654
Punto[1.         0.46989671 0.36293572] -> F: 0.37171992195390624
Punto[1.         0.46677949 0.36157622] -> F: 0.37682994434820505
Punto[1.         0.46366227 0.36021671] -> F: 0.3820550384451033
Punto[1.         0.46054505 0.3588572 ] -> F: 0.38739520424460067
Punto[1.         0.45742783 0.35749769] -> F: 0.3928504417466974
Punto[1.         0.45431061 0.35613818] -> F: 0.39842075095139323
Punto[1.         0.45119339 0.35477867] -> F: 0.3947347763615959
Punto[1.         0.44807617 0.35341916] -> F: 0.3899103140601062
Punto[1.         0.44495895 0.35205965] -> F: 0.3851109245146726
Punto[1.         0.44184173 0.35070015] -> F: 0.38034014792291604
Punto[1.         0.43872451 0.34934064] -> F: 0.3755979842848363
Punto[1.         0.43560729 0.34798113] -> F: 0.3708844336004332
Punto[1.         0.43249007 0.34662162] -> F: 0.36619949586970724
Punto[1.         0.42937285 0.34526211] -> F: 0.3615431710926581
Punto[1.         0.42625563 0.3439026 ] -> F: 0.3569154592692857
Punto[1.         0.42313841 0.34254309] -> F: 0.3523163603995899
Punto[1.         0.42002119 0.34118358] -> F: 0.3477192939729559
Punto[1.         0.41690397 0.33982407] -> F: 0.34313076779537677
Punto[1.         0.41378675 0.33846457] -> F: 0.33857144945333423
Punto[1.         0.41066953 0.33710506] -> F: 0.33404133894682864
Punto[1.         0.40755231 0.33574555] -> F: 0.32954043627585977
Punto[1.         0.40443509 0.33438604] -> F: 0.32506874144042774
Punto[1.         0.40131787 0.33302653] -> F: 0.3206262544405325
Punto[1.         0.39820065 0.33166702] -> F: 0.31621297527617415
Punto[1.         0.39508342 0.33030751] -> F: 0.3118188802856929
Punto[1.        0.3919662 0.328948 ] -> F: 0.30741724854945585
Punto[1.         0.38884898 0.3275885 ] -> F: 0.3030454584396397
Punto[1.         0.38573176 0.32622899] -> F: 0.2987035099562441
Punto[1.         0.38261454 0.32486948] -> F: 0.29439140309926964
Punto[1.         0.37949732 0.32350997] -> F: 0.2901091378687157
Punto[1.         0.3763801  0.32215046] -> F: 0.28585671426458276
Punto[1.         0.37326288 0.32079095] -> F: 0.2816341322868705
Punto[1.         0.37014566 0.31943144] -> F: 0.2774083650707715
Punto[1.         0.36702844 0.31807193] -> F: 0.27319897815485356
Punto[1.         0.36391122 0.31671242] -> F: 0.2690201090086183
Punto[1.         0.360794   0.31535292] -> F: 0.26487175763206544
Punto[1.         0.35767678 0.31399341] -> F: 0.26075392402519515
Punto[1.         0.35455956 0.3126339 ] -> F: 0.25666660818800746
Punto[1.         0.35144234 0.31127439] -> F: 0.2526098101205021
Punto[1.         0.34832512 0.30991488] -> F: 0.24854114073414374
Punto[1.         0.3452079  0.30855537] -> F: 0.244498858279702
Punto[1.         0.34209068 0.30719586] -> F: 0.24048781617740708
Punto[1.         0.33897346 0.30583635] -> F: 0.23650801442725897
