Punto[0.         0.51329677 0.71887126] -> F: 0.14253251946409654
Punto[1.         0.56898378 0.66347002] -> F: 0.3580791254524298
Punto[2.         0.68017194 0.55820938] -> F: 0.02354969556331448
Punto[1.         0.59673435 0.63854032] -> F: 0.30647183571924824
Punto[1.         0.56953879 0.66297142] -> F: 0.35899680406666706
Punto[1.        0.5700827 0.6624828] -> F: 0.3599238192423605
Punto[1.         0.57062661 0.66199418] -> F: 0.360878244853474
Punto[1.         0.57117052 0.66150556] -> F: 0.3611215987594438
Punto[1.         0.57171443 0.66101694] -> F: 0.3603715098233851
Punto[1.         0.57225834 0.66052831] -> F: 0.35956869560217014
Punto[1.         0.57280225 0.66003969] -> F: 0.3585826163372509
Punto[1.         0.57334617 0.65955107] -> F: 0.3576058040145439
Punto[1.         0.57389008 0.65906245] -> F: 0.3566382586340496
Punto[1.         0.57443399 0.65857383] -> F: 0.35566754267917194
Punto[1.        0.5749779 0.6580852] -> F: 0.3546931507595097
Punto[1.         0.57552181 0.65759658] -> F: 0.35371208095452067
Punto[1.         0.57606572 0.65710796] -> F: 0.35271264273622577
Punto[1.         0.57660963 0.65661934] -> F: 0.35171324211590554
Punto[1.         0.57715354 0.65613072] -> F: 0.3506896277468194
Punto[1.         0.57769746 0.65564209] -> F: 0.34966418565236307
Punto[1.         0.57824137 0.65515347] -> F: 0.3486260632294944
Punto[1.         0.57878528 0.65466485] -> F: 0.34756707862118513
Punto[1.         0.57932919 0.65417623] -> F: 0.3462857777748095
Punto[1.         0.5798731  0.65368761] -> F: 0.3450257668580617
Punto[1.         0.58041701 0.65319898] -> F: 0.34378704587094144
Punto[1.         0.58096092 0.65271036] -> F: 0.342569614813449
Punto[1.         0.58150484 0.65222174] -> F: 0.3413731641991457
Punto[1.         0.58204875 0.65173312] -> F: 0.3401608301629555
Punto[1.         0.58259266 0.6512445 ] -> F: 0.3389634309705588
Punto[1.         0.58313657 0.65075587] -> F: 0.3377809666219564
Punto[1.         0.58368048 0.65026725] -> F: 0.3366134371171475
Punto[1.         0.58422439 0.64977863] -> F: 0.33544176251868296
Punto[1.         0.5847683  0.64929001] -> F: 0.3342558995619018
Punto[1.         0.58531221 0.64880139] -> F: 0.3330701939687149
Punto[1.         0.58585613 0.64831276] -> F: 0.3318763895998717
Punto[1.         0.58640004 0.64782414] -> F: 0.3306550819252051
Punto[1.         0.58694395 0.64733552] -> F: 0.32943395776232326
Punto[1.         0.58748786 0.6468469 ] -> F: 0.3282130171112261
Punto[1.         0.58803177 0.64635827] -> F: 0.3269636741817479
Punto[1.         0.58857568 0.64586965] -> F: 0.3257046675567464
Punto[1.         0.58911959 0.64538103] -> F: 0.324445873180963
Punto[1.         0.5896635  0.64489241] -> F: 0.32318613325823653
Punto[1.         0.59020742 0.64440379] -> F: 0.32188640114156053
Punto[1.         0.59075133 0.64391516] -> F: 0.32058715419057005
Punto[1.         0.59129524 0.64342654] -> F: 0.3192902537673658
Punto[1.         0.59183915 0.64293792] -> F: 0.3179960912747788
Punto[1.         0.59238306 0.6424493 ] -> F: 0.31670466671280834
Punto[1.         0.59292697 0.64196068] -> F: 0.31541598008145444
Punto[1.         0.59347088 0.64147205] -> F: 0.3141300313807177
Punto[1.         0.59401479 0.64098343] -> F: 0.31284682061059726
Punto[1.         0.59455871 0.64049481] -> F: 0.3115663477710939
Punto[1.         0.59510262 0.64000619] -> F: 0.3102886128622072
Punto[1.         0.59564653 0.63951757] -> F: 0.30901361588393744
Punto[1.         0.59619044 0.63902894] -> F: 0.3077413568362845
