Punto[0.         0.51232233 0.69285891] -> F: 0.13683564761370504
Punto[1.         0.52306002 0.59895325] -> F: 0.40870431967495974
Punto[2.         0.60197178 0.44935333] -> F: 0.11888980351705707
Punto[1.         0.55714706 0.57110612] -> F: 0.4204212601938511
Punto[1.         0.52374176 0.5983963 ] -> F: 0.41042401930703243
Punto[1.         0.52440987 0.5978505 ] -> F: 0.4121151978643452
Punto[1.         0.52507798 0.5973047 ] -> F: 0.41381219001713654
Punto[1.         0.52574608 0.59675889] -> F: 0.41551499576540696
Punto[1.         0.52641419 0.59621309] -> F: 0.41722361510915595
Punto[1.         0.52708229 0.59566729] -> F: 0.4189380480483839
Punto[1.         0.5277504  0.59512148] -> F: 0.4206582945830903
Punto[1.         0.5284185  0.59457568] -> F: 0.4223843547132756
Punto[1.         0.52908661 0.59402988] -> F: 0.42411622843893976
Punto[1.         0.52975472 0.59348407] -> F: 0.42585391576008225
Punto[1.         0.53042282 0.59293827] -> F: 0.4275974166767038
Punto[1.         0.53109093 0.59239246] -> F: 0.429346731188804
Punto[1.         0.53175903 0.59184666] -> F: 0.4310384709574482
Punto[1.         0.53242714 0.59130086] -> F: 0.4326357231901263
Punto[1.         0.53309525 0.59075505] -> F: 0.4342387890182831
Punto[1.         0.53376335 0.59020925] -> F: 0.43584766844191875
Punto[1.         0.53443146 0.58966345] -> F: 0.43746236146103323
Punto[1.         0.53509956 0.58911764] -> F: 0.43908286807562646
Punto[1.         0.53576767 0.58857184] -> F: 0.44070918828569805
Punto[1.         0.53643578 0.58802603] -> F: 0.4423413220912486
Punto[1.         0.53710388 0.58748023] -> F: 0.443979269492278
Punto[1.         0.53777199 0.58693443] -> F: 0.44562140876011647
Punto[1.         0.53844009 0.58638862] -> F: 0.44499273677363
Punto[1.         0.5391082  0.58584282] -> F: 0.44437131075698827
Punto[1.         0.53977631 0.58529702] -> F: 0.44375713071019146
Punto[1.         0.54044441 0.58475121] -> F: 0.44315019663323896
Punto[1.         0.54111252 0.58420541] -> F: 0.44255050852613165
Punto[1.         0.54178062 0.58365961] -> F: 0.4419580663888689
Punto[1.         0.54244873 0.5831138 ] -> F: 0.44137287022145094
Punto[1.         0.54311683 0.582568  ] -> F: 0.4407949200238775
Punto[1.         0.54378494 0.58202219] -> F: 0.4402242157961492
Punto[1.         0.54445305 0.58147639] -> F: 0.4396607575382654
Punto[1.         0.54512115 0.58093059] -> F: 0.4391045452502263
Punto[1.         0.54578926 0.58038478] -> F: 0.43855557893203195
Punto[1.         0.54645736 0.57983898] -> F: 0.4380138585836824
Punto[1.         0.54712547 0.57929318] -> F: 0.43747938420517773
Punto[1.         0.54779358 0.57874737] -> F: 0.43695215579651775
Punto[1.         0.54846168 0.57820157] -> F: 0.4360021272910469
Punto[1.         0.54912979 0.57765577] -> F: 0.4347705361258235
Punto[1.         0.54979789 0.57710996] -> F: 0.4335442080969537
Punto[1.         0.550466   0.57656416] -> F: 0.4323231432044378
Punto[1.         0.55113411 0.57601835] -> F: 0.4311073414482759
Punto[1.         0.55180221 0.57547255] -> F: 0.42989680282846754
Punto[1.         0.55247032 0.57492675] -> F: 0.42869152734501326
Punto[1.         0.55313842 0.57438094] -> F: 0.42749151499791294
Punto[1.         0.55380653 0.57383514] -> F: 0.4262967657871663
Punto[1.         0.55447464 0.57328934] -> F: 0.42510727971277373
Punto[1.         0.55514274 0.57274353] -> F: 0.42392305677473485
Punto[1.         0.55581085 0.57219773] -> F: 0.42274409697304977
Punto[1.         0.55647895 0.57165192] -> F: 0.42157461972528043
