Punto[0.         0.39810327 0.2879613 ] -> F: 0.12042918242224977
Punto[1.         0.50358359 0.4395685 ] -> F: 0.4162806098057903
Punto[2.         0.63605695 0.51884532] -> F: 0.13208097886425282
Punto[1.         0.51708011 0.40340331] -> F: 0.4375555907680171
Punto[1.         0.50385352 0.4388452 ] -> F: 0.4174885479773724
Punto[1.         0.50411805 0.43813636] -> F: 0.41864272965001786
Punto[1.         0.50438258 0.43742752] -> F: 0.4195538658703064
Punto[1.         0.50464712 0.43671869] -> F: 0.4204642675124636
Punto[1.         0.50491165 0.43600985] -> F: 0.4213739345764898
Punto[1.         0.50517618 0.43530101] -> F: 0.4222828670623848
Punto[1.         0.50544071 0.43459217] -> F: 0.42319106497014863
Punto[1.         0.50570524 0.43388334] -> F: 0.42409852829978134
Punto[1.         0.50596977 0.4331745 ] -> F: 0.425006066987864
Punto[1.         0.50623431 0.43246566] -> F: 0.42600302161958953
Punto[1.         0.50649884 0.43175682] -> F: 0.4271499168146375
Punto[1.         0.50676337 0.43104798] -> F: 0.4284467525730076
Punto[1.         0.5070279  0.43033915] -> F: 0.4298935288947
Punto[1.         0.50729243 0.42963031] -> F: 0.4314268522371294
Punto[1.         0.50755697 0.42892147] -> F: 0.4329595087945221
Punto[1.         0.5078215  0.42821263] -> F: 0.43442322280773554
Punto[1.         0.50808603 0.4275038 ] -> F: 0.4355818346429184
Punto[1.         0.50835056 0.42679496] -> F: 0.4367627019725621
Punto[1.         0.50861509 0.42608612] -> F: 0.4379658247966666
Punto[1.         0.50887962 0.42537728] -> F: 0.4391912031152324
Punto[1.         0.50914416 0.42466844] -> F: 0.44043883692825875
Punto[1.         0.50940869 0.42395961] -> F: 0.44170872623574603
Punto[1.         0.50967322 0.42325077] -> F: 0.4430008710376942
Punto[1.         0.50993775 0.42254193] -> F: 0.44431527133410337
Punto[1.         0.51020228 0.42183309] -> F: 0.4456519271249733
Punto[1.         0.51046681 0.42112426] -> F: 0.4470108384103044
Punto[1.         0.51073135 0.42041542] -> F: 0.4483920051900961
Punto[1.         0.51099588 0.41970658] -> F: 0.4497954274643488
Punto[1.         0.51126041 0.41899774] -> F: 0.451115744184167
Punto[1.         0.51152494 0.4182889 ] -> F: 0.4523132395464722
Punto[1.         0.51178947 0.41758007] -> F: 0.4535206016015192
Punto[1.         0.51205401 0.41687123] -> F: 0.4534326000121296
Punto[1.         0.51231854 0.41616239] -> F: 0.4526340320467003
Punto[1.         0.51258307 0.41545355] -> F: 0.45183606955106836
Punto[1.         0.5128476  0.41474472] -> F: 0.451038712525234
Punto[1.         0.51311213 0.41403588] -> F: 0.45024196096919694
Punto[1.         0.51337666 0.41332704] -> F: 0.4494458148829573
Punto[1.        0.5136412 0.4126182] -> F: 0.4486502742665152
Punto[1.         0.51390573 0.41190937] -> F: 0.44785448475793743
Punto[1.         0.51417026 0.41120053] -> F: 0.44705725780689404
Punto[1.         0.51443479 0.41049169] -> F: 0.44626067515778434
Punto[1.         0.51469932 0.40978285] -> F: 0.44544330000394233
Punto[1.         0.51496385 0.40907401] -> F: 0.4445641429127724
Punto[1.         0.51522839 0.40836518] -> F: 0.44368567206006365
Punto[1.         0.51549292 0.40765634] -> F: 0.4428078874458163
Punto[1.         0.51575745 0.4069475 ] -> F: 0.4419307890700299
Punto[1.         0.51602198 0.40623866] -> F: 0.441054376932705
Punto[1.         0.51628651 0.40552983] -> F: 0.4401786510338412
Punto[1.         0.51655105 0.40482099] -> F: 0.43930361137343865
Punto[1.         0.51681558 0.40411215] -> F: 0.4384292579514973
