Punto[0.         0.53154192 0.47328443] -> F: 0.13351118188529473
Punto[1.         0.35570619 0.4304684 ] -> F: 0.37860936611629054
Punto[2.         0.34137454 0.46817043] -> F: 0.09966624551856158
Punto[1.         0.43645823 0.47072743] -> F: 0.37866800251330696
Punto[1.         0.35732123 0.43127358] -> F: 0.3818340371135049
Punto[1.         0.35890397 0.43206266] -> F: 0.38491152109175936
Punto[1.         0.36048671 0.43285174] -> F: 0.38799668795162917
Punto[1.         0.36206945 0.43364081] -> F: 0.3910424177630074
Punto[1.         0.36365219 0.43442989] -> F: 0.39405504014806403
Punto[1.         0.36523493 0.43521897] -> F: 0.3970624516590115
Punto[1.         0.36681767 0.43600804] -> F: 0.40000460937372473
Punto[1.         0.36840041 0.43679712] -> F: 0.40295857859686696
Punto[1.         0.36998315 0.4375862 ] -> F: 0.4058419842839452
Punto[1.         0.37156589 0.43837528] -> F: 0.4087260560937172
Punto[1.         0.37314863 0.43916435] -> F: 0.41156453458997383
Punto[1.         0.37473137 0.43995343] -> F: 0.41438012678621233
Punto[1.         0.37631411 0.44074251] -> F: 0.4171702044861418
Punto[1.         0.37789685 0.44153158] -> F: 0.41991840749893966
Punto[1.         0.37947959 0.44232066] -> F: 0.4226573641264608
Punto[1.         0.38106233 0.44310974] -> F: 0.4252945285045665
Punto[1.         0.38264507 0.44389881] -> F: 0.42390429066622404
Punto[1.         0.38422781 0.44468789] -> F: 0.42251746761502584
Punto[1.         0.38581055 0.44547697] -> F: 0.4211340593509716
Punto[1.         0.38739329 0.44626605] -> F: 0.4197540658740616
Punto[1.         0.38897603 0.44705512] -> F: 0.4183774871842954
Punto[1.         0.39055877 0.4478442 ] -> F: 0.4170043232816735
Punto[1.         0.39214151 0.44863328] -> F: 0.4156345741661955
Punto[1.         0.39372425 0.44942235] -> F: 0.4142682398378616
Punto[1.         0.39530699 0.45021143] -> F: 0.41290532029667193
Punto[1.         0.39688973 0.45100051] -> F: 0.4115458155426262
Punto[1.         0.39847247 0.45178958] -> F: 0.41018972557572464
Punto[1.         0.40005521 0.45257866] -> F: 0.40883705039596696
Punto[1.         0.40163795 0.45336774] -> F: 0.40748779000335356
Punto[1.         0.40322069 0.45415682] -> F: 0.4061419443978841
Punto[1.         0.40480343 0.45494589] -> F: 0.4047995135795588
Punto[1.         0.40638617 0.45573497] -> F: 0.40346049754837743
Punto[1.         0.40796891 0.45652405] -> F: 0.4021248963043403
Punto[1.         0.40955165 0.45731312] -> F: 0.40079270984744725
Punto[1.         0.41113439 0.4581022 ] -> F: 0.39946393817769815
Punto[1.         0.41271713 0.45889128] -> F: 0.3981385812950931
Punto[1.         0.41429987 0.45968035] -> F: 0.39681663919963217
Punto[1.         0.41588261 0.46046943] -> F: 0.3954981118913154
Punto[1.         0.41746535 0.46125851] -> F: 0.3941829993701427
Punto[1.         0.41904809 0.46204759] -> F: 0.3928713016361139
Punto[1.         0.42063083 0.46283666] -> F: 0.39156301868922927
Punto[1.         0.42221357 0.46362574] -> F: 0.3902581505294887
Punto[1.         0.42379631 0.46441482] -> F: 0.3889566971568923
Punto[1.         0.42537905 0.46520389] -> F: 0.38765865857143983
Punto[1.         0.42696179 0.46599297] -> F: 0.38636403477313147
Punto[1.         0.42854453 0.46678205] -> F: 0.3850728257619672
Punto[1.         0.43012727 0.46757113] -> F: 0.383785031537947
Punto[1.         0.43171001 0.4683602 ] -> F: 0.3825006521010709
Punto[1.         0.43329275 0.46914928] -> F: 0.38121968745133883
Punto[1.         0.43487549 0.46993836] -> F: 0.37994213758875084
