Punto[0.         0.42087787 0.30068244] -> F: 0.13455571068215047
Punto[1.         0.37747796 0.42244205] -> F: 0.4392424224428332
Punto[2.         0.36864154 0.59858365] -> F: 0.12172305633033961
Punto[1.         0.39475971 0.44963305] -> F: 0.43257689860425935
Punto[1.         0.37782359 0.42298587] -> F: 0.44080543793178223
Punto[1.         0.37816232 0.42351881] -> F: 0.442339448581062
Punto[1.         0.37850104 0.42405175] -> F: 0.4438756919179253
Punto[1.         0.37883976 0.4245847 ] -> F: 0.445414167942372
Punto[1.         0.37917848 0.42511764] -> F: 0.44695415864418664
Punto[1.         0.3795172  0.42565058] -> F: 0.4480575797310473
Punto[1.         0.37985593 0.42618353] -> F: 0.44916204917176267
Punto[1.         0.38019465 0.42671647] -> F: 0.4502675669663319
Punto[1.         0.38053337 0.42724942] -> F: 0.45137413311475544
Punto[1.         0.38087209 0.42778236] -> F: 0.452481747617033
Punto[1.         0.38121082 0.4283153 ] -> F: 0.4535904104731651
Punto[1.         0.38154954 0.42884825] -> F: 0.45470012168315144
Punto[1.         0.38188826 0.42938119] -> F: 0.45581088124699204
Punto[1.         0.38222698 0.42991413] -> F: 0.45685644905968276
Punto[1.         0.3825657  0.43044708] -> F: 0.45781369999826316
Punto[1.         0.38290443 0.43098002] -> F: 0.45877142786163727
Punto[1.         0.38324315 0.43151296] -> F: 0.4597296326498053
Punto[1.         0.38358187 0.43204591] -> F: 0.46065160487852447
Punto[1.         0.38392059 0.43257885] -> F: 0.4615600386128019
Punto[1.         0.38425932 0.4331118 ] -> F: 0.4624688999839207
Punto[1.         0.38459804 0.43364474] -> F: 0.46337818899188093
Punto[1.         0.38493676 0.43417768] -> F: 0.4642879056366826
Punto[1.         0.38527548 0.43471063] -> F: 0.46519594006587944
Punto[1.         0.38561421 0.43524357] -> F: 0.4650009117676627
Punto[1.         0.38595293 0.43577651] -> F: 0.4642618041640315
Punto[1.         0.38629165 0.43630946] -> F: 0.4634880566660024
Punto[1.         0.38663037 0.4368424 ] -> F: 0.46272087112464805
Punto[1.         0.38696909 0.43737534] -> F: 0.46178032109328015
Punto[1.         0.38730782 0.43790829] -> F: 0.4604318908152878
Punto[1.         0.38764654 0.43844123] -> F: 0.45909818804041697
Punto[1.         0.38798526 0.43897417] -> F: 0.45777921276866756
Punto[1.         0.38832398 0.43950712] -> F: 0.45647496500004
Punto[1.         0.38866271 0.44004006] -> F: 0.455185444734534
Punto[1.         0.38900143 0.44057301] -> F: 0.4539031806646281
Punto[1.         0.38934015 0.44110595] -> F: 0.4524838574400475
Punto[1.         0.38967887 0.44163889] -> F: 0.4510623326538363
Punto[1.         0.39001759 0.44217184] -> F: 0.44963860630599456
Punto[1.         0.39035632 0.44270478] -> F: 0.44821267839652223
Punto[1.         0.39069504 0.44323772] -> F: 0.44678454892541947
Punto[1.         0.39103376 0.44377067] -> F: 0.4453559180029855
Punto[1.         0.39137248 0.44430361] -> F: 0.4439694192504098
Punto[1.         0.39171121 0.44483655] -> F: 0.44264355308066383
Punto[1.         0.39204993 0.4453695 ] -> F: 0.4413783194937484
Punto[1.         0.39238865 0.44590244] -> F: 0.44017371848966286
Punto[1.         0.39272737 0.44643538] -> F: 0.43902975006840766
Punto[1.         0.39306609 0.44696833] -> F: 0.43794641422998254
Punto[1.         0.39340482 0.44750127] -> F: 0.43689647123684133
Punto[1.         0.39374354 0.44803422] -> F: 0.43576381192638125
Punto[1.         0.39408226 0.44856716] -> F: 0.43466633005079763
Punto[1.         0.39442098 0.4491001 ] -> F: 0.43360402561009026
